,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,248.321793,-247.369232,1019.075623,274.883636,57.862144,1019.493225,464.46524,-148.429764,1040.958496,473.069672,-74.678497,1039.187866,319.257599,-274.679413,532.881287,385.174347,-296.172729,93.844406,433.629242,-251.403687,71.479599,329.224274,91.395668,521.892456,394.239716,133.283554,104.135674,433.981934,75.095039,80.546623,326.255249,-168.847763,512.671753,365.042328,-210.384109,104.810013,252.584045,-323.183624,51.657829,220.702042,-236.342392,59.816235,265.154144,179.866821,53.987206,220.617645,94.701416,65.470612,364.683868,51.267864,108.850006,319.633636,-0.777427,500.179779
2,0,248.235626,-247.407547,1019.047119,274.715118,57.826855,1019.488342,464.392395,-148.489182,1041.025024,472.997559,-74.718414,1039.238281,319.241516,-274.722687,532.883484,385.174957,-296.19046,93.863205,433.615875,-251.504837,71.405876,329.20816,91.371811,521.885437,394.246948,133.314697,104.146347,433.930908,75.060844,80.540619,326.247223,-168.919785,512.631775,365.041901,-210.358398,104.837936,252.603119,-323.178741,51.631207,220.689972,-236.342133,59.823696,265.151978,179.923599,54.062248,220.607819,94.692619,65.480156,364.665924,51.262489,108.848038,319.625336,-0.802663,500.165649
3,0,248.133514,-247.451538,1018.989685,274.533295,57.783615,1019.500122,464.29361,-148.535828,1041.06897,472.841125,-74.745537,1039.274658,319.173065,-274.748322,532.818359,385.164215,-296.203644,93.843048,433.639709,-251.489395,71.495506,329.198822,91.342796,521.876953,394.21991,133.28244,104.147575,433.963715,75.060951,80.528656,326.31308,-168.906006,512.652466,365.027161,-210.363876,104.819458,252.604996,-323.203918,51.646355,220.69989,-236.350784,59.818108,265.135773,179.872498,53.973431,220.622269,94.688095,65.470512,364.67923,51.248695,108.870277,319.729584,-0.665856,500.159607
4,0,248.045227,-247.477188,1018.983215,274.399231,57.715443,1019.489868,464.22049,-148.609146,1041.091675,472.772583,-74.811165,1039.302246,319.174622,-274.788422,532.817322,385.175964,-296.211792,93.833069,433.625671,-251.530762,71.470795,329.176453,91.32766,521.879883,394.226044,133.256531,104.14257,433.938416,75.041161,80.539024,326.314758,-168.956772,512.66571,365.038971,-210.356232,104.821014,252.60466,-323.209381,51.645679,220.714645,-236.397614,59.780823,265.158722,179.862839,53.960121,220.619049,94.690132,65.477737,364.672791,51.269009,108.847366,319.677765,-0.712327,500.134155
5,0,247.975006,-247.503937,1018.977783,274.236633,57.663975,1019.495605,464.117615,-148.648926,1041.098877,472.633484,-74.807167,1039.304077,319.2005,-274.825684,532.875793,385.188873,-296.201355,93.854858,433.624664,-251.473541,71.429306,329.156281,91.27066,521.858337,394.233093,133.250473,104.152992,433.90683,75.022041,80.517616,326.304138,-169.010162,512.657837,365.036041,-210.358627,104.833389,252.603973,-323.194794,51.632191,220.678497,-236.368057,59.82457,265.158325,179.861343,53.96463,220.608383,94.695282,65.469978,364.668915,51.242756,108.879303,319.786957,-0.531367,500.122253
6,0,247.903351,-247.543579,1018.981079,274.079681,57.612656,1019.49408,464.064026,-148.669708,1041.087524,472.529205,-74.808022,1039.29541,319.115326,-274.831696,532.854553,385.129761,-296.20755,93.836746,433.608521,-251.477097,71.431412,329.105743,91.240768,521.863464,394.251984,133.266525,104.171532,433.931152,74.982475,80.541603,326.310059,-169.06163,512.673828,365.021851,-210.378876,104.852463,252.611542,-323.203796,51.622593,220.704422,-236.377365,59.784172,265.137848,179.895645,53.9757,220.597794,94.705612,65.485497,364.651062,51.228771,108.878922,319.572327,-0.765637,500.101562
7,0,247.868073,-247.609573,1018.992798,273.906494,57.553123,1019.497986,463.981384,-148.684158,1041.054688,472.320282,-74.82563,1039.27063,319.164734,-274.904175,532.867249,385.13974,-296.202271,93.840485,433.655151,-251.459595,71.458015,329.050812,91.211159,521.851013,394.214813,133.192795,104.156494,433.890015,74.961967,80.553238,326.326141,-169.066162,512.66156,365.037903,-210.398102,104.827751,252.605759,-323.194977,51.649868,220.712067,-236.374771,59.787785,265.169861,179.907654,53.999664,220.602203,94.702888,65.495453,364.646484,51.241924,108.84272,319.509766,-0.787024,500.092041
8,0,247.81041,-247.685898,1019.002441,273.736603,57.503559,1019.483337,463.880035,-148.685791,1040.994873,472.165253,-74.858757,1039.241699,319.096954,-274.926788,532.824341,385.145111,-296.235352,93.869873,433.633545,-251.500244,71.442833,328.988586,91.182472,521.863403,394.220276,133.182556,104.167404,433.879333,74.933159,80.570625,326.287842,-169.150162,512.70105,365.038727,-210.359253,104.820038,252.611069,-323.210724,51.640446,220.699692,-236.390213,59.788403,265.189301,179.90448,53.984798,220.595993,94.700546,65.496521,364.646759,51.216007,108.799706,319.415497,-0.809443,500.081421
9,0,247.778824,-247.746902,1018.956421,273.590515,57.44804,1019.469849,463.801514,-148.675705,1040.985962,472.049469,-74.864105,1039.226929,319.066162,-274.971375,532.810974,385.132233,-296.221771,93.815735,433.636566,-251.511398,71.430443,328.942902,91.12072,521.84613,394.202484,133.162308,104.166512,433.865448,74.91597,80.533234,326.293213,-169.172012,512.684021,365.037903,-210.406006,104.843491,252.611969,-323.230957,51.654568,220.696533,-236.352737,59.800892,265.172729,179.907379,53.997227,220.591553,94.709221,65.48243,364.614807,51.183998,108.874619,319.37085,-0.824882,500.067474
10,0,247.766403,-247.859879,1018.942688,273.432373,57.387016,1019.460449,463.704651,-148.611832,1040.952881,471.923126,-74.841805,1039.196411,319.03775,-275.003296,532.807739,385.169128,-296.237366,93.825813,433.644714,-251.535095,71.431007,328.87439,91.103706,521.821899,394.19989,133.14949,104.173347,433.630341,74.845795,80.409348,326.250488,-169.217865,512.688232,365.046692,-210.404572,104.85968,252.618484,-323.201965,51.627079,220.717148,-236.370407,59.77467,265.185547,179.905716,54.001923,220.576706,94.700897,65.479958,364.629578,51.187817,108.815041,319.306854,-0.874897,500.026093
