,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,220.577866,-245.366852,1019.87384,242.7034,62.491245,1019.569519,435.49054,-150.135345,1039.083008,443.66217,-69.071548,1037.437134,287.725555,-258.551605,518.570251,384.12442,-287.318542,96.876945,429.47348,-238.519638,75.182343,297.686646,89.197884,521.134338,385.268433,137.135513,108.819427,430.132111,82.940926,85.172356,305.802887,-169.803452,508.989044,354.631317,-197.957886,111.518654,254.26799,-322.900909,53.57095,216.286392,-239.87059,62.104496,258.584442,179.934814,57.796959,216.358566,94.98214,63.735783,361.359863,53.442333,106.919579,293.996887,-2.100131,499.285217
2,0,220.536804,-245.321518,1019.88623,242.688202,62.486023,1019.536621,435.462311,-150.18425,1039.099365,443.625366,-69.095299,1037.42981,287.754425,-258.535858,518.642639,384.132477,-287.319824,96.895454,429.464081,-238.51413,75.209572,297.688629,89.198792,521.159668,385.265747,137.14238,108.843971,430.135315,82.976761,85.148499,305.780884,-169.820511,508.972595,354.633179,-198.003281,111.514885,254.284943,-322.907654,53.567947,216.301559,-239.867767,62.097694,258.541748,179.912979,57.801853,216.317139,94.965477,63.729076,361.334961,53.424465,106.930954,294.031921,-2.119888,499.283081
3,0,220.50798,-245.305573,1019.885925,242.708099,62.503719,1019.534241,435.459442,-150.214371,1039.08667,443.630646,-69.107918,1037.423096,287.577942,-258.56485,518.549316,384.118042,-287.320557,96.898872,429.468994,-238.494446,75.211967,297.724762,89.205444,521.143494,385.276978,137.113678,108.832855,430.093353,82.941315,85.162514,305.74469,-169.754547,509.024261,354.584198,-197.994965,111.504326,254.234879,-322.889893,53.565598,216.298264,-239.86937,62.102901,258.57901,179.914566,57.797295,216.378906,94.975883,63.730843,361.365875,53.441635,106.910362,294.068024,-2.102795,499.280396
4,0,220.474152,-245.282532,1019.911499,242.73201,62.509953,1019.515137,435.445099,-150.256119,1039.072632,443.595764,-69.1194,1037.456665,287.667053,-258.535278,518.637512,384.01178,-287.324677,96.755676,429.898529,-238.979843,75.132004,297.743835,89.217216,521.136536,385.301727,137.136368,108.812309,430.177521,82.978897,85.154953,305.71814,-169.814865,509.0242,354.609528,-198.002701,111.524475,254.267899,-322.8974,53.574112,216.310287,-239.851395,62.10384,258.580719,179.911057,57.799351,216.386017,94.965988,63.729362,361.369598,53.468483,106.882988,294.074127,-2.084814,499.275177
5,0,220.46994,-245.248688,1019.899841,242.687424,62.520176,1019.505981,435.41095,-150.235703,1039.074097,443.560638,-69.071198,1037.397827,287.662323,-258.533539,518.642334,384.133606,-287.319092,96.900841,429.455383,-238.510971,75.2071,297.759888,89.228676,521.130371,385.264221,137.13739,108.812866,430.146362,82.980736,85.154655,305.75882,-169.804306,508.970428,354.653809,-198.013916,111.486229,254.246231,-322.885376,53.564907,216.26149,-239.847549,62.068188,258.344879,179.857697,57.545525,216.382446,94.984734,63.721306,361.34906,53.445961,106.907501,294.035156,-2.111997,499.262573
6,0,220.466812,-245.23735,1019.914246,242.701645,62.512344,1019.519226,435.389008,-150.237305,1039.06189,443.573273,-69.063728,1037.400024,287.597382,-258.465546,518.508728,384.143402,-287.315521,96.911476,429.440216,-238.504242,75.200478,297.763336,89.21727,521.141479,385.23822,137.148468,108.796532,430.208649,83.016846,85.164253,305.722076,-169.786453,509.011566,354.622955,-198.029388,111.464767,254.262543,-322.906097,53.565395,216.265045,-239.846848,62.084507,258.619873,179.947174,57.802185,216.391342,94.976891,63.721134,361.364685,53.452118,106.909943,294.054413,-2.119647,499.249298
7,0,220.423615,-245.22403,1019.910217,242.690018,62.507442,1019.527893,435.373535,-150.265152,1039.086304,443.597321,-69.12606,1037.370972,287.652496,-258.426117,518.499512,384.155426,-287.344727,96.924553,429.439453,-238.507126,75.214821,297.774811,89.223671,521.152588,385.2742,137.136841,108.793564,430.181396,83.016373,85.141045,305.69455,-169.809387,509.004822,354.597229,-198.0457,111.483017,254.234344,-322.886963,53.562996,216.22435,-239.855743,62.07951,258.613098,179.919937,57.780773,216.375656,94.958649,63.717888,361.384369,53.502644,106.882339,294.030029,-2.143434,499.268646
8,0,220.423477,-245.21199,1019.918579,242.70546,62.507534,1019.55304,435.354919,-150.230331,1039.102173,443.585938,-69.131042,1037.389771,287.705597,-258.506348,518.632019,384.182312,-287.341003,96.919792,429.451691,-238.492264,75.215004,297.771332,89.20163,521.131042,385.242371,137.162476,108.81176,430.111908,82.994339,85.153107,305.677368,-169.740463,508.9953,354.646606,-198.024887,111.486099,254.260696,-322.867737,53.579018,216.203552,-239.85321,62.074455,258.614319,179.956039,57.805733,216.384277,94.96566,63.731037,361.331451,53.50135,106.882919,293.985657,-2.176604,499.268677
9,0,220.444931,-245.228256,1019.925964,242.701004,62.500351,1019.580505,435.34787,-150.2285,1039.09021,443.603058,-69.174629,1037.349854,287.612823,-258.537292,518.612793,384.175507,-287.328033,96.91243,429.42807,-238.487076,75.212746,297.764587,89.215935,521.113281,385.279419,137.177246,108.807533,430.160217,83.021942,85.146141,305.730682,-169.764099,508.983856,354.618713,-198.015106,111.451042,254.249756,-322.8815,53.566444,216.190369,-239.824356,62.064339,258.638641,179.9646,57.829266,216.385666,94.964142,63.713268,361.357422,53.441257,106.933868,293.976868,-2.12337,499.245117
10,0,220.446686,-245.241104,1019.952759,242.720413,62.523796,1019.619934,435.3461,-150.233826,1039.099487,443.603455,-69.150047,1037.386597,287.655334,-258.53244,518.598022,384.162201,-287.353638,96.948112,429.436005,-238.497559,75.203194,297.772614,89.188011,521.116394,385.266937,137.161026,108.804352,430.2565,83.062965,85.171471,305.721558,-169.754669,508.948975,354.673431,-198.050446,111.42231,254.239853,-322.860138,53.571316,216.174454,-239.823334,62.054234,258.651123,179.96756,57.802074,216.36557,94.962646,63.733959,361.32486,53.470394,106.919067,293.92926,-2.150009,499.239044
11,0,220.462891,-245.221725,1019.946228,242.694382,62.49522,1019.646423,435.351807,-150.220016,1039.104492,443.688721,-69.200821,1037.337646,287.729248,-258.516693,518.660339,384.18515,-287.343231,96.914589,429.457153,-238.479294,75.226662,297.773102,89.228027,521.14978,385.250427,137.181625,108.802406,430.147522,83.00087,85.164238,305.695618,-169.760422,508.969543,354.689911,-198.069748,111.458298,254.207916,-322.890015,53.565022,216.173004,-239.824402,62.04192,258.661774,179.966476,57.823551,216.426346,94.966118,63.706383,361.360992,53.503937,106.885757,293.914337,-2.173221,499.255066
12,0,220.474655,-245.235001,1019.943604,242.690506,62.482735,1019.624329,435.384064,-150.233826,1039.098389,443.652771,-69.169121,1037.335327,287.729218,-258.510742,518.617432,384.185577,-287.350372,96.947968,429.452606,-238.507141,75.215004,297.791229,89.224052,521.125427,385.235291,137.158875,108.784813,430.209442,83.035332,85.162735,305.68811,-169.819733,508.921265,354.712921,-198.098663,111.430878,254.244293,-322.884491,53.549877,216.153778,-239.819992,62.03405,258.617584,179.968002,57.834263,216.403137,94.968384,63.696785,361.339417,53.427067,106.934456,293.942352,-2.160072,499.252289
13,0,220.504898,-245.246155,1019.939514,242.696609,62.486485,1019.661682,435.391113,-150.223557,1039.0979,443.664642,-69.123253,1037.284912,287.754761,-258.516083,518.631592,384.215942,-287.337799,96.939079,429.463531,-238.519928,75.207932,297.72226,89.225197,521.140991,385.223877,137.168655,108.800407,430.28067,83.075043,85.176964,305.676666,-169.74234,508.935974,354.78714,-198.208054,111.36676,254.238281,-322.887939,53.576088,216.141556,-239.83699,62.060593,258.629181,179.982178,57.843182,216.416733,94.938576,63.691467,361.314117,53.472092,106.909477,293.912872,-2.1509,499.245331
14,0,220.550217,-245.260818,1019.933105,242.686096,62.455963,1019.683472,435.416046,-150.21225,1039.093384,443.707092,-69.126434,1037.290527,287.699768,-258.48349,518.544861,384.126709,-287.353699,96.838104,429.750946,-238.882294,75.159348,297.7659,89.251434,521.168945,385.275848,137.166611,108.818153,430.244446,83.076866,85.170616,305.769287,-169.797607,508.897003,354.793732,-198.198425,111.331589,254.262024,-322.889404,53.553955,216.169418,-239.818115,62.030682,258.672668,180.002014,57.86813,216.428452,94.950317,63.690907,361.339355,53.415962,106.913483,293.913361,-2.128053,499.235992
15,0,220.562759,-245.233139,1019.929199,242.706055,62.441845,1019.699097,435.426849,-150.195648,1039.100342,443.717957,-69.145348,1037.30957,287.753143,-258.468323,518.593933,384.112305,-287.356293,96.81974,429.742889,-238.840607,75.191338,297.763306,89.240883,521.1604,385.213257,137.193588,108.793732,430.152374,83.01387,85.195358,305.676453,-169.667267,508.987,354.700684,-198.049622,111.435501,254.226501,-322.864441,53.553524,216.138916,-239.802536,62.032333,258.683167,180.01593,57.86039,216.447769,94.935677,63.669884,361.341431,53.462242,106.913086,293.867157,-2.160269,499.233276
16,0,220.629684,-245.250244,1019.930115,242.712128,62.437462,1019.71936,435.480469,-150.16188,1039.095337,443.726166,-69.074043,1037.304932,287.683167,-258.492371,518.596619,384.045532,-287.311218,96.769386,429.738037,-238.875397,75.134956,297.778564,89.236763,521.177368,385.278992,137.182678,108.809677,430.213684,83.053108,85.195053,305.670227,-169.758682,508.925201,358.115692,-202.402695,109.247734,254.230057,-322.896118,53.558399,216.157028,-239.815384,62.027149,258.679565,180.010544,57.830383,216.420898,94.946564,63.698151,361.319031,53.426052,106.874611,293.96701,-2.067218,499.217743
17,0,220.661377,-245.238983,1019.914612,242.73555,62.438541,1019.707581,435.512604,-150.121719,1039.095093,443.707642,-69.0037,1037.340576,287.639435,-258.513458,518.592224,384.216156,-287.324554,96.94046,429.447266,-238.48996,75.19696,297.758514,89.24263,521.184204,385.214386,137.194107,108.798637,430.239746,83.076622,85.182091,305.607941,-169.769104,508.956848,354.696899,-198.056747,111.425171,254.215485,-322.861633,53.560135,216.151871,-239.817581,62.029621,258.733032,179.967636,57.825916,216.414032,94.938995,63.706429,361.3479,53.469601,106.853035,293.956696,-2.082211,499.229828
18,0,220.728165,-245.249725,1019.939209,242.729538,62.428043,1019.709229,435.547974,-150.101242,1039.087769,443.758209,-68.996605,1037.316162,287.658386,-258.499847,518.583618,384.180634,-287.346039,96.867882,429.438934,-238.51741,75.201256,297.769714,89.250809,521.157959,385.252228,137.206146,108.762596,430.136688,83.036118,85.142334,305.627319,-169.670288,509.015137,358.097626,-202.357391,109.079865,254.234192,-322.875916,53.56765,216.137024,-239.81427,62.043362,258.694763,179.988068,57.8531,216.445297,94.920975,63.68251,361.334656,53.414883,106.88192,293.940338,-2.094115,499.235809
19,0,220.75174,-245.244904,1019.927246,242.747696,62.418648,1019.703979,435.549744,-150.060028,1039.143555,443.775879,-68.929329,1037.297852,287.747101,-258.437622,518.594055,384.23941,-287.349823,96.974129,429.436188,-238.484238,75.199432,297.688568,89.258369,521.170715,385.238556,137.196671,108.783493,430.222565,83.096481,85.14534,305.632965,-169.690506,508.987854,358.07309,-202.411957,109.230591,254.247314,-322.890106,53.560722,216.134125,-239.817001,62.021805,258.646027,179.966583,57.843273,216.441452,94.909828,63.6968,361.350006,53.439903,106.88298,293.874969,-2.130572,499.240479
