,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,228.813202,-246.532791,1014.490967,261.014954,56.734726,1012.804504,446.541382,-153.202347,1044.801758,456.095459,-78.981918,1041.399292,313.979523,-275.328522,531.920105,387.164978,-293.355347,93.700294,434.837616,-247.463181,71.766609,322.497437,87.45916,518.805725,392.257294,132.136627,104.690849,434.32196,76.030411,80.848457,321.855713,-169.721558,512.226135,365.320282,-207.954102,105.237732,255.366974,-323.3237,51.395668,221.38327,-237.11647,59.423698,265.233887,180.22937,54.497101,221.479202,94.68055,63.701427,365.574249,49.114513,107.052132,317.899811,-5.313329,497.990479
2,0,228.722824,-246.557526,1014.505615,260.984436,56.761414,1012.77533,446.491272,-153.192947,1044.838989,456.194366,-78.889999,1041.379517,313.782654,-275.317383,531.92865,387.138153,-293.342926,93.71769,434.819519,-247.396637,71.715935,322.472107,87.44532,518.80127,392.254364,132.10907,104.687149,434.351654,76.059219,80.86248,321.725098,-169.72789,512.196106,365.294983,-207.965042,105.228737,255.331726,-323.323212,51.402882,221.383133,-237.120544,59.428062,265.249207,180.240921,54.503578,221.465027,94.659546,63.693367,365.573853,49.106197,107.070511,317.877319,-5.320781,497.995087
3,0,228.683884,-246.58342,1014.499084,260.92804,56.779964,1012.770081,446.363373,-153.196014,1044.819336,456.090088,-78.908943,1041.383911,313.681427,-275.274811,531.912842,387.12146,-293.327789,93.705032,434.790558,-247.41391,71.731056,322.451782,87.441193,518.805908,392.260315,132.11853,104.693161,434.341431,76.037399,80.871689,321.595978,-169.713058,512.172363,365.285431,-207.947678,105.211227,255.382782,-323.287659,51.450241,221.360458,-237.12265,59.434841,265.234344,180.232025,54.494633,221.458008,94.661629,63.69239,365.514191,49.101414,107.079124,317.811127,-5.313314,497.987762
4,0,228.603317,-246.639786,1014.470947,260.870178,56.792816,1012.758728,446.319061,-153.198715,1044.833374,456.017883,-78.943962,1041.400635,313.531464,-275.273438,531.916199,387.105103,-293.335602,93.747009,434.798645,-247.420227,71.751671,322.411957,87.450783,518.808838,392.237335,132.109558,104.697296,434.341156,76.026756,80.857483,321.46402,-169.772018,512.208008,365.298309,-207.948929,105.211357,255.339386,-323.316681,51.407242,221.354965,-237.116486,59.439407,265.232574,180.234497,54.498535,221.459137,94.668663,63.688957,365.523804,49.085579,107.105392,317.794525,-5.33648,498.001801
5,0,228.510223,-246.675217,1014.450806,260.802704,56.814247,1012.755249,446.179779,-153.235565,1044.778564,455.966827,-79.008347,1041.403564,313.508057,-275.250366,531.913574,387.123627,-293.315277,93.721664,434.78717,-247.41925,71.735382,322.399811,87.43705,518.808411,392.247955,132.104111,104.71386,434.3526,76.04406,80.876648,321.392609,-169.733719,512.224548,365.285522,-207.945786,105.20089,255.337143,-323.327301,51.416828,221.35199,-237.108032,59.416302,265.239594,180.247604,54.507664,221.476547,94.66729,63.69239,365.534515,49.08218,107.094254,317.748108,-5.330368,497.995514
6,0,228.395157,-246.681366,1014.44696,260.721802,56.810371,1012.740112,446.105347,-153.245789,1044.782349,455.779114,-79.102707,1041.432861,313.486664,-275.268433,531.883118,387.117828,-293.288879,93.7341,434.784271,-247.417603,71.741402,322.368927,87.427979,518.791931,392.239441,132.108734,104.696915,434.317993,76.005539,80.871811,321.373016,-169.742279,512.206604,365.276886,-207.960068,105.192474,255.366837,-323.305908,51.394699,221.347198,-237.122162,59.422901,265.245544,180.214401,54.488136,221.457092,94.655098,63.703426,365.553833,49.082775,107.044853,317.717316,-5.358102,497.957733
7,0,228.278793,-246.677933,1014.409668,260.67984,56.80027,1012.722046,446.006134,-153.253769,1044.782471,455.795166,-79.083931,1041.436157,313.474854,-275.254456,531.900513,387.140533,-293.286835,93.726929,434.771729,-247.404831,71.715858,322.347198,87.425133,518.799438,392.238556,132.091431,104.697205,434.316681,75.985054,80.887733,321.380371,-169.728363,512.210876,365.280579,-207.941895,105.215096,255.320755,-323.299438,51.415539,221.3479,-237.111679,59.424797,265.229858,180.197678,54.463158,221.46138,94.65831,63.696617,365.536865,49.078533,107.108681,317.722015,-5.330022,497.962982
8,0,228.134399,-246.650192,1014.369507,260.576416,56.792149,1012.712097,445.818634,-153.308044,1044.793823,455.636566,-79.190468,1041.452515,313.474762,-275.269745,531.885925,387.135498,-293.274323,93.75135,434.811371,-247.406296,71.737488,322.329498,87.423958,518.799255,392.251465,132.080063,104.687126,434.338318,75.998322,80.881386,321.392548,-169.721252,512.24353,365.279358,-207.959854,105.231636,255.332703,-323.321716,51.422783,221.360229,-237.108368,59.435287,265.235809,180.175369,54.429497,221.449997,94.665207,63.704155,365.528717,49.098049,107.09613,317.702179,-5.333904,497.927521
9,0,228.042709,-246.501572,1014.319885,260.500793,56.798832,1012.707336,445.678528,-153.36441,1044.763062,455.511993,-79.208206,1041.441895,313.520844,-275.288696,531.880737,387.116425,-293.303497,93.726357,434.810516,-247.402222,71.751328,322.316315,87.418564,518.792419,392.238647,132.081619,104.69928,434.322784,75.976242,80.893066,321.480499,-169.723999,512.16626,365.264832,-207.934082,105.23056,255.32019,-323.317932,51.402466,221.359482,-237.119064,59.412724,265.253387,180.241608,54.491978,221.458633,94.670273,63.689709,365.540588,49.076138,107.036072,317.640076,-5.324423,497.960022
10,0,227.8694,-246.44751,1014.294861,260.38443,56.795059,1012.694031,445.556274,-153.420593,1044.751099,455.406708,-79.261826,1041.396851,313.515045,-275.325958,531.872314,387.111115,-293.308441,93.694244,434.815796,-247.415695,71.723763,322.309357,87.442322,518.797058,392.244568,132.09465,104.722839,434.350006,76.001801,80.900902,321.43576,-169.755966,512.176514,365.285858,-207.972672,105.213997,255.336441,-323.324463,51.399712,221.357834,-237.101425,59.433887,265.245575,180.247574,54.490246,221.445694,94.6689,63.691528,365.556335,49.082268,107.041153,317.618195,-5.320571,497.948639
