,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,249.798859,-245.654587,1015.187134,293.464386,60.759251,1014.195923,471.496765,-158.179962,1044.525513,483.536987,-84.982391,1041.062134,316.719818,-275.741089,533.013855,384.291016,-298.001068,93.530281,434.172394,-254.348907,71.282219,326.639191,86.346001,520.41449,391.121216,134.858902,104.57708,436.352753,81.182747,80.305069,328.004913,-169.856705,512.688843,366.254791,-211.266815,104.854721,251.546921,-321.689972,52.121391,221.443802,-234.56488,59.70055,261.962677,175.538742,54.923134,221.874802,88.989983,62.95179,368.430878,49.475895,106.380325,320.264893,-5.932167,499.182587
2,0,249.75296,-245.66861,1015.111206,293.711304,60.927849,1014.236328,471.604553,-158.123489,1044.540649,483.575562,-84.988792,1041.028442,316.779297,-275.694489,532.982727,384.278412,-298.023346,93.500275,434.184509,-254.366516,71.27269,326.636871,86.420601,520.424011,391.098694,134.896317,104.574142,436.365875,81.200836,80.310349,328.295685,-170.141586,512.721069,366.10968,-211.453766,104.898293,251.562561,-321.681061,52.099556,221.443832,-234.568237,59.698021,261.977966,175.58194,54.9543,221.857086,89.000809,62.947407,368.437653,49.487194,106.396767,320.202209,-5.864676,499.20166
3,0,249.959656,-245.482224,1015.119934,293.855988,61.000053,1014.286255,471.700836,-158.009689,1044.592163,483.664307,-84.92675,1041.101562,316.840576,-275.637329,533.003601,384.289429,-298.039734,93.514656,434.176575,-254.364517,71.273209,326.645142,86.47937,520.445251,391.123505,134.903412,104.572792,436.385132,81.205811,80.32019,328.311279,-169.79953,512.638367,366.119507,-211.47818,104.900558,251.543884,-321.667389,52.126637,221.445282,-234.560532,59.709164,261.979218,175.551285,54.981888,221.876877,88.988098,62.94482,368.40744,49.480835,106.385696,320.165497,-5.833411,499.234467
4,0,249.996567,-245.520828,1015.107727,293.893066,60.999317,1014.357117,471.784058,-157.96553,1044.648315,483.901093,-84.807419,1041.285034,316.755127,-275.627441,532.928589,384.316193,-298.014252,93.521866,434.180664,-254.389221,71.271683,326.648163,86.53968,520.460205,391.131622,134.913589,104.581642,436.365662,81.21463,80.309853,328.392883,-169.711563,512.640137,366.121735,-211.472717,104.903221,251.546738,-321.682465,52.113552,221.443436,-234.552582,59.69762,261.865051,175.340393,54.998631,221.872269,88.991173,62.96487,368.436066,49.48098,106.418129,320.160706,-5.758021,499.258179
5,0,250.066513,-245.39357,1015.059814,294.084778,61.157967,1014.387756,471.899841,-157.87056,1044.701294,483.903442,-84.846428,1041.319458,316.875366,-275.593231,532.927795,384.313873,-298.020538,93.514565,434.183807,-254.399506,71.243431,326.68219,86.60881,520.471985,391.107697,134.926636,104.571503,436.351135,81.202766,80.297379,328.545319,-169.66127,512.626953,366.109192,-211.510986,104.895241,251.547394,-321.672302,52.106983,221.447174,-234.556778,59.708645,261.88681,175.341736,54.995701,221.882355,88.998299,62.958515,368.487305,49.488281,106.389435,320.17395,-5.688126,499.272644
6,0,250.077759,-245.449097,1015.0224,294.193604,61.249355,1014.428711,471.96936,-157.821884,1044.751709,483.976715,-84.72113,1041.341064,316.953461,-275.59726,532.936768,384.299835,-298.008118,93.501534,434.187836,-254.383743,71.244286,326.718109,86.658226,520.492126,391.106293,134.931046,104.573799,436.37674,81.215294,80.300507,328.726227,-169.662521,512.60553,366.142517,-211.489716,104.897789,251.559021,-321.662262,52.101498,221.452423,-234.543488,59.702713,261.89801,175.26207,55.067566,221.889725,88.999489,62.950977,368.457611,49.483326,106.417015,320.228088,-5.624332,499.297882
7,0,250.15863,-245.272186,1014.982605,294.307373,61.355465,1014.469116,472.047119,-157.721512,1044.801392,484.123749,-84.672684,1041.514648,317.087006,-275.543121,532.948181,384.302765,-298.012787,93.520004,434.209747,-254.364609,71.269341,326.780609,86.722481,520.499756,391.126831,134.972031,104.576057,436.370941,81.208733,80.306259,328.829865,-169.582733,512.605774,366.164185,-211.493011,104.888695,251.565781,-321.667816,52.111736,221.455475,-234.542236,59.691113,261.91684,175.364532,54.977039,221.882996,89.007469,62.950222,368.46701,49.501324,106.450241,320.246765,-5.560647,499.345062
8,0,250.18811,-245.132568,1014.963501,294.446808,61.442924,1014.497375,472.155823,-157.653992,1044.832153,484.244507,-84.57402,1041.629761,317.21286,-275.462463,532.941528,384.269562,-298.004944,93.494507,434.276611,-254.35022,71.3078,326.871582,86.794876,520.539612,391.171234,134.999924,104.589188,436.373993,81.211327,80.314568,328.96579,-169.524887,512.556885,366.183136,-211.441864,104.90155,251.567841,-321.655853,52.10112,221.449005,-234.531952,59.699062,261.994232,175.450287,55.060287,221.899826,89.005585,62.940823,368.510284,49.510769,106.415283,320.346741,-5.497981,499.357788
9,0,250.265747,-244.969131,1014.935364,294.554016,61.534782,1014.504089,472.184692,-157.622116,1044.9021,484.453796,-84.406548,1041.683716,317.364532,-275.371857,532.934021,384.314056,-297.962708,93.547539,434.230164,-254.363602,71.264641,326.966766,86.880066,520.553467,391.167999,134.961304,104.542992,436.386322,81.217041,80.317719,329.036346,-169.458908,512.560303,366.187317,-211.468292,104.890633,251.549606,-321.640137,52.119186,221.470764,-234.540543,59.707546,261.920319,175.368408,54.995373,221.886475,89.015427,62.95137,368.457977,49.523228,106.441437,320.4086,-5.428622,499.377319
10,0,250.337448,-244.8069,1014.932739,294.648468,61.606857,1014.530273,472.286713,-157.534241,1044.953369,484.547455,-84.328148,1041.745117,317.474792,-275.336395,532.950378,384.333893,-297.932556,93.543144,434.22644,-254.361298,71.252731,327.077454,86.950356,520.578369,391.184723,134.957703,104.549049,436.393433,81.221672,80.295265,329.075897,-169.31604,512.536377,366.189209,-211.457138,104.883736,251.560181,-321.616821,52.121075,221.452713,-234.524643,59.711559,261.933411,175.352219,54.954468,221.899506,89.021873,62.954731,368.509979,49.50779,106.458687,320.457397,-5.348133,499.412292
11,0,250.446411,-244.670212,1014.924194,294.736481,61.69548,1014.562988,472.143646,-157.470459,1044.949341,484.637512,-84.245544,1041.767212,317.610931,-275.295471,532.952576,384.332764,-297.90387,93.544548,434.264374,-254.346252,71.232208,327.19751,87.030586,520.617798,391.17984,134.946396,104.540634,436.415985,81.226608,80.302078,329.17041,-169.208389,512.542664,366.164429,-211.439285,104.856819,251.562531,-321.62915,52.121265,221.448669,-234.518341,59.685696,262.000061,175.496704,55.060169,221.924866,89.02729,62.944942,368.562256,49.551865,106.527428,320.548767,-5.294777,499.412262
12,0,250.450104,-244.569962,1014.919983,294.797485,61.787102,1014.570496,472.440552,-157.387924,1044.999756,484.687164,-84.144936,1041.811279,317.69043,-275.217194,532.916321,384.332703,-297.90152,93.550819,434.252686,-254.323273,71.240807,327.317017,87.097229,520.623535,391.201691,135.002502,104.539467,436.399445,81.250473,80.292114,329.275604,-169.165619,512.494019,366.169983,-211.425766,104.860718,251.559967,-321.614563,52.099422,221.463638,-234.533737,59.685207,261.881409,175.296249,54.881454,221.919846,89.040092,62.94471,368.542511,49.560879,106.549065,320.616638,-5.223062,499.446442
13,0,250.565643,-244.431778,1014.91394,294.87619,61.866413,1014.595032,472.342743,-157.282379,1045.001831,484.783752,-84.040558,1041.859985,317.837494,-275.172424,532.95459,384.322845,-297.857208,93.546486,434.241425,-254.266205,71.235092,327.425201,87.175873,520.639832,391.211578,135.013336,104.523888,436.403229,81.251999,80.29702,329.212402,-168.990509,512.506104,366.166687,-211.391861,104.86055,251.568619,-321.598816,52.119846,221.455261,-234.53331,59.705715,261.942444,175.345291,54.914829,221.918701,89.056305,62.953548,368.564728,49.582752,106.556801,320.682037,-5.156522,499.472015
14,0,250.573181,-244.359924,1014.937073,294.937408,61.961308,1014.598877,472.593781,-157.166473,1045.067017,484.865051,-83.927345,1041.912842,317.951569,-275.143494,532.922241,384.364166,-297.814941,93.569756,434.230865,-254.243134,71.247429,327.516724,87.229568,520.65094,391.183563,134.98143,104.4814,436.403381,81.257195,80.293564,329.311554,-168.957504,512.509277,366.153137,-211.347687,104.817307,251.558746,-321.600128,52.117424,221.441116,-234.53038,59.703785,261.959259,175.459351,54.979244,221.919235,89.026939,62.958172,368.533264,49.603981,106.534004,320.766693,-5.084533,499.474365
15,0,250.65863,-244.298981,1014.917114,294.991913,62.037075,1014.620544,472.536072,-157.004272,1045.086182,484.926758,-83.780098,1041.949951,318.118561,-275.067993,532.93042,384.365021,-297.777588,93.562988,434.280121,-254.201233,71.294075,327.609039,87.319351,520.661804,391.215759,135.033218,104.513367,436.414886,81.250648,80.297928,329.374329,-168.858002,512.500977,366.140381,-211.355118,104.822716,251.543137,-321.621643,52.115463,221.427933,-234.532211,59.69558,261.959717,175.44783,54.975185,221.936844,89.033707,62.978386,368.609131,49.633255,106.54216,320.805481,-5.049829,499.501282
16,0,250.713791,-244.266647,1014.911072,295.037048,62.110439,1014.630798,472.644653,-156.844406,1045.119995,484.960419,-83.636925,1041.980103,318.274384,-275.090027,532.953552,384.374908,-297.787567,93.562202,434.236084,-254.203491,71.214508,327.693573,87.379623,520.680725,391.226562,135.008484,104.509834,436.431854,81.27578,80.312561,329.440094,-168.770813,512.471252,366.152954,-211.338562,104.811234,251.564896,-321.611053,52.104942,221.411652,-234.537735,59.697678,261.973694,175.445984,54.955303,221.941467,89.045364,62.960461,368.596283,49.643486,106.575249,320.906128,-4.978551,499.509674
17,0,250.77626,-244.243637,1014.896851,295.049469,62.204601,1014.633179,472.704346,-156.715576,1045.153687,485.030273,-83.522598,1042.037476,318.396057,-275.056488,532.946228,384.401337,-297.772675,93.56823,434.224152,-254.213516,71.215843,327.805908,87.45047,520.677246,391.282166,135.073547,104.527481,436.424713,81.296066,80.291626,329.555634,-168.710236,512.462219,366.153687,-211.325455,104.795258,251.56575,-321.619507,52.114952,221.422592,-234.544403,59.697575,261.981659,175.464584,54.961197,221.933685,89.03315,62.945911,368.597656,49.66111,106.592583,320.985657,-4.943034,499.561279
18,0,250.860336,-244.194275,1014.897827,294.984711,62.204033,1014.679321,472.933228,-156.583374,1045.19397,485.041931,-83.419731,1042.100586,318.572754,-275.055267,532.950317,384.404999,-297.750488,93.577408,434.204742,-254.17337,71.218002,327.85849,87.525681,520.689941,391.26416,135.073029,104.542351,436.448334,81.300003,80.331192,329.638824,-168.707031,512.442139,366.154358,-211.302475,104.810005,251.575058,-321.618164,52.09473,221.417068,-234.552948,59.708782,261.953979,175.450943,54.963345,221.949615,89.038681,62.958084,368.574768,49.646919,106.629028,321.17984,-4.827434,499.573395
19,0,250.908905,-244.149231,1014.888428,295.077271,62.333054,1014.682556,472.971954,-156.406113,1045.238159,485.109863,-83.242653,1042.172241,318.746918,-275.010284,532.989258,384.393188,-297.758911,93.602356,434.330841,-254.178345,71.274147,327.932495,87.592705,520.707642,391.24054,135.044479,104.465218,436.470856,81.306839,80.315971,329.743805,-168.6604,512.451111,366.158173,-211.307877,104.81469,251.552643,-321.604279,52.116196,221.420609,-234.558426,59.710915,261.959869,175.475311,54.963818,221.947662,89.04084,62.968575,368.650177,49.682854,106.574265,321.257904,-4.81033,499.607422
20,0,250.952179,-244.098114,1014.905579,295.002167,62.332153,1014.708191,473.014465,-156.299026,1045.272339,485.104065,-83.116814,1042.241089,318.875305,-274.977478,532.963928,384.388306,-297.748566,93.59845,434.266693,-254.159714,71.246964,328.016083,87.652428,520.707214,391.286255,135.064835,104.499985,436.484589,81.333054,80.316185,329.969421,-168.785065,512.423889,366.120972,-211.326935,104.780548,251.561157,-321.625702,52.095428,221.409012,-234.557159,59.729362,261.972717,175.480515,54.984989,221.944763,89.040924,62.953213,368.727386,49.704262,106.589622,321.364288,-4.737215,499.61026
21,0,251.006577,-244.02269,1014.910583,294.995239,62.373146,1014.713623,473.051666,-156.165939,1045.307129,485.133331,-83.01239,1042.303467,319.039062,-274.984314,532.98114,384.410339,-297.763336,93.577499,434.253571,-254.170059,71.212509,328.089447,87.728867,520.715088,391.300171,135.102783,104.486877,436.244904,81.242424,80.206291,329.995667,-168.740158,512.392151,366.145355,-211.306198,104.798523,251.600647,-321.648834,52.086319,221.423126,-234.580048,59.708733,261.986115,175.479309,54.944839,221.961029,89.045555,62.958553,368.634399,49.739429,106.697693,321.460785,-4.684703,499.60144
22,0,251.065018,-243.943497,1014.907104,294.986633,62.417347,1014.693848,473.130615,-156.05014,1045.436523,485.18454,-82.831841,1042.340576,319.194,-274.947083,533.00354,384.456573,-297.758118,93.615982,434.228973,-254.144043,71.221664,328.123352,87.790199,520.731445,391.307861,135.158554,104.496407,436.277222,81.27668,80.2117,329.972992,-168.640167,512.432129,366.14624,-211.308365,104.797676,251.577194,-321.636169,52.084667,221.420639,-234.581421,59.703808,261.997375,175.495468,54.949886,221.963745,89.040031,62.94772,368.716797,49.741432,106.679245,321.472626,-4.621669,499.620972
23,0,251.12027,-243.841751,1014.942505,294.956573,62.469097,1014.692444,473.144135,-155.927582,1045.424805,485.208893,-82.685287,1042.358643,319.253082,-274.911713,533.0,384.483673,-297.720123,93.609543,434.281799,-254.147583,71.230614,328.145081,87.855415,520.730774,391.309753,135.130676,104.487846,436.30246,81.298286,80.23687,329.976196,-168.566574,512.403748,366.112,-211.306641,104.813965,251.582718,-321.6297,52.106964,221.431351,-234.571594,59.716545,261.992767,175.501419,54.94294,221.981918,89.047218,62.959015,368.689484,49.747669,106.691406,321.533691,-4.59755,499.634186
24,0,251.19397,-243.72496,1014.984985,294.925568,62.528454,1014.667725,473.168793,-155.827698,1045.459473,485.226715,-82.561783,1042.410645,319.290833,-274.880493,532.996216,384.455048,-297.723145,93.620094,434.232666,-254.102859,71.244102,328.163666,87.894585,520.727966,391.315094,135.148743,104.48613,436.291473,81.295242,80.24173,329.998322,-168.56517,512.407837,366.122986,-211.269745,104.803459,251.57019,-321.650757,52.104317,221.42453,-234.59317,59.733887,261.982605,175.503647,54.963478,221.987427,89.03923,62.938847,368.738159,49.755836,106.689003,321.572144,-4.569953,499.629333
