,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,225.894821,-240.301483,1017.657654,259.704926,63.705227,1017.37085,444.723267,-154.871155,1046.35498,454.060455,-71.519493,1043.980103,291.083435,-260.464417,517.077881,380.407867,-295.835175,96.804779,428.822998,-249.409515,74.268654,310.931915,91.842621,520.437439,381.442047,138.002045,107.609726,424.731354,83.12764,83.365303,314.171875,-171.885239,506.871399,357.386444,-209.686493,108.819733,249.025757,-327.380493,53.548756,214.11171,-242.000839,61.948074,254.064209,182.338287,55.751003,210.621323,96.912498,64.649178,355.857697,54.347424,107.781891,307.043549,-1.715671,498.940491
2,0,225.902405,-240.292999,1017.643433,259.694,63.707741,1017.378357,444.713074,-154.838928,1046.368042,454.052368,-71.464134,1043.982178,291.34729,-260.356598,517.125183,380.411438,-295.847382,96.826462,428.265076,-248.926788,74.374039,310.923401,91.850563,520.423157,381.4104,138.032852,107.609146,424.698578,83.151489,83.328308,314.141632,-171.90184,506.887787,357.557556,-209.609421,108.82222,248.994308,-327.365631,53.545109,214.104431,-241.981796,61.963524,252.905273,182.507095,57.175694,210.635345,96.929207,64.65004,355.881958,54.379707,107.775887,307.036652,-1.70809,498.941193
3,0,226.486206,-239.855484,1017.85968,259.692719,63.722542,1017.374634,444.721619,-154.805771,1046.384155,454.065216,-71.4571,1043.988525,291.330963,-260.347931,517.092834,380.42038,-295.82016,96.80835,428.363892,-248.803711,74.719101,310.885742,91.86586,520.429688,381.419983,138.029114,107.630463,424.743561,83.133156,83.362076,314.127991,-171.888718,506.853638,357.385193,-209.703064,108.803154,249.018356,-327.360443,53.546265,214.101501,-241.989548,61.971298,254.015244,182.351685,55.762596,210.633713,96.922798,64.659515,355.859283,54.383244,107.761154,307.906982,-0.990521,498.954346
4,0,226.493256,-239.851288,1017.838623,259.671997,63.72308,1017.401672,444.725769,-154.784744,1046.397583,454.072876,-71.373581,1044.019409,291.314423,-260.353027,517.137451,380.416382,-295.829712,96.815384,428.275024,-248.785431,74.705215,310.858154,91.851974,520.429993,381.413116,138.042099,107.625687,424.7453,83.138565,83.346619,314.15625,-171.867737,506.842438,357.558929,-209.608459,108.824333,249.015427,-327.352905,53.549351,214.106857,-242.110336,61.831192,254.064499,182.351608,55.707821,210.636856,96.903839,64.647301,355.876404,54.390747,107.798538,307.890228,-0.992597,498.940094
5,0,226.485306,-239.811325,1017.81488,259.647736,63.708679,1017.40802,444.685516,-154.744125,1046.400269,454.049866,-71.340309,1044.052246,290.993896,-260.499939,517.149475,380.480042,-295.824982,96.900917,428.261719,-248.902206,74.354012,310.823181,91.865501,520.429382,381.455048,138.019577,107.598785,424.700287,83.162643,83.347443,314.101532,-171.886047,506.855133,357.403168,-209.676422,108.797829,249.038712,-327.370514,53.560677,214.051117,-241.981613,61.951946,254.017746,182.324554,55.762108,210.67363,96.904144,64.671257,355.805725,54.399223,107.727219,307.850952,-0.989377,498.945679
6,0,226.450623,-239.830338,1017.769714,259.615112,63.710167,1017.411682,444.685272,-154.752884,1046.416748,454.067505,-71.317871,1044.053467,291.264679,-260.358826,517.142395,380.496948,-295.815094,96.895859,428.261261,-248.896896,74.398537,310.814667,91.873154,520.442932,381.433716,138.045563,107.620705,424.716248,83.13018,83.373772,314.155518,-171.85054,506.864899,357.567749,-209.571976,108.850113,249.018616,-327.354797,53.569057,214.068314,-241.992706,61.952732,254.024353,182.320938,55.766006,210.627365,96.906258,64.674866,355.794952,54.385151,107.789062,307.833984,-0.998029,498.94574
7,0,226.443649,-239.822845,1017.767883,259.597565,63.724117,1017.440918,444.667694,-154.725159,1046.440186,454.04483,-71.308655,1044.085571,291.057343,-260.50061,517.165039,380.426605,-295.819,96.835495,428.248199,-248.879913,74.384087,310.829987,91.881004,520.427124,381.150085,138.007828,107.47226,424.687714,83.156891,83.368324,314.187256,-171.856476,506.862823,357.420319,-209.668701,108.815529,249.03215,-327.374146,53.571922,214.044891,-241.981796,61.931965,253.981079,182.322189,55.741852,210.659012,96.922638,64.669731,355.788574,54.397636,107.777931,307.782196,-0.964217,498.953979
8,0,226.390579,-239.79039,1017.744995,259.582794,63.728264,1017.439148,444.646118,-154.734116,1046.449219,454.044312,-71.291016,1044.129761,291.325806,-260.342377,517.124512,380.434235,-295.797028,96.824768,428.734406,-249.287247,74.322021,310.810211,91.9114,520.469543,381.415619,138.058105,107.646233,424.63974,83.179138,83.327103,314.203552,-171.838531,506.811676,357.563995,-209.591415,108.850266,249.017227,-327.347198,53.557293,214.046051,-242.064713,61.828396,253.972763,182.352814,55.741249,210.63179,96.949806,64.678932,355.782623,54.394531,107.774902,307.799072,-0.952866,498.961853
9,0,226.38121,-239.744934,1017.757629,259.594788,63.763081,1017.415527,444.625702,-154.725861,1046.459229,454.041901,-71.277145,1044.147461,291.283844,-260.343994,517.152954,380.424835,-295.795715,96.800827,428.271332,-248.800934,74.660194,310.800201,91.917686,520.485352,381.452148,138.042328,107.629166,424.655365,83.173279,83.353226,314.219879,-171.853836,506.798553,357.572479,-209.579926,108.855995,249.023392,-327.329895,53.569141,214.04248,-242.06485,61.836079,253.916412,182.343536,55.687065,210.625748,96.918694,64.672379,355.740082,54.422405,107.813072,307.828583,-0.930086,498.967743
10,0,226.363876,-239.702957,1017.747864,259.593292,63.770763,1017.453064,444.618683,-154.708252,1046.454346,454.022552,-71.26889,1044.148682,291.298096,-260.348022,517.14447,380.423187,-295.773193,96.803986,428.70105,-249.282501,74.366257,310.777771,91.922935,520.469604,381.468536,138.068832,107.653069,424.643219,83.164818,83.365105,314.2883,-171.814529,506.829071,357.571289,-209.577972,108.853691,248.987411,-327.332458,53.538548,213.997879,-241.970886,61.918545,253.961777,182.354233,55.693207,210.637283,96.93824,64.680855,355.665192,54.425922,107.802719,307.882172,-0.896047,498.947479
