,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,216.645233,-237.376617,1013.483032,257.533325,62.917545,1011.081116,436.095367,-152.447128,1049.96106,448.006287,-78.021873,1046.92688,303.320557,-274.183441,531.607117,378.025696,-301.406982,94.494858,428.85553,-258.445618,72.017632,325.042938,92.29129,519.673584,389.506927,134.927704,104.686943,430.351318,78.01371,81.095726,315.465973,-168.980743,510.790222,361.283661,-214.224808,104.607811,245.2397,-323.567688,51.972618,216.200241,-235.681366,59.60165,261.563416,184.946747,53.615837,217.743011,99.263611,64.792091,361.466553,52.694427,108.161942,319.419891,-0.57854,498.286713
2,0,216.771393,-237.225464,1013.509888,257.552429,62.908352,1011.118408,436.140106,-152.443649,1049.951538,448.080994,-78.053558,1047.020264,303.314606,-274.184784,531.604248,378.024872,-301.405823,94.500801,428.855133,-258.427094,72.014175,325.07608,92.298607,519.679626,389.487579,134.959259,104.685715,430.336945,78.020264,81.08461,315.473328,-169.061874,510.815491,361.289368,-214.214294,104.614548,245.245239,-323.565247,51.985058,216.191879,-235.685547,59.596352,261.538605,184.91893,53.591148,217.744064,99.250885,64.792992,361.547546,52.715538,108.161301,319.453888,-0.559968,498.286499
3,0,216.625961,-237.649551,1013.569214,257.592682,62.872128,1011.162292,436.190277,-152.434143,1049.952148,448.127869,-78.042076,1046.90271,303.358643,-274.165771,531.579224,378.060455,-301.414124,94.516579,428.843781,-258.433807,71.98484,325.097626,92.300674,519.677185,389.497589,134.946915,104.689804,430.36969,77.924438,81.152855,315.446594,-168.975388,510.865082,361.287964,-214.218918,104.626213,245.234451,-323.574615,51.958637,216.194107,-235.68364,59.592518,261.563568,184.919449,53.603352,217.75824,99.267174,64.774857,361.485321,52.687767,108.186974,319.466614,-0.564189,498.292267
4,0,216.765427,-237.644302,1013.531311,257.697418,62.832207,1011.197449,436.256836,-152.474197,1049.952026,448.18985,-78.048782,1046.919922,303.35907,-274.191803,531.608582,378.019104,-301.406494,94.496315,428.859406,-258.447815,71.979675,325.139893,92.296692,519.672363,389.497192,134.942444,104.673889,430.401489,77.918579,81.136276,315.487274,-169.000229,510.87027,361.277679,-214.203522,104.592834,245.240982,-323.58078,51.967312,216.193985,-235.689423,59.58807,261.54184,184.9384,53.590099,217.731659,99.258965,64.762177,361.48233,52.714169,108.212456,319.49707,-0.549664,498.284088
5,0,216.820572,-237.603958,1013.55304,257.765198,62.815094,1011.22937,436.345123,-152.469894,1049.97583,448.329956,-78.067085,1047.060669,303.395386,-274.195343,531.632996,378.039917,-301.408783,94.500984,428.834808,-258.397614,71.989975,325.164886,92.310364,519.681213,389.501465,134.951599,104.674515,430.40274,77.94548,81.147285,315.485229,-168.960617,510.829559,361.270111,-214.215912,104.618935,245.224609,-323.575775,51.979164,216.174423,-235.684128,59.646481,261.522614,184.934006,53.616989,217.751358,99.270721,64.781265,361.474243,52.705769,108.192253,319.541748,-0.552032,498.304596
6,0,216.993195,-237.403,1013.562927,257.858704,62.781639,1011.265503,436.464966,-152.499603,1049.984009,448.37323,-78.062431,1047.057861,303.458923,-274.161591,531.61908,378.010406,-301.380798,94.458389,428.924927,-258.509552,71.982643,325.210846,92.284943,519.67749,389.492493,134.952972,104.675629,430.416962,77.938156,81.166443,315.535095,-169.012787,510.832489,361.277374,-214.189789,104.630524,245.22435,-323.560852,52.017181,216.204346,-235.690262,59.601574,261.546112,184.920273,53.620987,217.727173,99.265083,64.781578,361.477234,52.728802,108.177071,319.555328,-0.532274,498.325134
7,0,216.983307,-237.542389,1013.599182,257.963348,62.763004,1011.321289,436.560181,-152.496201,1049.975098,448.450073,-78.063713,1046.969238,303.449615,-274.155151,531.637695,378.028595,-301.386597,94.499077,428.848969,-258.443115,71.990303,325.271515,92.288193,519.683044,389.513733,134.935745,104.678596,430.380463,77.934219,81.144852,315.541901,-168.996292,510.838623,361.281769,-214.214767,104.618324,245.243927,-323.570312,51.975208,216.214447,-235.68306,59.587376,261.534363,184.930893,53.60759,217.748306,99.260742,64.788353,361.472809,52.678066,108.175873,319.633942,-0.500927,498.312225
8,0,217.149124,-237.331131,1013.580444,258.058258,62.764568,1011.363403,436.589417,-152.542679,1049.967041,448.528992,-78.0942,1047.023071,303.493225,-274.168915,531.629028,378.042969,-301.395325,94.503067,428.868988,-258.480133,71.964592,325.332458,92.284828,519.679199,389.488525,134.945175,104.69101,430.390656,77.931419,81.142609,315.566559,-168.974197,510.847321,361.308075,-214.197281,104.628387,245.222122,-323.568085,51.999451,216.210205,-235.68573,59.591854,261.553986,184.917252,53.619186,217.748535,99.251747,64.787018,361.51712,52.705681,108.1576,319.678406,-0.513206,498.340027
9,0,217.154022,-237.450363,1013.582581,258.203491,62.772446,1011.382324,436.672394,-152.55545,1049.968628,448.635742,-78.113358,1046.97229,303.495941,-274.161896,531.627747,378.058075,-301.371765,94.452469,428.859924,-258.454163,71.954071,325.381561,92.297791,519.695984,389.482361,134.955521,104.676666,430.394714,77.929405,81.117729,315.611816,-168.971069,510.871826,361.30957,-214.200211,104.624504,245.25386,-323.582336,51.968903,216.187668,-235.680374,59.633862,261.543213,184.906693,53.589485,217.755188,99.264305,64.789993,361.472656,52.693886,108.216675,319.73288,-0.503227,498.333679
10,0,217.227829,-237.393738,1013.593201,258.327942,62.769398,1011.399963,436.805237,-152.53096,1049.963013,448.728363,-78.087013,1046.85498,303.578644,-274.134705,531.625732,378.014313,-301.390656,94.471512,428.849457,-258.429199,71.968307,325.436127,92.305305,519.704468,389.506317,134.961975,104.667175,430.425476,77.937271,81.110573,315.648651,-168.927948,510.864197,361.302155,-214.214127,104.601807,245.244919,-323.56781,51.964943,216.192017,-235.669983,59.627361,261.56781,184.940796,53.599552,217.767014,99.259377,64.795311,361.559326,52.71899,108.193863,319.729675,-0.493048,498.349731
11,0,217.357468,-237.202835,1013.597351,258.427368,62.779568,1011.435364,436.864807,-152.559601,1049.988037,448.995636,-78.032913,1047.012207,303.588501,-274.160675,531.605408,378.03952,-301.37915,94.485039,428.838654,-258.410217,71.953575,325.469025,92.329262,519.703613,389.50412,134.939087,104.663757,430.542786,77.968956,81.217857,315.715149,-168.938538,510.849182,361.33786,-214.208084,104.61692,245.235855,-323.562195,51.971207,216.21611,-235.673676,59.597649,261.567078,184.937851,53.613827,217.772415,99.275314,64.803192,361.500061,52.720715,108.202576,319.790558,-0.479665,498.365295
12,0,217.375443,-237.261887,1013.605713,258.581512,62.803165,1011.441101,436.927368,-152.574524,1049.964478,448.980621,-78.109505,1047.031982,303.654724,-274.117371,531.622009,378.034546,-301.367157,94.466225,428.851959,-258.471527,71.942169,325.553528,92.315178,519.71814,389.532532,134.97084,104.659233,430.426575,77.950592,81.114616,315.785797,-168.930634,510.815918,361.313507,-214.208755,104.608513,245.245041,-323.574707,52.001431,216.212769,-235.678055,59.587776,261.546478,184.914612,53.605225,217.780869,99.267883,64.798943,361.476349,52.716171,108.238487,319.868317,-0.445152,498.358215
13,0,217.492691,-237.084274,1013.589844,258.699707,62.854446,1011.48114,437.035065,-152.579605,1049.960815,449.193848,-78.103165,1047.003662,303.717621,-274.103333,531.597107,378.06134,-301.39035,94.480598,428.830139,-258.424103,71.935081,325.623932,92.334732,519.717529,389.514069,134.96431,104.649376,430.412628,77.94912,81.096588,315.807587,-168.851883,510.833038,361.315308,-214.195724,104.621483,245.247269,-323.572357,51.98708,216.20369,-235.672882,59.634357,261.558289,184.935257,53.62484,217.768433,99.259918,64.791725,361.460114,52.726997,108.19825,319.926117,-0.42823,498.359192
