,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,244.306305,-232.390472,1017.405762,269.951416,69.968948,1014.691589,459.40921,-136.235992,1051.349365,468.143524,-60.808575,1049.537964,310.166748,-266.928192,532.300049,378.020599,-300.900604,94.74234,429.210266,-259.356842,71.675514,326.635101,102.461975,521.469666,393.069244,146.580139,104.408386,435.767731,90.813675,80.92794,317.593964,-159.733948,509.329254,362.343658,-213.488678,104.082985,244.458832,-320.639008,52.717056,216.5802,-233.242706,59.91531,262.781708,189.366714,53.972145,221.762863,103.040108,63.906765,366.888885,62.702999,108.67421,321.217468,10.139598,499.516205
2,0,244.316086,-232.374878,1017.433777,269.946198,69.983444,1014.705322,459.406189,-136.252884,1051.364746,468.14212,-60.814072,1049.515747,310.280487,-266.93985,532.259521,378.047119,-300.872131,94.751457,429.22583,-259.334412,71.687302,326.614868,102.481514,521.458862,393.071106,146.593048,104.413055,435.767548,90.815971,80.906212,317.656647,-159.730896,509.358337,362.355255,-213.515335,104.064095,244.453842,-320.635345,52.680565,216.587753,-233.254517,59.906673,262.76416,189.342819,53.953396,221.779907,103.039886,63.886471,367.143463,62.339996,108.681015,321.257111,10.151051,499.515808
3,0,244.300354,-232.370239,1017.447021,269.948822,69.976288,1014.704468,459.393707,-136.230927,1051.35437,468.162415,-60.797092,1049.522339,310.347839,-266.979309,532.277283,377.997345,-300.906982,94.751251,429.223267,-259.362244,71.670166,326.613403,102.475937,521.437317,393.057495,146.611023,104.433212,435.765228,90.81395,80.917259,317.709351,-159.732559,509.35733,362.371399,-213.505066,104.086327,244.466949,-320.671875,52.690784,216.588913,-233.247589,59.899868,262.743286,189.299118,53.885071,221.77124,103.054047,63.891911,366.93924,62.716068,108.674095,321.263489,10.136138,499.517029
4,0,244.316849,-232.358505,1017.448792,269.890717,69.998253,1014.678833,459.435516,-136.216827,1051.338135,468.037933,-60.834732,1049.516479,310.356903,-266.998596,532.268494,378.038483,-300.924835,94.756584,429.23465,-259.371155,71.653305,326.600983,102.476036,521.454163,393.065094,146.599197,104.421127,435.793579,90.81778,80.930542,317.742523,-159.719788,509.35553,362.384918,-213.505569,104.097206,244.475739,-320.678528,52.693466,216.58577,-233.257599,59.909641,262.810883,189.351562,53.969685,221.764526,103.043236,63.870689,366.915497,62.710495,108.659782,321.281189,10.153003,499.51767
5,0,244.286011,-232.314301,1017.471924,269.895081,70.009972,1014.679565,459.427673,-136.193527,1051.368652,468.072174,-60.781494,1049.509277,310.432617,-266.99115,532.299255,378.06311,-300.886292,94.75901,429.233459,-259.354584,71.676628,326.598389,102.480232,521.44281,393.083862,146.588806,104.420288,435.78717,90.832085,80.929611,317.737122,-159.712418,509.353943,362.390778,-213.508011,104.079651,244.464279,-320.670807,52.694408,216.584152,-233.255798,59.919571,262.785187,189.371216,53.972675,221.773453,103.049324,63.90295,366.919189,62.714973,108.684517,321.277374,10.1513,499.499695
6,0,244.301575,-232.302032,1017.462585,269.900055,70.022644,1014.68457,459.46283,-136.176788,1051.380615,468.035797,-60.783527,1049.5177,310.429504,-266.990021,532.285339,378.003052,-300.893951,94.75811,429.235474,-259.391266,71.641922,326.585907,102.482285,521.443481,393.100311,146.581177,104.41275,435.78653,90.823822,80.935417,317.716614,-159.725418,509.338928,362.393921,-213.519455,104.086723,244.458832,-320.65506,52.741089,216.583344,-233.248901,59.917839,262.776947,189.355331,53.989204,221.775162,103.039581,63.911594,367.144104,62.374863,108.69429,321.266418,10.161283,499.497406
7,0,244.300583,-232.276886,1017.456299,269.877838,70.033836,1014.697815,459.388947,-136.190094,1051.373901,468.141968,-60.697361,1049.528931,310.443939,-267.009735,532.300964,377.993011,-300.889282,94.738029,429.243683,-259.368225,71.647675,326.577728,102.500854,521.44696,393.09082,146.600189,104.414688,435.766785,90.84552,80.935631,317.767914,-159.692856,509.328674,362.398346,-213.521118,104.076424,244.4561,-320.665344,52.713329,216.585358,-233.260437,59.916485,262.801453,189.320358,53.913158,221.771973,103.042137,63.892105,366.914093,62.716305,108.680466,321.292297,10.158538,499.49881
8,0,244.332993,-232.286133,1017.456787,269.861389,70.04837,1014.701843,459.404083,-136.188354,1051.369629,468.137817,-60.730854,1049.485352,310.45462,-267.010681,532.266968,378.061462,-300.88092,94.719429,429.251038,-259.388855,71.621902,326.571381,102.502075,521.450562,393.080353,146.581406,104.407852,435.780701,90.840019,80.949158,317.757019,-159.658035,509.301056,362.394135,-213.51207,104.07476,244.460022,-320.663879,52.712681,216.596237,-233.261719,59.907406,262.766052,189.306458,53.884537,221.773514,103.013985,63.881218,366.920837,62.730976,108.703217,321.282837,10.152929,499.500977
9,0,244.342163,-232.269638,1017.455566,269.854126,70.037483,1014.705872,459.452454,-136.157852,1051.363403,468.195435,-60.697567,1049.541504,310.452087,-267.01886,532.297424,378.046112,-300.883453,94.741104,429.23172,-259.356079,71.644257,326.548584,102.506721,521.463135,393.066895,146.583832,104.40744,435.790558,90.846443,80.946068,317.729431,-159.701828,509.350006,362.411316,-213.513382,104.08432,244.4673,-320.668793,52.705223,216.5896,-233.254669,59.916466,262.776367,189.316422,53.950882,221.767792,103.031219,63.894352,366.942383,62.72234,108.673767,321.241272,10.187102,499.512115
10,0,244.36055,-232.241516,1017.531067,269.846832,70.03157,1014.717224,459.460297,-136.170395,1051.359131,468.192322,-60.680965,1049.511475,310.44812,-266.99881,532.29718,378.017792,-300.877686,94.718895,429.24939,-259.359253,71.652458,326.530853,102.518509,521.465637,393.087219,146.586472,104.405563,435.767029,90.838486,80.946457,317.695526,-159.667038,509.321625,362.418915,-213.508911,104.089951,244.47258,-320.666595,52.71452,216.597687,-233.254593,59.918552,262.772919,189.339371,53.945412,221.768646,103.034935,63.882648,367.098846,62.47731,108.695213,321.235809,10.186794,499.514465
