,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,237.005981,-240.143494,1016.30603,261.363586,61.806561,1011.242126,452.169434,-143.286041,1052.137207,460.081635,-67.662598,1048.834839,307.185028,-272.724854,530.999573,378.185425,-300.995789,94.629135,428.920044,-258.428711,71.545708,319.175232,91.286057,518.255615,388.442291,136.504822,104.801079,433.093079,82.234726,81.073204,314.934692,-164.215698,508.95108,361.417572,-213.545609,103.885468,245.081863,-323.373871,52.194511,216.016739,-235.491547,59.386097,260.160522,178.630997,55.023045,218.255692,92.404121,62.429123,365.211578,51.449242,107.05854,318.618835,-1.87164,497.470398
2,0,237.02655,-240.177963,1016.325134,261.423645,61.769272,1011.250977,452.197968,-143.321503,1052.123535,460.118927,-67.710495,1048.841064,307.151337,-272.733521,531.018188,378.155396,-300.992981,94.635193,428.838074,-258.348755,71.513596,319.195648,91.265625,518.262085,388.485565,136.526901,104.81881,432.976105,82.324753,81.017334,315.233002,-164.250381,509.05191,361.391846,-213.498001,103.923477,245.078018,-323.389496,52.208065,216.000549,-235.522232,59.383949,260.104126,178.595352,54.993839,218.253815,92.397537,62.415569,365.204224,51.471306,107.045036,318.642761,-1.875818,497.453796
3,0,237.037735,-240.140427,1016.315918,261.463074,61.753536,1011.263,452.2612,-143.339279,1052.134521,460.161499,-67.716743,1048.843506,307.153931,-272.709991,531.022766,378.146362,-300.970123,94.63269,428.823486,-258.33493,71.550842,319.216003,91.268387,518.256775,388.474091,136.497223,104.80088,433.097321,82.238121,81.06543,315.241211,-164.23938,509.043884,361.406952,-213.492157,103.892418,245.085007,-323.36731,52.195602,215.98671,-235.526657,59.393364,260.101074,178.578705,55.015087,218.248672,92.40136,62.428783,365.211823,51.473679,107.039337,318.632629,-1.870928,497.483459
4,0,237.067551,-240.10759,1016.372192,261.534698,61.73748,1011.269348,452.283997,-143.354568,1052.112305,460.183746,-67.751213,1048.825806,307.145996,-272.703186,531.009216,378.120453,-300.989471,94.645531,428.877716,-258.37442,71.557663,319.212738,91.256401,518.256897,388.467621,136.497894,104.797134,433.083221,82.231743,81.047661,315.234161,-164.291351,509.072418,361.373657,-213.507065,103.897697,245.080719,-323.353455,52.21196,216.002502,-235.527008,59.383522,260.114563,178.584198,55.013565,218.262619,92.406746,62.454849,365.193848,51.478077,107.04158,318.669952,-1.879604,497.444824
5,0,237.083221,-240.103104,1016.360901,261.562439,61.712742,1011.282898,452.333893,-143.366714,1052.10022,460.211609,-67.750404,1048.831665,307.187744,-272.705841,531.036682,378.143372,-300.953522,94.623497,428.77298,-258.296753,71.518532,319.237976,91.245911,518.261047,388.466583,136.497101,104.789474,433.081848,82.247246,81.04129,315.249054,-164.242722,509.082031,361.396057,-213.53006,103.944855,245.080933,-323.355682,52.202709,215.990906,-235.515091,59.388634,260.076904,178.617218,55.004372,218.249634,92.411057,62.425716,365.213837,51.458332,107.016403,318.663147,-1.895532,497.474823
6,0,237.104935,-240.134033,1016.358948,261.606445,61.70388,1011.304138,452.395844,-143.408798,1052.118164,460.279175,-67.79248,1048.811646,307.226929,-272.732025,531.028809,378.130188,-300.973816,94.600082,428.803528,-258.298828,71.544876,319.250458,91.231613,518.259827,388.4664,136.505707,104.78392,433.055908,82.204735,81.049133,315.287689,-164.284058,509.102753,361.398834,-213.539749,103.924835,245.072617,-323.37323,52.212032,216.004807,-235.514435,59.37878,260.111694,178.621826,55.017666,218.255615,92.412598,62.439972,365.217224,51.449963,107.005074,318.647797,-1.876809,497.473907
7,0,237.141846,-240.131989,1016.37146,261.633636,61.710224,1011.331909,452.418274,-143.417053,1052.110107,460.323151,-67.791458,1048.825684,307.273346,-272.745117,531.049744,378.121155,-300.975067,94.602867,428.827637,-258.316132,71.546463,319.283295,91.244263,518.274353,388.49942,136.53035,104.802414,433.097412,82.241043,81.055923,315.337494,-164.285217,509.099426,361.431763,-213.552353,103.928825,245.069733,-323.377045,52.208466,216.008774,-235.519379,59.382236,260.099091,178.611847,55.020954,218.249649,92.397224,62.42688,365.177338,51.472305,107.061287,318.730103,-1.894366,497.433899
8,0,237.169586,-240.139954,1016.387939,261.679749,61.7038,1011.33606,452.479645,-143.403305,1052.133667,460.354401,-67.820862,1048.8302,307.334778,-272.760071,531.064148,378.123383,-300.965057,94.634743,428.864746,-258.377319,71.513969,319.291077,91.215324,518.255493,388.44986,136.498489,104.777519,433.065186,82.221497,81.01683,315.355988,-164.272797,509.097687,361.423279,-213.554962,103.934303,245.076935,-323.351257,52.208733,216.002487,-235.502243,59.379402,260.127075,178.623199,55.013412,218.250229,92.415222,62.444485,365.217651,51.457405,107.083229,318.750122,-1.896368,497.457489
9,0,237.203598,-240.157272,1016.402832,261.689697,61.690571,1011.362427,452.495697,-143.430344,1052.138916,460.365051,-67.816475,1048.81897,307.385559,-272.770264,531.066772,378.135345,-300.955719,94.595604,428.816559,-258.308899,71.540817,319.318573,91.197304,518.25885,388.467194,136.50354,104.765511,433.088867,82.213898,81.070625,315.403564,-164.244461,509.084229,361.433472,-213.591751,103.925743,245.062103,-323.355011,52.247719,215.998352,-235.499695,59.369545,260.142639,178.648895,55.032646,218.260239,92.419792,62.444523,365.221985,51.440403,107.040932,318.77121,-1.896764,497.458374
10,0,237.254761,-240.191879,1016.381287,261.70575,61.641228,1011.342651,452.554962,-143.437775,1052.144775,460.405914,-67.823608,1048.789185,307.389191,-272.79483,531.042603,378.200439,-300.924011,94.603531,428.805267,-258.289978,71.520378,319.305725,91.184189,518.260925,388.460785,136.491943,104.773064,433.027649,82.20192,81.02758,315.464233,-164.278595,509.102478,361.445892,-213.572266,103.930878,245.086212,-323.375427,52.224808,216.010147,-235.518845,59.395412,260.126343,178.586487,54.99382,218.26207,92.409027,62.451664,365.203217,51.434231,107.054146,318.804321,-1.918738,497.449921
