,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,255.931168,-237.530457,1015.315063,269.213165,65.629189,1008.726807,466.594543,-131.844757,1060.919434,471.236328,-55.717949,1057.112305,316.868256,-270.603088,533.060364,378.594025,-302.630371,94.699089,429.752625,-260.979065,71.317421,316.447937,97.207718,519.453369,390.308289,148.862717,105.142204,438.279541,96.893036,81.033836,321.809082,-161.196716,509.606049,362.79837,-215.096649,104.900818,244.356079,-320.697113,52.820625,217.212128,-233.15239,60.556553,260.07666,182.832886,55.485348,223.309357,95.025925,62.487267,371.303864,62.375168,106.860985,317.447021,4.354198,497.634125
2,0,256.068085,-237.507263,1015.35675,269.176605,65.616447,1008.748901,466.613739,-131.760895,1060.890991,471.222717,-55.652935,1057.122559,316.780975,-270.492004,532.900085,378.611023,-302.621674,94.698174,429.727875,-260.968506,71.330826,316.436829,97.204132,519.449707,390.262115,148.828918,105.158325,438.360748,96.973244,81.084709,321.815094,-161.163284,509.605957,362.951019,-214.945984,104.856346,244.359818,-320.708069,52.800354,217.213058,-233.162643,60.545959,260.160645,182.921463,55.496014,223.28125,95.032822,62.494915,371.316071,62.375912,106.823792,317.445526,4.381545,497.629242
3,0,256.106445,-237.524368,1015.37262,269.13913,65.592148,1008.781921,466.64978,-131.718613,1060.878296,471.194305,-55.605045,1057.104004,316.810883,-270.634094,533.110718,378.607361,-302.624817,94.719696,429.74646,-260.987915,71.317139,316.438202,97.227501,519.464783,390.266815,148.827805,105.155281,438.305054,96.81134,81.078751,321.744446,-161.196823,509.619476,362.931335,-214.922791,104.86779,244.373917,-320.733887,52.807438,217.209503,-233.156937,60.554081,260.080048,182.905807,55.482857,223.306122,95.024734,62.503628,371.30249,62.384457,106.848335,317.468933,4.384607,497.622803
4,0,256.170044,-237.547272,1015.391479,269.112335,65.597153,1008.800049,466.65448,-131.666916,1060.869263,471.199463,-55.562561,1057.115967,316.807892,-270.546326,533.041931,378.584625,-302.631012,94.686752,429.744995,-260.96637,71.333908,316.415436,97.243553,519.465576,390.286438,148.865952,105.134644,438.520966,96.933517,81.177429,321.694031,-161.186005,509.622345,362.765015,-215.087799,104.901764,244.367203,-320.720306,52.790051,217.194229,-233.153198,60.547485,260.06015,182.885513,55.460495,223.300522,95.022682,62.505478,371.302032,62.401196,106.852646,317.458466,4.4077,497.628723
5,0,256.211609,-237.56134,1015.388,269.088898,65.583641,1008.803589,466.698242,-131.645538,1060.878662,471.231018,-55.541119,1057.093018,316.821014,-270.498016,532.990784,378.615936,-302.592651,94.714447,429.850952,-261.072357,71.381203,316.406097,97.242744,519.472107,390.290344,148.849991,105.178314,438.326385,96.838799,81.087593,321.629669,-161.159912,509.652618,362.915314,-214.925491,104.865463,244.365646,-320.721191,52.809216,217.195496,-233.169876,60.549252,260.078674,182.784546,55.444923,223.295975,95.03273,62.500877,371.284729,62.405453,106.851585,317.41275,4.404563,497.610626
6,0,256.227509,-237.600891,1015.410522,269.042816,65.584686,1008.806824,466.642578,-131.634781,1060.858154,471.192322,-55.503311,1057.082275,316.827545,-270.413483,532.957825,378.561157,-302.592468,94.720505,429.717194,-260.953583,71.330421,316.41806,97.24408,519.460144,390.269775,148.841995,105.131065,438.51001,96.91153,81.160606,321.643188,-161.184052,509.646179,362.904175,-214.924576,104.863731,244.343826,-320.717957,52.799786,217.18573,-233.174973,60.560192,260.047058,182.850815,55.450005,223.294891,95.03054,62.514275,371.295074,62.405964,106.838951,317.423859,4.396911,497.606232
7,0,256.149567,-237.659653,1015.401978,268.996094,65.574936,1008.797913,466.649994,-131.583542,1060.880005,471.18576,-55.455608,1057.10083,316.851776,-270.44104,532.997681,378.561859,-302.557068,94.698883,429.710938,-260.938385,71.326981,316.397949,97.234596,519.451294,390.249969,148.818558,105.128975,438.530975,96.941086,81.236549,321.624329,-161.179626,509.649872,362.898254,-214.932465,104.870552,244.338837,-320.708588,52.806847,217.162399,-233.17305,60.554153,260.111664,182.87764,55.499176,223.280396,95.029343,62.516815,371.296112,62.398354,106.852905,317.404083,4.42761,497.628601
8,0,256.127899,-237.687454,1015.384766,268.942017,65.577026,1008.788818,466.620209,-131.548248,1060.884277,471.158447,-55.444939,1057.089844,316.81192,-270.472351,533.004211,378.616943,-302.56546,94.72731,429.703491,-260.919586,71.340454,316.408752,97.258141,519.455994,390.277161,148.868347,105.159798,438.346405,96.82431,81.109337,321.660309,-161.160629,509.674255,362.765564,-215.066345,104.911819,244.378036,-320.750458,52.811359,217.167847,-233.171097,60.555061,260.076904,182.90361,55.494003,223.285294,95.022415,62.501938,371.304382,62.404972,106.862213,317.399292,4.433844,497.633942
9,0,256.134491,-237.691879,1015.363342,268.908356,65.601875,1008.782532,466.561859,-131.561447,1060.895508,471.110352,-55.460915,1057.099609,316.93808,-270.508453,533.03125,378.561249,-302.603516,94.731567,429.660675,-260.949127,71.318619,316.398834,97.273178,519.457886,390.282104,148.868683,105.164337,438.318695,96.814316,81.087631,321.706573,-161.11879,509.70697,362.759674,-215.041992,104.931168,244.353394,-320.742981,52.816235,217.155609,-233.184021,60.549175,260.149536,182.885086,55.454941,223.291138,95.037918,62.523567,371.291779,62.405663,106.849487,317.400726,4.45126,497.632233
10,0,256.102631,-237.685593,1015.355591,268.871246,65.626419,1008.763184,466.531067,-131.550339,1060.92688,471.057739,-55.44276,1057.116211,316.97052,-270.506683,533.012329,378.60907,-302.590118,94.714188,429.670685,-260.951294,71.330864,316.401123,97.295921,519.452881,390.288879,148.893692,105.178032,438.508331,96.901108,81.161972,321.713562,-161.103836,509.713898,362.885834,-214.937927,104.891045,244.359497,-320.758179,52.848007,217.16745,-233.175613,60.559021,260.126099,182.92067,55.474361,223.307938,95.039841,62.528088,371.292633,62.412006,106.868126,317.4198,4.474016,497.627625
11,0,256.023895,-237.667511,1015.356567,268.849579,65.625893,1008.735535,466.473541,-131.5578,1060.942993,471.038605,-55.421051,1057.179688,317.027618,-270.516235,533.018494,378.606934,-302.58017,94.730087,429.674133,-260.946014,71.316696,316.403656,97.28994,519.439026,390.271393,148.882111,105.131935,438.468292,96.874786,81.15979,321.825531,-161.152603,509.674835,362.901031,-214.947433,104.923714,244.356018,-320.764282,52.839417,217.192688,-233.172958,60.56979,260.084564,182.92308,55.499123,223.301468,95.040878,62.528202,371.281189,62.439934,106.874504,317.402039,4.471335,497.619324
12,0,256.04306,-237.626053,1015.35498,268.802307,65.648064,1008.716797,466.424805,-131.553619,1060.96167,470.96817,-55.434208,1057.192139,317.052124,-270.545685,533.022217,378.582062,-302.603943,94.72216,429.69101,-260.944275,71.312714,316.42041,97.313782,519.429199,390.288727,148.894333,105.154579,438.386993,96.852188,81.109589,321.814453,-161.109207,509.657318,362.881104,-214.949722,104.908142,244.368286,-320.761475,52.848587,217.19487,-233.188446,60.55788,260.105133,182.900146,55.500149,223.291504,95.050598,62.538399,371.300262,62.436108,106.847351,317.44809,4.470097,497.607605
13,0,255.920685,-237.615036,1015.32019,268.792816,65.687164,1008.675476,466.407898,-131.531662,1060.984375,470.900299,-55.446194,1057.188965,317.070099,-270.565674,533.019897,378.626251,-302.597382,94.707848,429.805786,-261.063965,71.322502,316.411652,97.320267,519.424255,390.325714,148.935165,105.173401,438.529602,96.91465,81.209236,321.832611,-161.102631,509.668182,362.862396,-214.949036,104.916641,244.372955,-320.777161,52.863338,217.199188,-233.187561,60.551174,260.078613,182.878464,55.441097,223.300095,95.042061,62.522537,371.255951,62.428978,106.887077,317.42923,4.489807,497.604553
14,0,255.953217,-237.563324,1015.326721,268.703827,65.696716,1008.64563,466.371033,-131.557907,1060.977173,470.862915,-55.44009,1057.182983,317.073883,-270.564056,532.997314,378.619598,-302.636017,94.733734,429.710999,-260.972168,71.293045,316.432098,97.307823,519.415466,390.317719,148.924896,105.167953,438.544708,96.915405,81.16922,321.868683,-161.13092,509.633301,362.865814,-214.934525,104.901421,244.380264,-320.786774,52.851898,217.186646,-233.189346,60.55217,260.08783,182.921432,55.447094,223.295929,95.043488,62.525982,371.306854,62.454456,106.834282,317.423737,4.490685,497.585632
15,0,255.859818,-237.548004,1015.339233,268.690552,65.710541,1008.617493,466.34079,-131.564362,1060.976685,470.819214,-55.44997,1057.170288,317.085052,-270.551117,532.990234,378.605896,-302.649597,94.752342,429.705261,-260.97699,71.293114,316.425598,97.311142,519.408997,390.31662,148.905273,105.145844,438.511169,96.8993,81.146515,321.831146,-161.115143,509.630981,362.888611,-214.93866,104.918945,244.381897,-320.77597,52.862942,217.190475,-233.199036,60.559177,260.10321,182.913788,55.460369,223.308121,95.037056,62.534393,371.307404,62.460121,106.831779,317.433044,4.478083,497.563721
16,0,255.885391,-237.493088,1015.388,268.630432,65.690727,1008.588196,466.290222,-131.613861,1060.964478,470.789154,-55.478657,1057.168945,317.070465,-270.551819,532.989014,378.658478,-302.622925,94.742081,429.722321,-261.004456,71.302223,316.40976,97.294479,519.411316,390.308289,148.895966,105.14566,438.406311,96.887108,81.109489,321.803894,-161.131149,509.667145,362.877441,-214.946274,104.913437,244.369919,-320.769196,52.848316,217.192139,-233.185394,60.56604,260.087952,182.902771,55.467369,223.318695,95.039925,62.538101,371.294403,62.435066,106.843147,317.426178,4.48303,497.569244
17,0,255.869476,-237.485596,1015.41803,268.600037,65.713493,1008.570068,466.300262,-131.620667,1060.969727,470.799347,-55.451763,1057.15918,317.030975,-270.565186,533.005493,378.63739,-302.600922,94.740364,429.716736,-260.982727,71.328079,316.395569,97.277908,519.412354,390.281891,148.884598,105.145393,438.42804,96.873398,81.14122,321.753265,-161.175171,509.64682,362.881744,-214.953415,104.897797,244.360733,-320.787445,52.853527,217.204712,-233.176758,60.571583,260.082214,182.908905,55.478966,223.293289,95.026131,62.533333,371.321411,62.451443,106.816124,317.411499,4.445666,497.567383
18,0,255.831802,-237.501709,1015.473633,268.585266,65.702003,1008.544922,466.298004,-131.605881,1060.948853,470.742462,-55.471527,1057.15686,317.013611,-270.566528,532.970947,378.600372,-302.621735,94.735779,429.683044,-260.975769,71.270103,316.345337,97.24604,519.399963,390.286652,148.895905,105.158165,438.432312,96.87429,81.098175,321.774475,-161.088272,509.652802,362.754181,-215.048401,104.935822,244.3815,-320.76944,52.833084,217.187866,-233.200272,60.560539,259.964417,182.941986,55.571552,223.295441,95.018814,62.517113,371.298035,62.430546,106.833786,317.391968,4.431806,497.558838
19,0,255.866943,-237.491211,1015.525696,268.587494,65.702644,1008.540649,466.270325,-131.634811,1060.94812,470.757812,-55.46627,1057.126465,316.927368,-270.591217,532.988342,378.614319,-302.612579,94.73278,429.686798,-260.962799,71.304672,316.337799,97.232033,519.405334,390.313354,148.917404,105.129303,438.369202,96.85466,81.076805,321.710358,-161.121033,509.663635,362.866089,-214.96405,104.901993,244.359924,-320.782562,52.838676,217.200226,-233.192902,60.560833,260.101471,182.921951,55.48457,223.296631,95.019905,62.509373,371.292175,62.422062,106.847641,317.397827,4.415512,497.550201
20,0,255.81485,-237.532852,1015.543335,268.570221,65.712112,1008.540649,466.281006,-131.611954,1060.942871,470.748352,-55.470577,1057.08606,316.912384,-270.563293,532.990234,378.596497,-302.624725,94.680092,429.722229,-260.989838,71.301575,316.298584,97.202354,519.394775,390.323547,148.896835,105.152222,438.40976,96.856636,81.113838,321.694458,-161.1026,509.64267,362.857422,-214.931015,104.916733,244.358871,-320.755096,52.83868,217.198212,-233.179382,60.574024,260.078857,182.942474,55.519188,223.303833,95.00985,62.501312,371.306488,62.413612,106.826874,317.360931,4.386923,497.555023
21,0,255.901489,-237.54306,1015.621643,268.545807,65.709084,1008.542664,466.241669,-131.590012,1060.958008,470.7659,-55.451721,1057.103149,316.795013,-270.588837,532.945923,378.658112,-302.615082,94.721184,429.690887,-260.952972,71.308334,316.279694,97.187401,519.388672,390.312836,148.909683,105.128014,438.441925,96.867195,81.116692,321.687683,-161.159561,509.68396,362.846222,-214.940903,104.898575,244.360474,-320.753662,52.861351,217.19812,-233.173767,60.569149,260.125153,182.954865,55.526249,223.292816,95.010506,62.518089,371.295074,62.414143,106.837471,317.320648,4.399183,497.545197
22,0,255.928101,-237.585876,1015.644287,268.531982,65.688705,1008.544067,466.268768,-131.553406,1060.950928,470.75351,-55.423111,1057.109497,316.749817,-270.591339,533.053589,378.619232,-302.628906,94.713867,429.672516,-260.951843,71.312126,316.23703,97.206383,519.377319,390.28952,148.891769,105.145531,438.513947,96.926323,81.171852,321.621094,-161.17009,509.636047,362.844177,-214.947388,104.941048,244.371262,-320.767059,52.87278,217.19931,-233.189453,60.576996,260.081635,182.946991,55.540199,223.284317,95.008759,62.510006,371.374054,62.275806,106.965591,317.300873,4.386558,497.529327
23,0,255.942108,-237.641388,1015.662781,268.545715,65.664452,1008.534058,466.298431,-131.546127,1060.957397,470.743958,-55.435455,1057.107178,316.694489,-270.592773,532.974426,378.598755,-302.653564,94.751625,429.696716,-260.967529,71.314011,316.219971,97.182289,519.372742,390.300354,148.89415,105.16806,438.452454,96.880592,81.104942,321.546326,-161.192154,509.65918,362.845886,-214.971588,104.889709,244.37233,-320.769958,52.864822,217.196014,-233.198914,60.571129,260.083801,182.952942,55.531124,223.277786,95.030685,62.480297,371.2341,62.190655,106.905899,317.259827,4.37734,497.519501
24,0,255.936508,-237.693466,1015.681763,268.543457,65.640144,1008.515686,466.288269,-131.572067,1060.96106,470.745087,-55.481773,1057.075806,316.631866,-270.571442,532.988098,378.645416,-302.620331,94.741287,429.706024,-260.99054,71.325188,316.233185,97.167076,519.390137,390.265778,148.885529,105.1408,438.592224,96.938156,81.146957,321.495697,-161.226608,509.629242,362.725983,-215.046539,104.938248,244.385529,-320.776215,52.854759,217.200317,-233.186234,60.561115,260.077301,182.906235,55.47821,223.282288,95.024147,62.497417,371.295807,62.427261,106.824867,317.235809,4.356699,497.511993
25,0,255.966721,-237.733154,1015.70929,268.527161,65.625603,1008.522156,466.293579,-131.580307,1060.95166,470.733704,-55.502193,1057.077148,316.56955,-270.583069,532.991028,378.5979,-302.645996,94.73526,429.722473,-260.968872,71.298859,316.242981,97.140862,519.366699,390.298462,148.908661,105.165977,438.549683,96.917709,81.156395,321.382721,-161.19223,509.628418,362.732239,-215.045624,104.949127,244.387909,-320.755524,52.844299,217.229385,-233.193008,60.577652,260.090057,182.935623,55.523586,223.302277,95.00975,62.457996,371.300232,62.236977,106.904625,317.241638,4.343088,497.514221
26,0,255.992264,-237.791428,1015.711182,268.51651,65.5896,1008.520935,466.27124,-131.611374,1060.962036,470.736816,-55.553169,1057.06311,316.478546,-270.569519,532.962097,378.572449,-302.656616,94.742844,429.728333,-260.998718,71.324135,316.244751,97.128624,519.366577,390.278931,148.887344,105.159035,438.580444,96.930679,81.170708,321.268951,-161.167938,509.637817,362.700562,-215.043839,104.95472,244.394745,-320.758514,52.866272,217.216293,-233.180435,60.574783,260.106873,182.931183,55.512455,223.29422,95.035583,62.490555,371.254333,62.221367,106.839188,317.272614,4.314471,497.492615
27,0,255.974915,-237.829407,1015.743042,268.466553,65.533493,1008.51178,466.26416,-131.631378,1060.931763,470.711975,-55.547611,1057.075806,316.38266,-270.548584,532.963135,378.640533,-302.614197,94.76535,429.68631,-260.953217,71.330322,316.245331,97.102234,519.361206,390.261841,148.904541,105.176476,438.48526,96.900963,81.13678,321.179138,-161.25592,509.674255,362.722382,-215.026596,104.943466,244.392502,-320.759338,52.873802,217.20256,-233.168427,60.565598,260.094391,182.894867,55.508087,223.275681,95.013474,62.484467,371.234467,62.229786,106.797928,317.26001,4.28381,497.516693
28,0,255.96788,-237.863083,1015.746948,268.438477,65.517906,1008.470886,466.247925,-131.701965,1060.916016,470.681671,-55.63279,1057.026367,316.36853,-270.548096,532.933411,378.580048,-302.643921,94.723808,429.698395,-261.000946,71.345535,316.250916,97.059723,519.36084,390.29953,148.874268,105.132767,438.368408,96.843903,81.05233,321.223816,-161.341217,509.685455,362.703094,-215.058731,104.914742,244.348328,-320.746124,52.839912,217.193359,-233.17569,60.553322,260.104126,182.918686,55.521725,223.285797,95.017326,62.457958,371.259125,62.236328,106.842651,317.313416,4.244355,497.503632
