,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,224.719284,-228.909363,1014.992249,249.427979,71.479317,1011.25,438.684723,-133.670135,1053.821655,446.929291,-57.878632,1051.534302,306.186737,-267.6745,530.539246,378.271362,-299.944794,94.926445,428.647247,-257.07959,71.902473,321.929108,98.628357,518.871643,389.286682,136.707687,104.203911,432.653107,81.332878,81.460869,313.709015,-160.575287,507.760834,360.635529,-212.653259,103.698326,245.334274,-323.680847,52.03376,215.55983,-236.08786,59.319183,261.278809,183.105713,54.111168,218.709732,96.507462,63.078308,364.711975,52.849785,108.083656,322.449951,4.931866,498.903473
2,0,224.759079,-228.876648,1015.045776,249.383163,71.44883,1011.253601,438.736115,-133.606689,1053.841309,446.925385,-57.824661,1051.557983,306.244049,-267.693878,530.572144,378.2901,-299.933899,94.914597,428.486572,-256.91925,71.867874,321.940521,98.659317,518.875549,389.282684,136.722214,104.215637,432.654541,81.350105,81.458099,313.752136,-160.569565,507.76355,360.625977,-212.662201,103.689117,245.335861,-323.696167,52.006645,215.58078,-236.060989,59.305378,261.282837,183.115356,54.152256,218.719543,96.490677,63.085331,364.614441,53.001629,108.08683,322.46225,4.937968,498.903778
3,0,224.8013,-228.850662,1015.087219,249.332779,71.421249,1011.273499,438.702728,-133.582169,1053.811646,446.93457,-57.753998,1051.549683,306.292175,-267.683716,530.592773,378.299042,-299.940125,94.935684,428.652008,-257.051941,71.907074,321.957428,98.661194,518.869629,389.294403,136.716232,104.195496,432.662323,81.353165,81.482613,313.842834,-160.550842,507.769989,360.651489,-212.627609,103.730209,245.3237,-323.666168,52.034039,215.573334,-236.082016,59.321148,261.299835,183.089966,54.145817,218.708405,96.472847,63.094116,364.72406,52.871204,108.072426,322.480194,4.939933,498.899902
4,0,224.822433,-228.81282,1015.150879,249.335815,71.382332,1011.274841,438.76001,-133.530869,1053.845947,446.939209,-57.719639,1051.567505,306.343414,-267.69162,530.572937,378.288483,-299.911102,94.924698,428.490601,-256.871613,71.855003,321.939819,98.657616,518.852905,389.275879,136.716248,104.182037,432.663483,81.366806,81.483315,313.828247,-160.551514,507.764771,360.646088,-212.65036,103.697662,245.32962,-323.670441,52.038475,215.56955,-236.069016,59.32032,261.285889,183.110016,54.128948,218.699341,96.484314,63.083298,364.637177,53.038891,108.057495,322.496124,4.926466,498.903748
5,0,224.850113,-228.801117,1015.167847,249.317719,71.366051,1011.289124,438.752655,-133.52124,1053.832764,446.96228,-57.693848,1051.569336,306.362427,-267.697174,530.566345,378.337799,-299.93335,94.93885,428.684967,-257.079498,71.886772,321.914398,98.654037,518.847778,389.273254,136.731552,104.197311,432.436096,81.31385,81.327888,313.851471,-160.532623,507.765167,360.66153,-212.691162,103.684975,245.342194,-323.676361,52.013168,215.589066,-236.076035,59.315216,261.283142,183.082397,54.123089,218.720383,96.488747,63.086769,364.634125,53.013271,108.087059,322.478546,4.91292,498.905426
6,0,224.918121,-228.780106,1015.204102,249.279602,71.325867,1011.308411,438.803192,-133.477936,1053.851807,446.938873,-57.653141,1051.543945,306.343231,-267.740417,530.571045,378.256714,-299.9617,94.938377,428.661102,-257.05603,71.893898,321.884857,98.639038,518.836914,389.282135,136.726517,104.20536,432.45752,81.333153,81.343872,313.863098,-160.449371,507.564178,360.746918,-212.628815,103.748917,245.330521,-323.674255,52.036476,215.60463,-236.074768,59.309868,261.256714,183.102722,54.182854,218.716904,96.486229,63.080883,364.722351,52.933128,108.075607,322.496216,4.929805,498.899902
7,0,224.964554,-228.77597,1015.243652,249.247635,71.305771,1011.338135,438.784271,-133.484543,1053.856567,446.951569,-57.648739,1051.533569,306.359192,-267.738922,530.572693,378.294952,-299.953186,94.931114,428.642975,-257.025604,71.869743,321.842712,98.639122,518.834595,389.280731,136.728363,104.192657,432.643585,81.364388,81.446373,313.858185,-160.533417,507.736389,360.750854,-212.614044,103.752785,245.338745,-323.669525,52.03265,215.599319,-236.083572,59.31263,261.267792,183.111069,54.176025,218.737061,96.483299,63.070698,364.722107,52.950169,108.051918,322.486664,4.906374,498.872742
8,0,224.9935,-228.756409,1015.304443,249.228256,71.29776,1011.352051,438.795105,-133.502777,1053.882446,446.960907,-57.66069,1051.549927,306.358978,-267.733154,530.560791,378.275696,-299.954224,94.919975,428.620361,-257.02597,71.872139,321.79364,98.608444,518.839722,389.275848,136.720734,104.187187,432.437439,81.332291,81.325539,313.796356,-160.56218,507.747772,360.676178,-212.679413,103.709183,245.341766,-323.680054,52.059349,215.594757,-236.07991,59.322392,261.266937,183.118073,54.184269,218.727417,96.45826,63.086063,364.745056,52.940048,108.080376,322.43689,4.912721,498.889191
9,0,225.066315,-228.740173,1015.342224,249.20961,71.297394,1011.356018,438.921844,-133.434677,1053.901123,446.996765,-57.612919,1051.579346,306.344482,-267.698334,530.547607,378.271942,-299.914124,94.903458,428.629974,-256.990326,71.878113,321.732635,98.605782,518.84082,389.260986,136.707169,104.201233,432.457153,81.359528,81.352325,313.7742,-160.578033,507.734589,360.683838,-212.639145,103.700371,245.312683,-323.646332,52.01366,215.584534,-236.096008,59.315002,261.233704,183.12233,54.208767,218.747101,96.457886,63.076988,364.725586,52.961746,108.062637,322.383545,4.886149,498.885162
10,0,225.131638,-228.773926,1015.385132,249.169083,71.26931,1011.344543,438.911591,-133.450928,1053.881958,446.966919,-57.596275,1051.557373,306.362976,-267.703186,530.55426,378.252686,-299.912323,94.89798,428.603119,-256.997833,71.86525,321.689636,98.610054,518.830078,389.264954,136.72673,104.200104,432.586151,81.355232,81.42086,313.755554,-160.590881,507.754089,360.688232,-212.606354,103.720253,245.335114,-323.675934,51.999428,215.598846,-236.075821,59.300545,261.259216,183.102692,54.193821,218.723785,96.466164,63.058117,364.670227,52.938091,108.029541,322.393219,4.905127,498.890869
