,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,221.690216,-219.491974,986.975037,222.066208,48.514271,1004.901794,404.534088,-126.514061,1006.947754,404.031677,-40.960392,1010.897278,305.231964,-264.497833,507.190582,374.812866,-284.019226,89.264336,418.346558,-238.728302,77.051826,303.3591,106.090538,499.017303,385.602997,135.129776,91.871574,425.595825,78.991882,82.046562,303.421783,-159.374481,487.834229,345.764771,-192.874405,95.15004,260.848328,-324.04007,55.853764,213.1185,-245.999069,66.590065,278.0961,184.595352,58.718235,217.882294,116.999939,65.44754,336.468262,50.907436,111.423637,300.336792,-7.369723,497.435669
2,0,221.530182,-219.700272,987.087891,222.081711,48.468864,1004.891541,404.580231,-126.53051,1006.928467,404.115417,-41.024769,1010.78656,305.232361,-264.559448,507.205658,374.729553,-283.993866,89.225906,418.356934,-238.741577,77.04071,303.343353,106.062447,499.036591,385.586884,135.127426,91.860321,425.611511,78.997337,82.022896,303.469971,-159.428558,487.836975,345.752319,-192.872253,95.152977,260.847168,-324.022614,55.860195,213.113113,-245.980591,66.607613,278.096863,184.590073,58.685757,217.891403,117.042892,65.499718,336.374847,50.765182,111.535591,300.312988,-7.391221,497.416321
3,0,221.7789,-219.510147,987.024719,222.125977,48.438442,1004.904419,404.619965,-126.581085,1006.915588,404.174896,-41.04623,1010.757935,305.258087,-264.576508,507.237976,374.68988,-283.981262,89.226944,418.341949,-238.725586,77.036377,303.337433,106.042336,499.015198,385.603302,135.109833,91.871346,425.611938,79.003441,82.052078,303.476166,-159.407913,487.830322,345.732544,-192.894943,95.155678,260.859772,-324.036469,55.842407,213.096588,-245.985626,66.625893,278.082092,184.594818,58.732357,217.880142,116.955086,65.482018,336.341705,50.772213,111.468391,300.277832,-7.397767,497.419067
4,0,221.874924,-219.571014,987.099487,222.168427,48.380325,1004.904053,404.706543,-126.597557,1006.868713,404.224152,-41.094685,1010.739319,305.18103,-264.574036,507.211914,374.718658,-283.975342,89.272903,418.390869,-238.7099,77.028465,303.333282,106.00824,499.021179,385.587952,135.120514,91.892906,425.599304,79.002571,82.058243,303.44754,-159.428391,487.866974,345.766754,-192.895538,95.149338,260.874786,-324.038055,55.84864,213.09584,-245.995316,66.615158,278.108673,184.590958,58.698578,218.005295,116.988007,65.509605,336.374908,50.755264,111.540367,300.271912,-7.428752,497.397522
5,0,221.911377,-219.585526,987.158752,222.202621,48.327339,1004.902222,404.765839,-126.563103,1006.845459,404.329865,-41.011997,1010.787964,305.27417,-264.603516,507.21936,374.795135,-283.999023,89.280037,418.326477,-238.734467,77.040245,303.33139,105.991409,499.035706,385.583923,135.110947,91.870033,425.567474,78.991066,82.047112,303.46814,-159.456085,487.860535,345.783234,-192.891769,95.130753,260.848907,-324.042633,55.854801,213.100098,-246.009125,66.606804,278.12149,184.598343,58.730034,217.898209,116.981033,65.509323,336.386993,50.746597,111.554672,300.2677,-7.438383,497.416199
6,0,222.018616,-219.642746,987.171387,222.248703,48.311504,1004.913574,404.909393,-126.623032,1006.858948,404.270844,-41.067051,1010.707642,305.287292,-264.657684,507.260193,374.77417,-284.045074,89.261078,418.398895,-238.73233,77.026527,303.336182,105.952438,499.026917,385.565155,135.097107,91.870003,425.599274,78.997963,82.057999,303.467834,-159.504288,487.870453,345.76062,-192.916382,95.15873,260.880341,-324.044403,55.820961,213.101608,-246.025314,66.604446,278.089203,184.587646,58.729614,217.918076,116.971451,65.512856,336.377838,50.754311,111.535706,300.278381,-7.458192,497.405945
7,0,222.021011,-219.706802,987.261658,222.32338,48.262775,1004.91095,404.953064,-126.640663,1006.824463,404.50296,-41.033913,1010.807617,305.204285,-264.634064,507.252991,374.743011,-284.034607,89.198067,418.360901,-238.727982,77.012794,303.354004,105.943779,499.02356,385.566528,135.093811,91.882057,425.606232,78.995399,82.034859,303.449707,-159.521881,487.879333,345.7995,-192.895218,95.162636,260.883545,-324.064941,55.840946,213.105911,-246.008087,66.602226,278.107971,184.58638,58.719028,217.904022,116.984703,65.523056,336.374908,50.75304,111.498985,300.274963,-7.497228,497.428314
8,0,222.161804,-219.709076,987.265503,222.381531,48.234829,1004.916687,405.085022,-126.632584,1006.829407,404.302521,-41.155357,1010.528076,305.330139,-264.617828,507.318329,374.689575,-284.002838,89.260406,418.378662,-238.706451,77.012619,303.341797,105.930222,499.032898,385.564606,135.093124,91.876083,425.593018,79.002113,82.038628,303.475891,-159.589478,487.898041,345.773712,-192.921677,95.15712,260.864258,-324.068207,55.834686,213.115219,-246.013794,66.603928,278.110443,184.583069,58.754543,217.866211,116.940331,65.48539,336.365021,50.758896,111.519402,300.278168,-7.512082,497.404266
9,0,222.268494,-219.781311,987.347046,222.367279,48.386086,1004.992249,405.184204,-126.658249,1006.828064,404.622742,-41.202785,1010.552551,305.278412,-264.740204,507.277557,374.695709,-284.006927,89.251167,418.335999,-238.754227,77.016655,303.367889,105.930077,499.042419,385.567383,135.09201,91.864975,425.632294,78.99205,82.072884,303.493774,-159.592239,487.913239,346.193848,-193.473984,94.982895,260.881775,-324.076965,55.825111,213.111526,-246.016144,66.596687,278.098328,184.602066,58.754154,217.83696,116.963455,65.480927,336.353241,50.735081,111.512299,300.335876,-7.511548,497.415527
10,0,222.350235,-219.819458,987.358948,222.546539,48.152905,1004.932617,405.265778,-126.64032,1006.821411,404.608429,-41.223446,1010.51178,305.261292,-264.671265,507.268677,374.82254,-284.032837,89.281845,418.313934,-238.877731,77.012024,303.364105,105.904167,499.041595,385.541534,135.086487,91.86351,425.623413,78.978378,82.07132,303.490814,-159.625397,487.923309,346.186554,-193.513412,94.986603,260.883179,-324.074158,55.817375,213.101959,-246.023941,66.616005,278.118317,184.58696,58.744526,217.862579,116.951134,65.440887,336.380951,50.73468,111.51226,300.346558,-7.505349,497.426453
