,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,254.974304,-233.310516,986.572693,249.72757,30.717375,1005.433411,435.551849,-138.04509,1017.309814,434.31543,-52.759697,1019.520142,322.271729,-274.746643,510.100372,381.677612,-292.050079,88.395538,426.772614,-247.81366,76.19548,314.615082,93.530899,502.293884,381.459686,129.180649,92.024399,432.724823,72.391983,81.53846,320.392334,-172.106339,494.092041,354.877563,-200.623062,95.294983,268.598145,-329.892731,55.463547,221.868088,-250.884003,65.95752,280.140411,168.830719,59.187496,224.380585,100.081131,65.187218,351.362915,38.510544,104.01931,317.148224,-16.212986,501.084991
2,0,255.077682,-233.403214,986.569702,249.926727,30.744116,1005.474426,435.809875,-138.101456,1017.322998,434.601929,-52.714836,1019.567261,322.513153,-274.788544,510.154785,381.447968,-292.081818,88.356331,426.82074,-247.785599,76.20092,314.85791,93.541306,502.353027,381.529663,129.161087,92.037552,432.742798,72.390167,81.540039,320.74295,-172.145493,494.144714,355.234344,-201.001221,95.245026,268.640503,-329.829315,55.53455,221.904526,-250.889008,65.982391,280.146393,168.896881,59.179874,224.380646,99.964012,64.972015,351.2453,38.518463,104.050026,317.468567,-16.146736,501.100769
3,0,255.12204,-233.569885,986.627014,250.073227,30.850262,1005.53894,436.015442,-138.04689,1017.342224,434.712036,-52.815331,1019.59491,322.811066,-274.852997,510.171478,381.285553,-292.067657,88.370064,426.844849,-247.811081,76.191307,315.090485,93.569153,502.424469,381.575317,129.183594,92.016617,432.957428,72.462708,81.594292,320.881683,-172.173447,494.318115,354.936523,-200.571564,95.314598,268.680573,-329.771057,55.596176,221.951996,-250.873215,65.953827,280.176514,168.919113,59.112679,224.421829,99.987747,64.994919,351.279266,38.591148,104.028145,317.685303,-16.148031,501.223267
4,0,255.350113,-233.56546,986.619263,250.262497,30.779959,1005.463623,436.220459,-138.028259,1017.343506,434.946777,-52.756901,1019.60376,322.874237,-274.859131,510.35083,381.558105,-292.056519,88.378761,426.855865,-247.817337,76.183708,315.354034,93.630424,502.464417,381.672058,129.236832,92.065536,432.77951,72.367134,81.479797,321.018341,-172.115646,494.387238,354.944916,-200.547363,95.340652,268.682373,-329.668335,55.717907,221.973419,-250.860428,65.910011,280.172363,169.009125,59.100601,224.358185,100.101509,65.09259,351.260895,38.651466,104.033005,317.840302,-16.123213,501.268219
5,0,255.714767,-233.428116,986.548645,250.495468,30.735132,1005.424988,436.408508,-138.006104,1017.378784,435.114929,-52.703144,1019.627197,322.932556,-274.920898,510.52713,381.348419,-292.101532,88.345169,426.858093,-247.792267,76.179581,315.632568,93.701698,502.518707,381.76767,129.282242,92.064751,433.020508,72.433029,81.520203,320.881836,-172.17868,494.637482,354.978302,-200.54332,95.348572,268.714172,-329.624573,55.762966,221.965424,-250.838425,65.876122,280.184601,169.085281,59.050373,224.417618,100.207512,65.179909,351.212708,38.729824,104.010826,317.936951,-16.059471,501.262054
6,0,255.921722,-233.404617,986.562805,250.589874,30.823483,1005.510681,436.66748,-137.999069,1017.361633,435.303802,-52.677776,1019.667725,323.005737,-274.910309,510.583771,381.345764,-292.063202,88.37632,426.889984,-247.787003,76.180107,315.865753,93.806969,502.577606,381.87616,129.346649,92.091568,432.846893,72.367096,81.415398,321.000244,-172.197662,494.705719,355.002075,-200.545837,95.341667,268.733459,-329.535767,55.823376,222.005875,-250.812088,65.88549,280.221954,169.144333,59.013664,224.425476,100.172989,65.0662,351.268097,38.83559,104.001808,317.991425,-15.98132,501.24942
7,0,256.004639,-233.452927,986.577271,250.704056,30.877254,1005.571594,436.758484,-137.91748,1017.368896,435.467987,-52.576542,1019.704468,323.052155,-274.911194,510.641327,381.37384,-292.095703,88.310417,426.904572,-247.777695,76.170441,316.055786,93.90062,502.607758,381.983643,129.437546,92.106194,432.87146,72.381248,81.39563,321.357635,-172.170029,494.68158,354.781372,-200.203644,95.62339,268.776733,-329.434601,55.902706,222.059006,-250.793396,65.85714,280.246185,169.2211,58.946613,224.499939,100.275642,65.157211,351.260284,38.913074,103.972206,317.957825,-15.834294,501.211823
8,0,256.384247,-233.27179,986.559753,250.922226,30.702759,1005.50116,436.98053,-137.888016,1017.434021,435.646912,-52.540253,1019.734131,323.205444,-274.952515,510.549835,381.284546,-292.073669,88.370743,426.921478,-247.758743,76.146873,316.173187,93.970215,502.648285,382.067078,129.471085,92.107132,432.927521,72.406448,81.349442,321.473206,-172.153702,494.772339,354.813202,-200.197098,95.623184,268.799438,-329.317963,55.974056,222.107758,-250.744522,65.846733,280.259033,169.318024,58.914619,224.523407,100.33255,65.170364,351.24234,38.994965,103.980431,317.954987,-15.766689,501.158478
9,0,256.468903,-233.300079,986.52771,251.065582,30.721113,1005.522278,437.1492,-137.860809,1017.460693,435.833252,-52.499107,1019.768494,323.020355,-274.955322,510.737885,381.258667,-292.066345,88.3834,426.942719,-247.763062,76.155197,316.217346,94.048531,502.670166,382.14624,129.516815,92.113342,432.942322,72.434929,81.320518,321.780304,-172.519928,494.639313,354.830902,-200.187119,95.658524,268.843872,-329.237366,56.054806,222.125015,-250.705399,65.828743,280.310059,169.416336,58.875446,224.605911,100.390274,65.193558,351.270477,39.086742,103.978401,317.870026,-15.662484,501.176819
10,0,256.457184,-233.320557,986.629089,251.22168,30.753817,1005.540955,437.349091,-137.886856,1017.510742,435.880707,-52.45948,1019.782898,322.979218,-274.944305,510.823975,381.149536,-292.040192,88.411491,426.958954,-247.703918,76.167267,316.188324,94.12606,502.697754,382.266754,129.588257,92.076134,433.005615,72.491913,81.312355,321.976105,-172.5112,494.827972,354.864136,-200.167786,95.665108,268.85556,-329.132263,56.155266,222.129852,-250.653091,65.79818,280.343231,169.473938,58.825699,224.602921,100.395599,65.194542,351.350311,39.210243,103.965042,317.782013,-15.57774,501.197876
