,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,243.176163,-226.981552,975.861877,250.636246,37.313461,1004.709839,422.900787,-143.763626,1029.090698,425.285736,-55.428974,1034.532837,326.413483,-275.907013,504.764679,381.571442,-301.452545,88.572227,429.292877,-261.106781,75.979141,325.583832,101.022842,501.93692,384.626648,155.175476,119.09494,431.644501,78.497177,81.705482,334.20993,-170.321991,483.674377,361.150543,-208.639969,94.851768,264.599243,-331.898193,55.048721,224.160019,-249.173294,66.109619,277.263214,174.414261,57.675224,222.147308,103.263062,65.405525,366.685059,27.007151,108.693115,328.571777,-10.282943,497.724609
2,0,242.152222,-227.435822,975.851562,249.806412,37.060974,1004.612671,422.017059,-144.146423,1028.94104,424.62915,-55.660927,1034.463989,326.151489,-275.975677,504.665802,381.567413,-301.42392,88.458931,429.253815,-261.087402,75.987358,325.320679,100.831146,501.82724,384.569061,155.099442,119.082886,431.594666,78.478271,81.749153,334.05658,-170.455338,483.630646,361.176361,-208.649902,94.848206,264.617706,-331.929352,55.038254,224.140182,-249.187195,66.119064,277.246277,174.408936,57.669678,222.105789,103.257149,65.403519,366.643311,26.986719,108.693558,328.376801,-10.504024,497.475891
3,0,241.389343,-227.666382,975.736023,248.978683,36.769707,1004.502319,421.183594,-144.481293,1028.809204,423.675659,-56.063908,1034.300903,326.134186,-276.111542,504.583405,381.501648,-301.315186,88.55706,429.217224,-260.999786,76.094894,325.127472,100.621147,501.768127,384.56134,155.065704,119.147003,431.523193,78.426392,81.775169,333.907806,-170.898041,483.651123,361.086426,-208.61821,94.873627,264.589813,-331.922455,55.005146,224.102859,-249.207932,66.126389,277.240204,174.430038,57.671593,222.09671,103.293533,65.400887,366.64151,26.958941,108.648773,328.185333,-10.744113,497.315155
4,0,240.488083,-227.964813,975.727173,247.946442,36.666035,1004.405884,420.440063,-144.714447,1028.642334,422.808319,-56.426254,1034.167725,325.643829,-276.240204,504.632538,381.414337,-301.257629,88.57827,429.159027,-260.917023,76.184395,324.999512,100.468811,501.743561,384.514496,155.036255,119.18615,431.528442,78.417984,81.789825,333.610626,-171.029083,483.700348,361.058563,-208.548309,94.893188,264.573334,-331.940979,55.011597,224.03923,-249.198044,66.125725,277.255524,174.422928,57.646858,222.101379,103.28257,65.390839,366.610321,26.898994,108.64257,328.071533,-11.031071,497.244598
5,0,239.803101,-228.214584,975.666565,247.180099,36.408806,1004.28894,419.67691,-144.956757,1028.536377,422.108185,-56.654552,1034.091064,325.439819,-276.370544,504.58783,381.403961,-301.2341,88.617805,429.114746,-260.871704,76.238342,324.895111,100.29332,501.727753,384.505585,154.976776,119.211136,431.485565,78.369179,81.824333,333.285492,-171.29834,483.759399,361.014252,-208.542755,94.924942,264.549561,-331.932709,55.007492,224.011887,-249.202438,66.122185,277.248169,174.432892,57.659611,222.052185,103.250488,65.383904,366.563568,26.867056,108.602928,327.923065,-11.313483,497.184906
6,0,239.091537,-228.354797,975.586487,246.59491,35.987759,1004.183899,418.945953,-145.189392,1028.48877,421.405945,-56.887104,1033.928345,324.923706,-276.525421,504.585327,381.386108,-301.213226,88.621391,429.073456,-260.809998,76.417236,324.727386,100.104942,501.682098,384.494263,154.956619,119.248734,431.476166,78.33078,81.837776,332.965576,-171.305679,483.802124,361.016937,-208.52533,94.968552,264.57074,-331.948669,54.987904,223.983154,-249.204651,66.148392,277.255676,174.426346,57.644257,221.952866,103.308418,65.526741,366.528717,26.820671,108.575882,327.742828,-11.626554,497.216644
7,0,238.329712,-228.742126,975.561035,245.601364,35.882805,1004.098999,418.25705,-145.443558,1028.410522,420.81189,-57.126602,1033.782837,324.48056,-276.669525,504.570557,381.582184,-301.145203,88.653145,429.073517,-260.87793,76.328995,324.591705,99.925774,501.629578,384.483673,154.890381,119.286293,431.52655,78.282921,81.870941,332.647797,-171.503922,483.877747,360.999817,-208.58342,94.95295,264.548767,-331.98526,54.989323,223.978149,-249.217972,66.134941,277.25415,174.415863,57.640938,222.05751,103.285019,65.384277,366.482941,26.766676,108.576553,327.573273,-11.985044,497.167755
8,0,237.486404,-229.0905,975.508911,244.81778,35.595787,1003.996521,417.604279,-145.60025,1028.362671,419.912811,-57.363853,1033.664673,324.102905,-276.787384,504.537933,381.483276,-301.209106,88.583061,429.069824,-260.991943,76.507378,324.391724,99.72348,501.557159,384.463867,154.822128,119.309952,431.383118,78.175285,81.86631,332.238922,-171.433685,483.916443,361.000854,-208.565536,95.004745,264.569763,-331.993988,54.990353,223.974579,-249.225769,66.146065,277.232666,174.380386,57.639164,222.02594,103.323463,65.422386,366.427521,26.677458,108.611603,327.358948,-12.408126,496.932159
9,0,236.776932,-229.386261,975.492554,244.076508,35.319576,1003.88739,416.866882,-145.83876,1028.246582,419.132538,-57.625332,1033.547852,323.722198,-276.970703,504.359314,381.308441,-301.195343,88.642021,429.01416,-260.995575,76.539085,324.114258,99.499634,501.474274,384.385773,154.777863,119.319061,431.449036,78.180305,81.899048,331.902893,-171.62793,483.977112,360.959991,-208.589294,94.996437,264.537323,-331.988647,54.990559,223.948868,-249.224472,66.156532,277.249573,174.38562,57.648842,221.976028,103.246918,65.380669,366.365814,26.638277,108.550583,327.175293,-12.661909,496.938141
10,0,236.222412,-229.587769,975.454712,243.325653,35.03854,1003.744934,416.25235,-146.007416,1028.182251,418.511963,-57.737202,1033.527954,323.298767,-277.069244,504.465149,381.378845,-301.229187,88.626595,429.002655,-260.978912,76.627411,323.810028,99.291321,501.397858,384.33725,154.718811,119.377144,431.36496,78.101341,81.931198,331.57251,-171.801361,484.050262,360.952332,-208.63414,95.010368,264.561584,-331.951904,54.970806,223.931549,-249.199722,66.153572,277.262878,174.35083,57.634132,221.959778,103.231926,65.449226,366.440887,26.619329,108.575241,326.888123,-12.966086,496.740112
