,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,222.822891,-240.031891,984.967224,228.529083,29.324165,1002.454773,405.516602,-151.557556,1018.331787,407.551086,-65.258354,1020.564819,302.791107,-283.658661,506.326141,368.538025,-303.77774,88.376617,417.462006,-264.34198,76.773743,298.74173,95.757965,499.357483,380.043335,161.975067,121.911644,430.575806,92.770981,84.194283,311.217285,-179.830627,488.016205,349.743164,-210.949203,94.99263,252.360352,-331.757141,55.184437,212.60733,-249.206741,65.814034,269.245636,175.06604,57.635853,219.935989,99.791336,65.16848,368.320862,34.576061,111.670631,308.908051,-15.002533,494.886475
2,0,223.073242,-239.810837,984.887451,228.756042,29.034872,1002.310486,405.583344,-151.507568,1018.290894,407.575134,-65.192795,1020.530945,302.857849,-283.63916,506.353973,368.609314,-303.707031,88.348701,417.454529,-264.355804,76.782608,298.779449,95.759972,499.350677,380.058807,161.971695,121.884026,430.348633,92.698921,83.964706,311.23642,-179.787445,488.024811,349.766724,-210.957077,94.996857,252.365463,-331.730988,55.175346,212.595993,-249.212631,65.821419,269.23642,175.074387,57.652882,219.967926,99.826523,65.189926,368.347473,34.615589,111.697807,308.920746,-15.005219,494.91922
3,0,223.044266,-239.796097,984.875671,228.753799,29.086784,1002.317322,405.633057,-151.416122,1018.276917,407.604095,-65.099228,1020.501709,302.866455,-283.643707,506.355469,368.584351,-303.791107,88.393753,417.441925,-264.342407,76.776863,298.809937,95.777962,499.361847,380.035919,162.004837,121.889938,430.577179,92.757332,84.239883,311.317413,-179.745682,488.002258,349.582581,-210.956604,95.084419,252.352234,-331.738922,55.189644,212.632782,-249.216949,65.805923,269.262726,175.065384,57.644798,219.947617,99.764732,65.12339,368.366425,34.602367,111.663101,308.958069,-14.749401,494.941742
4,0,223.1138,-239.745255,984.919373,228.745392,29.118753,1002.314209,405.667236,-151.33847,1018.315186,407.642029,-65.064812,1020.496704,302.993561,-283.538116,506.351898,368.397125,-303.78775,88.383278,417.431152,-264.353821,76.714317,298.873138,95.81794,499.369598,380.08606,162.008667,121.881004,430.560944,92.75312,84.229996,311.32428,-179.742813,488.00766,349.772644,-210.967804,94.974899,252.376312,-331.739777,55.17506,212.615723,-249.216431,65.822441,269.277069,175.059906,57.635998,219.925354,99.789703,65.148834,368.384705,34.583237,111.681694,309.005859,-15.00272,494.978302
5,0,223.145889,-239.735748,984.94873,228.753815,29.163214,1002.31897,405.642822,-151.28421,1018.281799,407.618073,-65.003067,1020.42511,302.997925,-283.51236,506.343719,368.558014,-303.782318,88.366394,417.397064,-264.115051,76.671631,298.927155,95.835251,499.365936,380.076569,162.026672,121.889053,430.549286,92.728378,84.197906,311.401093,-179.663971,488.02124,349.765167,-210.946472,94.988922,252.373215,-331.744629,55.186031,212.613068,-249.209854,65.825226,269.266602,175.059372,57.621304,219.922119,99.784584,65.164665,368.421509,34.659889,111.690918,308.988922,-14.850944,494.974121
6,0,223.000626,-239.885147,985.036499,228.757904,29.180643,1002.314941,405.777405,-151.223618,1018.213745,407.674927,-64.9039,1020.4599,303.136902,-283.464722,506.354797,368.539795,-303.789185,88.369003,417.438873,-264.318787,76.771095,299.020996,95.849113,499.366821,380.082214,162.031494,121.868874,430.520447,92.737579,84.088272,311.407959,-179.673859,487.998993,349.729126,-210.929977,94.998032,252.374023,-331.765076,55.185272,212.619232,-249.211929,65.817589,269.250885,175.083786,57.631248,219.941162,99.793304,65.122452,368.375763,34.626553,111.708679,309.164154,-14.948642,494.998291
7,0,223.012375,-239.88382,985.143433,228.752136,29.2019,1002.309082,405.805756,-151.113693,1018.24115,407.674347,-64.857658,1020.383728,303.125427,-283.467651,506.355042,368.532074,-303.79303,88.334824,417.444214,-264.305176,76.723236,299.089111,95.856255,499.361389,380.095581,162.045685,121.875313,430.591949,92.754768,84.171844,311.487701,-179.65889,488.006805,349.745209,-210.900757,95.01474,252.362854,-331.773834,55.182068,212.623962,-249.22139,65.817093,269.247559,175.06636,57.652641,219.949905,99.785011,65.16922,368.317963,34.7593,111.656662,309.318726,-14.85938,495.017609
8,0,223.29097,-239.668716,985.026245,228.712128,29.229815,1002.307556,405.819977,-151.063339,1018.208252,407.623993,-64.781586,1020.35199,303.440491,-283.44574,506.387054,368.632874,-303.797943,88.363708,417.446991,-264.300964,76.8405,299.180084,95.882927,499.361511,380.136871,162.042679,121.848785,430.551117,92.784828,84.194725,311.519348,-179.629547,487.999084,349.732941,-210.900757,94.986755,252.385712,-331.785767,55.191357,212.621002,-249.221405,65.819031,269.258484,175.076599,57.647423,219.893951,99.830391,65.233864,368.416107,34.666279,111.695488,309.344177,-14.898308,495.017578
9,0,223.169647,-239.815018,985.075623,228.535309,29.500698,1002.3974,405.927277,-150.969147,1018.183838,407.687714,-64.728241,1020.351196,303.285248,-283.416351,506.361176,368.626251,-303.721008,88.375389,417.446838,-264.289246,76.763939,299.261047,95.895523,499.356842,380.150726,162.062119,121.845406,430.570831,92.739578,84.160583,311.540009,-179.566467,487.976685,349.714508,-210.911209,95.017815,252.367401,-331.776672,55.171558,212.635773,-249.227219,65.822128,269.274841,175.070099,57.642563,219.950943,99.816055,65.22477,368.440155,34.669922,111.697388,309.418091,-14.951566,495.026398
10,0,223.252853,-239.783295,985.104126,228.666275,29.253738,1002.282715,405.937073,-150.878189,1018.208496,407.661224,-64.640274,1020.342224,303.349152,-283.399536,506.374969,368.606659,-303.787933,88.349426,417.484467,-264.287689,76.840416,299.313324,95.915352,499.375641,380.18573,162.081863,121.860657,430.600769,92.778,84.128059,311.558044,-179.568832,488.007751,349.714203,-210.904114,95.000076,252.382217,-331.794495,55.190796,212.635742,-249.238052,65.814461,269.28186,175.082077,57.647186,219.968002,99.753899,65.158363,368.485901,34.674576,111.711464,309.556702,-14.910297,495.062744
