,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,210.910355,-225.296082,990.220398,200.457977,44.362629,1007.388855,389.423523,-123.931473,998.627197,384.811157,-37.455807,1001.788147,296.032257,-272.582001,505.121704,378.678406,-297.391022,90.059204,425.839447,-255.092499,78.655075,286.601257,106.921471,498.584595,386.100861,163.653152,120.358315,433.757629,91.850441,84.587204,297.69809,-166.813568,484.938263,356.000458,-205.549927,93.309402,264.048767,-334.031738,53.466892,221.001785,-250.997101,65.749237,276.236969,179.698044,57.509224,224.289093,105.864952,65.078232,369.956512,36.696354,111.668602,292.910034,-3.772462,498.802826
2,0,211.554855,-225.391037,990.250427,200.664612,44.225121,1007.398865,389.839142,-123.818466,998.822021,385.221375,-37.277237,1002.106934,296.283386,-272.668762,505.159546,378.72937,-297.398865,90.041954,425.876526,-255.10582,78.62851,286.913849,106.862343,498.574341,386.162201,163.669617,120.35894,433.756866,91.843628,84.586548,297.90509,-166.878357,484.952209,356.023254,-205.570389,93.331604,264.067139,-334.001038,53.453209,221.003403,-250.993851,65.740425,276.232239,179.696869,57.506355,224.319321,105.859535,65.048119,369.9841,36.652901,111.688255,293.35556,-3.87204,498.667114
3,0,212.194778,-225.516205,990.32312,200.910767,44.111015,1007.368896,390.287445,-123.724388,999.024719,385.516754,-37.277515,1002.225647,296.572784,-272.741913,505.194305,378.729309,-297.374939,90.030365,425.853363,-255.09462,78.615585,287.201355,106.778831,498.559937,386.216492,163.677765,120.375366,433.836517,91.839363,84.58165,298.204071,-166.921158,485.010406,356.05304,-205.553696,93.319038,264.067963,-333.998413,53.45937,220.998154,-251.007797,65.749451,276.23938,179.676697,57.516117,224.279663,105.826637,65.06694,370.030487,36.608162,111.634346,293.799744,-3.934073,498.618073
4,0,212.899216,-225.697556,990.396545,201.173309,43.975449,1007.36676,390.776642,-123.605759,999.276123,385.871155,-37.16954,1002.414368,296.903717,-272.801392,505.120148,378.793427,-297.39505,89.996162,425.83783,-255.0793,78.554626,287.481323,106.737602,498.540405,386.275787,163.657822,120.349449,433.876862,91.860931,84.572823,298.501526,-166.988052,485.03653,356.04422,-205.562012,93.341209,264.05011,-334.004883,53.435574,220.992554,-250.978058,65.741882,276.234894,179.67421,57.511829,224.290161,105.843597,65.07962,370.132782,36.680679,111.688202,294.184723,-4.124323,498.552887
5,0,213.610733,-225.779907,990.468811,201.414627,43.822258,1007.360718,391.363312,-123.481773,999.475769,386.423218,-37.006142,1002.611877,297.244232,-272.82428,505.216064,378.788086,-297.382812,90.032516,425.883423,-255.081268,78.579681,288.23233,106.243385,498.569641,386.313538,163.701859,120.365234,433.830719,91.909294,84.518723,298.816956,-167.007065,485.09729,356.083466,-205.601883,93.338837,264.068848,-334.002686,53.452679,220.98703,-250.995132,65.74633,276.253479,179.684097,57.518978,224.284088,105.759224,64.978233,370.182343,36.709625,111.692581,294.583374,-4.193644,498.502594
6,0,214.359192,-225.884827,990.514465,201.721024,43.723034,1007.369141,391.9133,-123.314964,999.711304,386.869598,-36.894062,1002.82074,297.586517,-272.858612,505.250824,378.752838,-297.352325,90.023087,425.861969,-255.107758,78.517487,288.08847,106.57383,498.552032,386.358276,163.694489,120.347275,433.843964,91.93058,84.534058,299.251984,-167.066208,485.143524,356.076965,-205.601318,93.342865,264.060822,-334.002258,53.440079,220.994324,-250.996826,65.759392,276.250549,179.683456,57.537495,224.240707,105.790825,65.066772,370.247528,36.707493,111.693901,294.880096,-4.25364,498.518921
7,0,215.075912,-226.021561,990.613037,202.003479,43.609482,1007.361145,392.494171,-123.225281,999.895325,387.068481,-36.908348,1002.954468,298.483765,-272.513641,505.127136,378.849152,-297.395233,90.028419,425.94046,-255.068756,78.517502,288.387451,106.476547,498.523743,386.383759,163.716537,120.350807,433.841827,91.9328,84.488731,299.712982,-167.12265,485.156403,356.092499,-205.591339,93.362244,264.053894,-334.004852,53.452652,220.989197,-250.99939,65.749557,276.244202,179.680359,57.534573,224.252716,105.881302,65.207489,370.290405,36.637543,111.697487,295.325226,-4.343233,498.456635
8,0,215.832047,-226.15004,990.689819,202.34758,43.488361,1007.34137,393.06192,-123.040337,1000.258179,387.533386,-36.78989,1003.201843,298.917725,-272.577881,505.184998,378.868378,-297.380615,89.966148,425.882324,-255.055344,78.459015,288.706177,106.380768,498.518158,386.413147,163.715622,120.342796,433.870209,91.980316,84.498337,300.124878,-167.207443,485.175537,356.076538,-205.583008,93.371178,264.078003,-333.986969,53.422173,220.984573,-250.985382,65.755447,276.227295,179.680161,57.521034,224.284485,105.7743,65.086388,370.357513,36.711567,111.714577,295.802429,-4.515245,498.354126
9,0,216.639832,-226.276123,990.769897,202.660294,43.312458,1007.322693,393.663605,-122.941185,1000.435974,387.97171,-36.69046,1003.453613,298.902344,-273.04895,505.302307,378.813019,-297.385468,89.934914,425.883575,-255.084335,78.458565,289.055389,106.221939,498.493073,386.46286,163.719727,120.340355,433.895264,91.970551,84.486519,300.469055,-167.17749,485.280151,356.151489,-205.61232,93.347153,264.082031,-334.013794,53.453827,221.005203,-250.972427,65.761513,276.238007,179.664169,57.520718,224.392395,105.865097,65.116219,370.375183,36.687717,111.723831,296.324554,-4.665699,498.253326
10,0,217.466705,-226.399139,990.826477,202.94693,43.24493,1007.284546,394.240997,-122.779877,1000.947449,388.445129,-36.617542,1003.742554,299.345551,-273.114075,505.251465,378.878021,-297.356659,89.969688,425.933929,-255.066986,78.469582,289.37085,106.114464,498.468628,386.543213,163.725281,120.338165,433.931274,91.983902,84.443977,300.90509,-167.239548,485.31424,356.156891,-205.646835,93.371689,264.07547,-334.005005,53.43367,221.01503,-250.977783,65.755157,276.25827,179.6586,57.533016,224.084259,105.734306,65.054382,370.493347,36.702789,111.704544,296.861267,-4.866907,498.10968
