,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,224.435364,-262.928192,989.634705,210.064178,3.019626,1001.61792,402.224152,-160.620773,1005.238037,397.026428,-74.409325,1006.756897,302.51181,-297.724884,506.213501,378.449127,-301.632874,87.547775,425.100952,-258.775238,76.950935,287.513214,84.174698,498.156006,376.444366,161.487335,124.30101,431.569427,91.001839,86.35955,304.03952,-188.93277,489.80777,355.355194,-209.491272,96.159058,263.382538,-333.536591,54.508873,220.595673,-252.147522,66.459618,272.456299,178.02095,57.849979,221.719147,103.530754,65.050102,370.675232,33.826454,107.545723,291.387939,-27.673456,491.423981
2,0,224.624863,-263.411865,989.85083,210.462204,2.806586,1001.645447,402.578552,-161.101807,1005.179138,397.449768,-74.895432,1006.656067,302.530365,-297.95816,506.203247,378.485809,-301.637787,87.529045,425.106293,-258.823242,76.928284,287.425934,83.895653,498.127869,376.436462,161.402496,124.335083,431.548248,90.950455,86.332275,304.18103,-189.22377,489.794159,355.394318,-209.528625,96.126007,263.357391,-333.540619,54.519711,220.592758,-252.157455,66.462593,272.461395,178.051132,57.94812,221.697815,103.522202,65.011551,370.669434,33.711918,107.525459,291.332825,-27.924627,491.34613
3,0,225.091843,-263.734253,989.806885,211.10347,2.111485,1001.575378,403.003265,-161.54126,1005.110474,397.90509,-75.402931,1006.561279,302.543091,-298.087036,506.314209,378.651093,-301.668213,87.391914,425.090179,-258.822784,76.931763,287.467682,83.53978,498.081604,376.406219,161.33783,124.374237,431.540344,90.904747,86.334549,304.24588,-189.467545,489.874512,355.386871,-209.531525,96.144272,263.375488,-333.538574,54.511005,220.615585,-252.146927,66.467232,272.46225,177.94957,57.879417,221.681885,103.495789,65.0093,370.655609,33.673878,107.485641,291.322357,-28.195503,491.286163
4,0,225.476181,-264.115692,989.914673,211.705032,1.799014,1001.599792,403.427887,-161.990982,1005.045532,398.389679,-75.869537,1006.454102,302.650299,-298.303192,506.209503,378.502411,-301.748566,87.507637,425.112915,-258.861938,76.91983,287.521973,83.28289,498.079742,376.435852,161.318436,124.444641,431.49762,90.850403,86.27005,304.307861,-189.783813,489.926514,355.423218,-209.55838,96.153191,263.369934,-333.539246,54.530067,220.604721,-252.140015,66.491913,272.474884,177.963699,57.93885,221.688339,103.454956,65.001305,370.687103,33.598186,107.489738,291.439545,-28.434542,491.210358
5,0,225.758621,-264.512848,989.968445,212.306122,1.269519,1001.557678,403.848816,-162.444977,1004.995605,398.688446,-76.392334,1006.389526,302.751495,-298.61615,506.224152,378.532837,-301.752869,87.427155,425.083221,-258.877075,76.918922,287.615021,83.056038,498.054474,376.459106,161.292938,124.473129,431.57132,90.879524,86.270798,304.442352,-189.9944,490.036407,355.205963,-209.267242,96.203125,263.353973,-333.541687,54.518848,220.58902,-252.136765,66.479019,272.470245,177.936356,57.949066,221.670593,103.449532,64.995499,370.744568,33.609947,107.445099,291.635101,-28.689119,491.17746
6,0,225.985229,-264.95639,990.135376,212.510757,1.366784,1001.67749,404.243958,-162.871628,1004.941956,399.259064,-76.734291,1006.269592,302.820099,-298.87326,506.234711,378.295532,-301.779297,87.4608,425.079163,-258.881073,76.92453,287.821808,82.801704,498.074463,376.536713,161.230225,124.50312,431.550934,90.861122,86.220253,304.614868,-190.176025,490.096405,355.227264,-209.342758,96.261894,263.350067,-333.558716,54.514904,220.593292,-252.146393,66.496117,272.507385,177.937271,57.984715,221.703598,103.471214,65.072105,370.792938,33.591572,107.441742,291.837769,-28.966099,491.139893
7,0,226.365311,-265.362305,990.240662,213.222473,0.754743,1001.615784,404.662415,-163.326569,1004.850037,399.728485,-77.185791,1006.164185,303.092773,-299.067566,506.271057,378.284363,-301.826019,87.41172,425.10495,-258.909698,76.870811,288.083282,82.572151,498.059357,376.602509,161.233948,124.558617,431.592316,90.863144,86.191956,304.83548,-190.382751,490.207214,355.236908,-209.386841,96.273933,263.360138,-333.568573,54.507278,220.601395,-252.139862,66.482323,272.473969,177.930664,57.991879,221.705215,103.485672,65.027275,370.833038,33.567574,107.428841,292.079773,-29.223648,491.05658
8,0,226.715759,-265.729156,990.26355,213.698242,0.47331,1001.626709,405.233643,-163.7883,1004.779358,400.221802,-77.675247,1006.126404,303.210846,-299.340057,506.286194,378.277283,-301.8573,87.431519,425.112,-258.948547,76.892044,288.433868,82.320259,498.078949,376.645386,161.20816,124.602371,431.627777,90.872131,86.164162,305.096252,-190.654144,490.238464,355.258636,-209.469055,96.275368,263.363098,-333.557617,54.48962,220.604584,-252.160019,66.494225,272.464355,177.919052,58.007698,221.721725,103.500305,65.026863,370.864624,33.511486,107.418373,292.338501,-29.474215,491.031006
9,0,227.073257,-266.114899,990.348572,214.277969,0.049996,1001.598267,405.64447,-164.251709,1004.754883,400.706207,-78.193275,1006.080017,303.449524,-299.597534,506.430969,378.46167,-301.884521,87.327454,425.122131,-258.958923,76.864441,288.654877,82.20211,498.128906,376.718475,161.184891,124.61055,431.672699,90.84082,86.153587,305.452881,-191.194656,490.389923,355.298767,-209.489334,96.319374,263.382141,-333.573303,54.484131,220.627594,-252.216522,66.441124,272.473206,177.872971,58.040218,221.716034,103.471046,64.994232,370.919189,33.477718,107.400497,292.636169,-29.746796,490.998535
10,0,227.386307,-266.44397,990.373779,214.864365,-0.281537,1001.5578,406.038849,-164.804367,1004.801514,401.217621,-78.644958,1006.058716,303.817139,-299.741425,506.392609,378.483551,-301.918091,87.310738,425.165985,-258.978058,76.848557,289.109741,81.87999,498.135254,376.767181,161.157074,124.68779,431.681213,90.82325,86.110184,305.759705,-191.376572,490.364655,355.307251,-209.542725,96.332787,263.368225,-333.58078,54.475086,220.656845,-252.206863,66.492287,272.43927,177.827118,58.05389,221.73378,103.47036,64.974449,370.981445,33.417339,107.396858,293.036041,-29.970385,490.96701
