,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,232.426346,-219.037842,984.19281,229.592148,47.596691,1004.86145,411.82962,-125.937553,1014.132263,411.271637,-38.923138,1017.470947,313.118713,-269.402344,505.308319,378.896301,-298.17804,89.299568,427.078613,-258.157593,76.824715,302.179382,113.591736,502.298828,374.401093,176.340118,120.998383,431.381744,105.96151,83.171715,317.899323,-164.182556,483.861938,358.788544,-205.012817,93.693031,262.479309,-327.631012,54.742535,222.062973,-244.686829,66.224518,268.024017,185.707367,58.139503,221.077957,108.545418,65.498466,370.249084,47.287758,108.918205,313.227234,4.14422,500.323486
2,0,232.244827,-219.071152,984.146606,229.142593,47.5462,1004.745361,411.696777,-125.784027,1014.122986,410.915924,-38.818745,1017.445923,313.075897,-269.383331,505.299225,378.831757,-298.16806,89.29689,427.057831,-258.092926,76.882896,302.279968,113.626236,502.307587,374.435211,176.390564,120.959274,431.451752,106.017197,83.192787,317.7995,-164.159393,483.857971,358.727417,-204.948563,93.697235,262.485779,-327.631226,54.753414,222.052811,-244.693359,66.228378,267.97049,185.794601,58.078362,221.063705,108.548584,65.526634,370.262787,47.344467,108.949615,313.431702,4.206396,500.309998
3,0,232.005417,-219.099426,984.090576,228.68399,47.539577,1004.636169,411.263794,-125.618874,1014.162781,410.51828,-38.693859,1017.454285,313.033478,-269.332672,505.29068,378.663666,-298.104095,89.356491,426.98172,-258.087006,76.816818,302.422424,113.685394,502.295258,374.506134,176.447067,120.947723,431.469543,106.047737,83.194183,317.693237,-164.1315,483.822632,358.706879,-204.915802,93.691109,262.487427,-327.623962,54.752808,222.051758,-244.689743,66.20723,267.916565,185.882935,58.009346,221.056076,108.594048,65.536713,370.282867,47.384811,108.966637,313.700226,4.226367,500.210815
4,0,231.8004,-219.123322,984.062073,228.372467,47.376156,1004.463074,411.119263,-125.414986,1014.150757,410.22879,-38.494019,1017.474182,313.289551,-269.296082,505.244385,378.858795,-298.093048,89.350334,427.00061,-258.043579,76.798569,302.565552,113.762604,502.269928,374.543152,176.49234,120.927032,431.453857,106.090866,83.198494,317.59256,-164.052841,483.797729,358.715393,-204.898972,93.658195,262.498627,-327.618561,54.748146,222.058014,-244.699234,66.228149,267.879059,185.942429,57.929436,221.006683,108.675644,65.563416,370.30014,47.432575,108.972008,313.893311,4.299632,500.315247
5,0,231.624359,-219.099915,983.984314,227.912659,47.410805,1004.35791,410.664124,-125.204323,1014.181824,409.887207,-38.298527,1017.490967,313.013214,-269.246918,505.283661,378.862213,-298.06485,89.360008,427.085846,-257.824036,76.752823,302.75647,113.852478,502.245483,374.540527,176.496658,120.887772,431.492584,106.096748,83.20076,317.50412,-164.012238,483.779816,358.703156,-204.872177,93.669571,262.52243,-327.610992,54.746201,222.039932,-244.691925,66.214302,267.843353,185.982056,57.857998,221.094452,108.770454,65.543991,370.330933,47.473972,109.011719,314.175964,4.3779,500.306061
6,0,231.440552,-219.038269,983.932617,227.384125,47.453732,1004.279968,410.390747,-124.955299,1014.182922,409.526001,-38.052788,1017.458679,312.993835,-269.136627,505.270355,378.703918,-298.03656,89.383163,427.047028,-257.789185,76.7668,302.877533,113.939369,502.213074,374.582428,176.539398,120.865593,431.503265,106.136284,83.231087,317.409149,-163.959198,483.747223,358.687927,-204.86702,93.660034,262.519745,-327.59375,54.7719,222.041595,-244.719467,66.213898,267.809052,186.018616,57.815857,221.025299,108.693192,65.546074,370.364563,47.487236,108.974953,314.410065,4.443111,500.30072
7,0,231.286987,-218.966583,983.861755,226.936752,47.537334,1004.156738,410.113464,-124.679619,1014.207458,409.098755,-37.731552,1017.40802,313.014191,-269.073669,505.28067,378.8414,-298.017639,89.388939,427.027618,-257.812256,76.731522,303.018311,114.005608,502.137238,374.583923,176.580261,120.825951,431.239685,106.037666,83.105919,317.3125,-163.867767,483.733337,358.531067,-204.646286,93.725861,262.53299,-327.616638,54.72858,222.04187,-244.714996,66.214622,267.775055,186.031677,57.761471,221.00943,108.701538,65.543777,370.387421,47.506638,109.015541,314.680908,4.54101,500.325195
8,0,231.132446,-218.887344,983.777222,226.468857,47.644482,1004.075867,409.863068,-124.38356,1014.258118,408.721283,-37.488602,1017.403503,313.052399,-269.006561,505.292847,378.745575,-297.975311,89.404633,427.001038,-257.789246,76.739357,303.182495,114.122459,502.102081,374.616608,176.613739,120.793335,431.288483,106.036423,83.116264,317.309204,-163.61644,483.661591,358.535278,-204.656738,93.698814,262.49881,-327.608032,54.778221,222.025314,-244.73671,66.207695,267.758423,186.088318,57.733635,221.015747,108.709312,65.502449,370.435852,47.566174,109.027458,314.929016,4.659566,500.355255
9,0,230.965668,-218.821457,983.711426,226.02623,47.753696,1003.995789,409.535614,-124.099609,1014.161255,408.396637,-37.141296,1017.38324,313.019806,-268.897308,505.295746,378.743286,-297.951599,89.438919,427.039093,-257.694244,76.810555,303.314026,114.255005,502.022491,374.635925,176.653961,120.738731,431.288422,106.113594,83.110069,317.197937,-163.50267,483.684265,358.50827,-204.604187,93.692619,262.537109,-327.62851,54.751236,222.031067,-244.745453,66.21727,267.751556,186.111176,57.712246,220.994843,108.725815,65.509216,370.468445,47.614162,109.031654,315.177124,4.731683,500.336639
10,0,230.964371,-218.64566,983.661499,225.576248,47.868252,1003.940125,409.327148,-123.716286,1014.200439,407.980591,-36.805302,1017.23407,313.100098,-268.790253,505.14209,378.740479,-297.932495,89.419273,427.046112,-257.661285,76.818726,303.4104,114.406738,501.977264,374.706909,176.712021,120.723198,431.308655,106.135338,83.117294,317.138153,-163.354584,483.686218,358.499481,-204.594681,93.689133,262.521088,-327.610107,54.743141,222.034698,-244.732956,66.213432,267.716522,186.137573,57.658241,220.974579,108.742401,65.465271,370.496094,47.657215,109.069275,315.446106,4.837309,500.384735
11,0,230.659775,-218.608932,983.578186,225.103821,48.010208,1003.913391,409.038116,-123.433655,1014.137268,407.643921,-36.515068,1017.174988,312.99173,-268.669769,505.207764,378.86554,-297.916901,89.431473,427.068329,-257.636261,76.809204,303.483215,114.564964,501.936737,374.716919,176.759888,120.691025,431.308105,106.178841,83.107056,317.019226,-163.241776,483.695282,358.496582,-204.584869,93.673729,262.534058,-327.604523,54.734165,222.026184,-244.754288,66.225746,267.6987,186.187363,57.653137,220.99176,108.783768,65.507965,370.544647,47.703651,109.067528,315.685486,4.978323,500.399475
12,0,230.633102,-218.432465,983.497375,224.635681,48.141201,1003.882385,408.770416,-123.071472,1014.1026,407.215759,-36.171417,1017.134888,312.977905,-268.501373,505.209564,378.928345,-297.825378,89.453629,427.00827,-257.590607,76.739197,303.557495,114.717827,501.906464,374.714508,176.813934,120.656624,431.328979,106.223083,83.153252,316.873444,-163.132996,483.633057,358.492218,-204.560898,93.662109,262.555817,-327.59967,54.747803,222.042206,-244.743393,66.213921,267.703033,186.170975,57.602962,221.019089,108.796913,65.507172,370.569214,47.742023,109.059349,315.823334,5.196528,500.468384
13,0,230.427734,-218.333954,983.448853,224.140717,48.274361,1003.836853,408.530457,-122.760139,1014.05957,406.86084,-35.813057,1017.137512,313.019897,-268.41925,505.099762,378.970612,-297.748505,89.453575,427.000793,-257.583435,76.752174,303.57959,114.85154,501.889404,374.737976,176.862976,120.651009,431.326782,106.250565,83.166527,316.720062,-163.00174,483.622742,358.447296,-204.536697,93.644455,262.563568,-327.616882,54.749329,222.019043,-244.747009,66.20018,267.681,186.197601,57.577499,220.985519,108.796684,65.493958,370.571686,47.792389,109.071266,315.881897,5.355783,500.454956
14,0,230.281799,-218.203659,983.394043,223.719772,48.410595,1003.814453,408.258667,-122.442398,1014.032104,406.473999,-35.430393,1017.132874,312.943726,-268.298401,505.094696,378.844421,-297.741547,89.473007,426.993225,-257.555145,76.811661,303.578339,114.977806,501.87088,374.707886,176.89389,120.622368,431.288635,106.279419,83.176674,316.633453,-162.857559,483.619812,358.441132,-204.4888,93.654655,262.549347,-327.609436,54.755672,221.992859,-244.751541,66.205215,267.685852,186.240692,57.566914,220.957092,108.786484,65.466751,370.578308,47.814545,109.098442,315.94165,5.473132,500.485535
15,0,229.938324,-218.175522,983.336975,223.381256,48.434612,1003.785706,408.037872,-122.168747,1013.966431,406.215027,-35.083302,1017.109619,312.853241,-268.152679,505.206238,378.711151,-297.566284,89.481461,427.020782,-257.481171,76.897736,303.549927,115.107841,501.865509,374.727356,176.939957,120.595398,431.290894,106.289291,83.226891,316.500763,-162.704102,483.596375,358.436493,-204.443008,93.637711,262.550781,-327.554108,54.75193,221.969543,-244.757553,66.198128,267.69162,186.236847,57.518551,220.961914,108.823662,65.472374,370.585632,47.845898,109.096794,315.952637,5.609599,500.500916
16,0,229.814941,-218.018127,983.279297,222.99675,48.560364,1003.808716,407.812836,-121.887421,1013.93866,405.878357,-34.901173,1017.151733,312.864624,-268.015076,505.093048,378.591888,-297.528992,89.506523,426.948029,-257.439911,76.83786,303.50354,115.242203,501.813171,374.663696,176.93869,120.563232,431.325867,106.297897,83.262489,316.42099,-162.500443,483.59494,358.571838,-204.666214,93.555786,262.543274,-327.565765,54.777218,221.972519,-244.754013,66.18824,267.640045,186.232285,57.523769,220.955658,108.836014,65.458054,370.60022,47.859688,109.117683,315.963165,5.710383,500.51297
17,0,229.578384,-217.859741,983.224182,222.592377,48.807976,1003.868347,407.589874,-121.545952,1013.884888,405.657715,-34.588089,1017.1521,312.803741,-267.888672,505.090668,378.585815,-297.502441,89.570412,426.941101,-257.341461,76.845329,303.415558,115.404854,501.749695,374.652069,176.974686,120.54261,431.332428,106.334213,83.29792,316.436096,-162.564407,483.571442,358.388397,-204.408325,93.593918,262.525604,-327.552155,54.800602,221.944855,-244.741638,66.198769,267.675507,186.252945,57.508411,220.934067,108.856934,65.481346,370.596924,47.916187,109.129951,315.957245,5.755299,500.543549
18,0,229.433945,-217.71875,983.165405,222.28656,48.83379,1003.876343,407.334137,-121.236794,1013.848206,405.414673,-34.273849,1017.163635,312.813538,-267.714844,505.042969,378.60202,-297.455841,89.537071,426.944702,-257.251434,76.868927,303.274628,115.536179,501.702728,374.691986,177.030762,120.545959,431.340485,106.358467,83.310616,316.335907,-162.406433,483.589935,358.534882,-204.521622,93.530838,262.534393,-327.535522,54.812511,221.94281,-244.737274,66.169937,267.662262,186.279999,57.507671,220.925583,108.853111,65.454353,370.588928,47.953259,109.136368,315.963531,5.922051,500.540009
19,0,229.462357,-217.462021,983.111267,221.942841,48.977512,1003.869324,407.083466,-120.852165,1013.796692,405.053497,-34.050602,1017.073364,312.775574,-267.61203,505.112885,378.754669,-297.3573,89.562164,426.948578,-257.212036,76.85218,303.118347,115.668755,501.670959,374.644958,177.03952,120.505173,431.4375,106.494286,83.379013,316.267456,-162.292206,483.552765,358.49176,-204.467392,93.505409,262.552002,-327.50412,54.794346,221.923859,-244.735138,66.185326,267.65033,186.296524,57.482857,220.936569,108.9133,65.513596,370.558838,47.964428,109.145599,315.860809,6.002477,500.508057
20,0,229.140701,-217.359665,983.045593,221.624603,49.114964,1003.847961,406.925964,-120.665092,1013.764954,404.768982,-33.804264,1017.07782,312.568787,-267.465485,505.031952,378.598022,-297.33551,89.585526,426.81189,-256.931885,76.801376,302.940033,115.759346,501.608917,374.601654,177.060623,120.528053,431.265411,106.44426,83.345856,316.128815,-162.09613,483.548859,358.503174,-204.431763,93.481857,262.539551,-327.497437,54.839378,221.934311,-244.734131,66.170525,267.65451,186.296661,57.474152,220.928925,108.930748,65.465775,370.563232,48.000965,109.127281,315.826263,6.1058,500.449493
21,0,228.956543,-217.235641,982.997498,221.269211,49.247799,1003.825439,406.699982,-120.443962,1013.735046,404.4664,-33.536674,1017.02655,312.470398,-267.331665,505.027283,378.711121,-297.272217,89.606766,426.880707,-257.001404,76.869064,302.770081,115.846718,501.579285,374.573303,177.057022,120.494522,431.245758,106.455437,83.356239,315.974426,-162.014725,483.44986,358.498749,-204.392639,93.482132,262.552979,-327.488525,54.795021,221.906708,-244.725677,66.179222,267.666321,186.308502,57.460499,220.910324,108.910599,65.428711,370.539001,48.005234,109.15123,315.711121,6.208743,500.438202
22,0,228.769119,-217.06929,982.936768,220.913193,49.410561,1003.821594,406.400269,-120.22821,1013.735291,404.117767,-33.31731,1017.010315,312.368042,-267.226959,505.00238,378.791412,-297.220856,89.582413,426.860535,-256.969849,76.893692,302.61142,115.937485,501.523254,374.524963,177.051819,120.476021,431.189484,106.453339,83.371819,315.870392,-161.914291,483.38562,358.440796,-204.328583,93.472313,262.536652,-327.466522,54.832054,221.891891,-244.722488,66.17997,267.663269,186.346542,57.462116,220.822327,109.018791,65.393532,370.530701,48.023121,109.161903,315.614807,6.286679,500.436371
23,0,228.523712,-216.955536,982.902161,220.629303,49.514988,1003.809692,406.177826,-120.004921,1013.676025,403.857727,-33.083538,1016.984802,312.160004,-267.072296,505.067108,378.596619,-297.180664,89.639374,426.765259,-256.792664,76.89978,302.432922,116.051384,501.502563,374.508514,177.109039,120.524498,431.304474,106.524719,83.446877,315.727173,-161.783096,483.408722,358.402588,-204.294067,93.473602,262.562439,-327.44165,54.842899,221.87233,-244.751892,66.165245,267.650269,186.328125,57.473011,220.803604,108.968056,65.353416,370.490692,48.044765,109.17128,315.487732,6.394644,500.43338
24,0,228.308701,-216.773178,982.909058,220.298157,49.656761,1003.809082,405.878632,-119.796562,1013.656372,403.618317,-32.895805,1016.944031,312.081879,-266.972321,504.980103,378.609619,-297.171906,89.650024,426.848206,-256.852081,76.953217,302.278076,116.175606,501.483856,374.487061,177.117706,120.463257,431.335938,106.53727,83.511116,315.613647,-161.69223,483.392151,358.393494,-204.238159,93.469002,262.57019,-327.436035,54.816143,221.857834,-244.735535,66.171112,267.6539,186.368576,57.459927,220.746658,109.120201,65.440132,370.456207,48.075565,109.168404,315.327484,6.492892,500.437988
25,0,228.270035,-216.598907,982.829285,219.98703,49.812241,1003.7948,405.716553,-119.549858,1013.671509,403.273041,-32.774956,1016.955383,312.13913,-266.908997,504.859497,378.68399,-297.120422,89.686813,426.821869,-256.805664,76.969498,302.153168,116.272324,501.445068,374.465332,177.165039,120.47493,431.135437,106.485939,83.441597,315.480988,-161.598969,483.359802,358.376587,-204.183563,93.477806,262.557007,-327.463989,54.832077,221.838135,-244.717941,66.173172,267.672516,186.381561,57.443378,220.735733,109.180481,65.427246,370.430481,48.10638,109.187485,315.144775,6.593132,500.456512
26,0,228.087112,-216.424866,982.817322,219.6875,49.968327,1003.779297,405.500427,-119.43309,1013.631958,402.996979,-32.592762,1016.908752,311.7901,-266.748322,504.949677,378.613464,-297.086517,89.664169,426.801697,-256.768982,76.999184,302.023834,116.370529,501.426453,374.444336,177.190369,120.487976,431.285004,106.595222,83.549377,315.382629,-161.513123,483.380737,358.341431,-204.151001,93.464043,262.543335,-327.445343,54.86824,221.823975,-244.730087,66.165192,267.64917,186.406494,57.460068,220.686874,109.206017,65.442162,370.402466,48.133827,109.221222,314.964661,6.703729,500.504364
27,0,227.883041,-216.26915,982.789429,219.360352,50.123283,1003.748169,405.230103,-119.280144,1013.596863,402.710602,-32.415581,1016.954895,311.659821,-266.641449,504.960297,378.533691,-297.100494,89.713242,426.7966,-256.723206,77.016174,301.919952,116.470245,501.423126,374.401947,177.203262,120.469292,431.106201,106.516426,83.484375,315.262207,-161.43721,483.337952,358.34845,-204.145081,93.451149,262.549408,-327.434814,54.851543,221.809525,-244.723282,66.174866,267.689117,186.42334,57.427006,220.714996,109.271553,65.463638,370.375641,48.17844,109.199684,314.82251,6.818731,500.538422
28,0,227.590607,-216.160065,982.765747,219.045563,50.261459,1003.728027,405.032593,-119.123184,1013.536926,402.44693,-32.297592,1016.849487,311.520782,-266.52002,504.959045,378.529999,-297.026428,89.71534,426.785492,-256.692017,77.022095,301.797516,116.554535,501.411621,374.408508,177.255676,120.450058,431.091461,106.537071,83.50209,315.122925,-161.343781,483.36911,358.306396,-204.107147,93.457176,262.544617,-327.4216,54.844555,221.814789,-244.738312,66.165779,267.695862,186.446671,57.419697,220.800018,109.373268,65.542389,370.350494,48.22945,109.212761,314.718628,6.876895,500.527863
29,0,227.325104,-216.041077,982.711792,218.72879,50.367252,1003.720642,404.810699,-118.94838,1013.541687,402.229645,-32.111935,1016.873596,311.404663,-266.431122,504.943024,378.617859,-296.987457,89.726646,426.807281,-256.667908,77.070427,301.692505,116.642868,501.439392,374.435425,177.289978,120.4505,431.103058,106.57885,83.543831,314.966187,-161.267776,483.368073,358.302216,-204.056488,93.457848,262.534943,-327.418671,54.877136,221.797882,-244.735031,66.165451,267.69635,186.470337,57.421432,220.741821,109.372772,65.52655,370.356873,48.271404,109.243553,314.62738,6.979418,500.553833
30,0,227.141113,-215.945251,982.699768,218.430328,50.52449,1003.71228,404.584045,-118.834129,1013.538147,401.990326,-31.930086,1016.835205,311.387329,-266.392639,504.813263,378.526215,-296.933228,89.788696,426.777893,-256.621277,77.069115,301.613403,116.756142,501.433624,374.435486,177.320435,120.417,431.094971,106.598106,83.540649,314.894104,-161.207886,483.377075,358.266083,-204.003174,93.462128,262.546967,-327.412567,54.840115,221.789001,-244.729584,66.163742,267.700104,186.511688,57.400093,220.754211,109.444923,65.575386,370.341766,48.328201,109.264534,314.579895,7.043984,500.553497
31,0,226.981033,-215.846649,982.687744,218.147873,50.557209,1003.678589,404.33371,-118.70546,1013.543274,401.766571,-31.771906,1016.782776,311.213715,-266.326416,504.937714,378.539978,-296.868164,89.754639,426.762482,-256.564575,77.081604,301.545898,116.872498,501.42746,374.455353,177.34256,120.410713,431.124542,106.63726,83.546326,314.747742,-161.092484,483.349091,358.233673,-203.94809,93.443817,262.563995,-327.401917,54.854176,221.758514,-244.733032,66.152382,267.722412,186.56575,57.392277,220.794434,109.532524,65.670486,370.317169,48.36676,109.248604,314.463104,7.136117,500.574951
32,0,226.789948,-215.782455,982.637268,217.854813,50.627808,1003.628479,404.065399,-118.604256,1013.495178,401.486725,-31.617672,1016.797424,311.173798,-266.266968,504.825531,378.506897,-296.791504,89.777939,426.779694,-256.496368,77.099091,301.50351,116.969421,501.412933,374.454559,177.370941,120.412163,430.903961,106.767136,83.480095,314.589233,-160.871353,483.28186,358.061981,-203.978165,93.476295,262.558197,-327.426727,54.865097,221.75737,-244.729126,66.15313,267.713409,186.590836,57.389477,220.831329,109.524483,65.66346,370.290314,48.412586,109.25248,314.391022,7.235199,500.535309
33,0,226.606689,-215.737274,982.589355,217.588882,50.678997,1003.563293,403.936737,-118.407455,1013.522156,401.350403,-31.448677,1016.777283,311.194794,-266.264679,504.829834,378.697998,-296.808228,89.882896,426.735321,-256.457703,77.107841,301.472687,117.055267,501.398926,374.473022,177.405258,120.408623,431.076019,106.715294,83.541039,314.471832,-160.955902,483.331726,358.149536,-203.877136,93.460602,262.566711,-327.410706,54.845383,221.748581,-244.724686,66.143593,267.70459,186.605347,57.382317,220.868256,109.556671,65.67144,370.279572,48.442352,109.285408,314.298584,7.338974,500.500336
34,0,226.408112,-215.674316,982.562195,217.256058,50.724903,1003.540405,403.74292,-118.329582,1013.473389,401.12439,-31.31127,1016.802673,310.962982,-266.156982,504.938843,378.603577,-296.83136,89.857765,426.723572,-256.393921,77.131554,301.410583,117.11953,501.378906,374.474213,177.453445,120.386734,431.099091,106.898788,83.563156,314.262054,-160.713394,483.299255,358.12262,-203.85672,93.439217,262.552856,-327.402893,54.883686,221.744843,-244.735199,66.150352,267.737335,186.629471,57.369751,220.877274,109.592789,65.723412,370.269196,48.461765,109.263412,314.244781,7.419568,500.482605
35,0,226.263107,-215.626602,982.516357,216.966873,50.75692,1003.47522,403.445984,-118.26754,1013.409485,400.935547,-31.200907,1016.712769,310.857391,-266.109283,504.914642,378.75531,-296.790771,89.839447,426.765106,-256.381622,77.141472,301.29422,117.168015,501.351532,374.480469,177.467361,120.399239,430.961731,106.835045,83.495811,314.070099,-160.62616,483.316498,358.121033,-203.81871,93.434471,262.571136,-327.406067,54.825867,221.725052,-244.7603,66.155327,267.73703,186.630768,57.365818,220.924423,109.595551,65.733986,370.26593,48.484112,109.304703,314.148071,7.464266,500.510803
