,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,246.44313,-191.889145,1105.263062,257.024506,57.275955,1106.819824,429.424194,-116.829323,1129.228149,431.596802,-33.538029,1129.480957,306.958191,-276.666382,566.275574,370.826324,-303.78186,99.305153,429.756195,-254.22612,77.618401,306.508759,121.871811,589.94397,389.114441,154.290909,103.379517,435.310791,101.543243,81.100525,307.539215,-172.676666,555.894775,351.373871,-217.74942,113.03157,247.355011,-318.989258,54.728111,214.517456,-234.529663,62.977234,256.343689,178.071564,57.097332,217.418152,94.989464,63.666992,357.194977,69.532166,108.100357,327.022919,17.815371,559.821594
2,0,246.542145,-191.918396,1105.315552,257.026398,57.237026,1106.850586,429.503571,-116.776657,1129.150879,431.662598,-33.528877,1129.361084,306.917114,-276.658051,566.22821,370.708862,-304.009613,99.394264,429.605164,-254.140198,77.607048,306.424011,121.864388,589.936707,389.098785,154.304886,103.369553,435.301788,101.545647,81.069878,307.424164,-172.659805,555.922668,351.318817,-217.771072,113.003815,247.369919,-319.004578,54.71196,214.53096,-234.539536,62.968418,256.371277,178.051071,57.09449,217.449554,94.988243,63.68232,357.181122,69.52301,108.114807,326.812866,17.710279,559.727539
3,0,246.631699,-192.005539,1105.345947,257.04718,57.188847,1106.875244,429.602325,-116.730736,1129.078125,431.602905,-33.532364,1129.171997,306.858307,-276.671631,566.266479,370.689972,-303.988373,99.364853,429.706757,-254.205078,77.68676,306.360809,121.846992,589.937195,389.100952,154.314346,103.370804,435.308716,101.542969,81.054543,307.282227,-172.674683,555.909485,351.365631,-217.776794,113.07563,247.360352,-318.992432,54.721321,214.503159,-234.549591,62.981144,256.367737,178.02803,57.068649,217.542374,94.94194,63.600281,357.188873,69.527908,108.093079,326.696014,17.716051,559.719788
4,0,246.711273,-192.059662,1105.377197,257.031281,57.143864,1106.896118,429.658112,-116.728561,1128.939453,431.661621,-33.507507,1129.107544,306.753357,-276.66095,566.258728,370.824127,-303.762207,99.349609,429.676056,-254.190445,77.672279,306.239899,121.826012,589.907288,389.086884,154.288239,103.371193,435.288605,101.550896,81.076042,307.148315,-172.675278,555.903809,351.326538,-217.753296,112.977844,247.360886,-319.012939,54.710617,214.502563,-234.56633,62.983006,256.262817,178.058304,57.185898,217.430618,94.993706,63.690262,357.21225,69.523323,108.067818,326.741821,17.750343,559.820679
5,0,246.850311,-192.140137,1105.382446,257.010315,57.094551,1106.917358,429.664734,-116.704582,1128.882812,431.832092,-33.383518,1129.063354,306.678192,-276.637756,566.261047,370.806763,-303.74704,99.347542,429.734894,-254.161713,77.649483,306.119568,121.776939,589.90033,389.087769,154.299728,103.382706,435.294373,101.538811,81.06337,306.975616,-172.673294,555.912903,351.302948,-217.725449,112.995621,247.350449,-319.018951,54.72607,214.502594,-234.571899,62.970734,256.401794,178.039185,57.075787,217.461945,94.984016,63.655174,357.19931,69.52282,108.084007,326.482422,17.677692,559.681458
6,0,246.941498,-192.205795,1105.412964,256.994354,57.033756,1106.920898,429.785065,-116.637871,1128.853638,431.803528,-33.389622,1129.009521,306.606781,-276.641632,566.236145,370.64267,-303.981171,99.406471,429.767975,-254.076218,77.676598,306.00174,121.769745,589.882874,389.163452,154.161362,103.353569,435.299103,101.51696,81.080444,306.858582,-172.652481,555.927856,351.330872,-217.694366,113.008041,247.37326,-319.023468,54.708199,214.494583,-234.590714,62.963799,256.28833,178.044968,57.157944,217.472549,94.985519,63.668034,357.225189,69.536476,108.06118,326.544159,17.731325,559.735046
7,0,247.058151,-192.264786,1105.418457,256.953735,56.967213,1106.951538,429.929138,-116.560341,1128.832764,431.754822,-33.401035,1128.96521,306.533752,-276.620911,566.214355,370.692505,-303.936401,99.403137,429.722748,-254.116959,77.695503,305.850342,121.735176,589.874878,389.117401,154.167511,103.345238,435.296692,101.544067,81.079216,306.695709,-172.635269,555.88031,351.28714,-217.745941,113.099434,247.351715,-319.038849,54.694912,214.49649,-234.583542,62.968941,256.376862,178.037552,57.049698,217.430435,94.988129,63.671768,357.020416,69.700134,108.1399,326.431,17.686485,559.753723
8,0,247.159958,-192.329391,1105.432739,256.899994,56.917091,1106.976318,429.987274,-116.495262,1128.766602,431.941498,-33.25016,1128.928833,306.453064,-276.6315,566.227783,370.834625,-303.712677,99.353035,429.729858,-254.034363,77.612038,305.757477,121.703873,589.896179,389.053345,154.267365,103.401657,435.310455,101.567734,81.102669,306.578979,-172.629333,555.881287,351.201569,-217.721863,112.923492,247.376648,-319.068298,54.708118,214.479538,-234.603516,62.981865,256.321777,178.06044,57.143997,217.416,94.958534,63.602222,357.194763,69.559357,108.088333,326.151459,17.609478,559.701721
9,0,247.261856,-192.396423,1105.42627,256.890228,56.859524,1107.003784,429.915222,-116.539886,1128.791138,431.858612,-33.235031,1128.946655,306.411804,-276.63504,566.220642,370.71524,-303.928802,99.400841,429.76239,-254.080093,77.656052,305.631775,121.687233,589.920837,389.037628,154.246155,103.40831,435.296082,101.558716,81.138962,306.390625,-172.608002,555.867554,351.252869,-217.759979,113.110497,247.36412,-319.064575,54.713799,214.490295,-234.619751,62.978878,256.323456,178.082428,57.177616,217.438019,94.968895,63.634045,357.149139,69.570778,108.083099,326.164398,17.633886,559.75354
10,0,247.384064,-192.430664,1105.418701,256.842499,56.81406,1107.02002,429.973877,-116.467659,1128.744263,431.918274,-33.147152,1128.926147,306.339203,-276.630432,566.241333,370.775055,-303.88855,99.420364,429.727814,-254.094177,77.629044,305.514709,121.657166,589.933533,389.092377,154.144058,103.381874,435.307709,101.571075,81.141487,306.265808,-172.607864,555.867126,351.201385,-217.737305,112.961555,247.371643,-319.079895,54.698788,214.453049,-234.659515,62.970623,256.446655,178.04364,57.058186,217.440063,94.955215,63.636303,357.152832,69.562317,108.069107,325.901978,17.496782,559.748291
