,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,218.539566,-186.336517,1097.734253,220.089508,57.261463,1105.468018,398.820923,-107.128922,1128.470703,397.170685,-22.968176,1130.238525,297.304443,-271.471191,561.659546,371.843201,-297.258087,99.47303,427.942871,-244.706955,79.361397,296.445312,130.294586,588.131653,380.105377,158.238892,103.261162,435.37915,99.699608,83.139114,290.007141,-166.862549,550.712097,346.437256,-212.007843,112.35807,251.451996,-322.948029,53.831795,211.826675,-240.667877,63.092022,260.844971,183.52153,55.829521,218.477142,102.789787,64.913246,363.913757,72.998344,109.874138,313.628143,24.286839,557.742065
2,0,218.75,-186.213959,1097.709351,220.208069,57.304794,1105.463257,398.870758,-107.200607,1128.612183,397.258698,-23.025883,1130.328857,297.234009,-271.49353,561.664612,371.849518,-297.245209,99.455589,427.972382,-244.675415,79.368248,296.526123,130.304947,588.114746,380.11615,158.225876,103.262161,435.373962,99.68042,83.135117,289.964081,-166.863678,550.685608,346.376404,-212.006531,112.413811,251.472824,-322.947388,53.847221,211.832977,-240.674622,63.088818,260.85318,183.534866,55.810379,218.524002,102.706291,64.821716,363.877411,72.917145,109.866745,313.578125,24.230518,557.719849
3,0,218.551224,-186.289398,1097.745239,220.363098,57.362919,1105.409302,398.95108,-107.21579,1128.726685,397.309723,-23.063944,1130.461304,297.173828,-271.519287,561.686157,371.864777,-297.235077,99.505478,427.965179,-244.64975,79.42173,296.524689,130.310699,588.124084,380.136383,158.217407,103.253342,435.372131,99.677559,83.137199,289.904572,-166.838333,550.671265,346.417236,-211.9776,112.400215,251.455902,-322.927338,53.843658,211.81636,-240.660721,63.108944,260.868744,183.518478,55.830189,218.504562,102.754456,64.891922,363.903259,72.933823,109.859749,313.542236,24.233831,557.681396
4,0,218.738922,-186.087204,1097.717285,220.503738,57.471264,1105.358643,398.984344,-107.236359,1128.859131,397.435272,-23.128986,1130.551758,297.1604,-271.497101,561.689514,371.830444,-297.244934,99.525543,427.917206,-244.659119,79.479637,296.529877,130.265533,588.08728,380.084106,158.215042,103.295876,435.384766,99.658401,83.140984,289.932037,-166.889008,550.671204,346.400208,-211.993896,112.399193,251.443329,-322.927155,53.833385,211.79985,-240.660095,63.104019,260.862335,183.548492,55.803604,218.479462,102.769531,64.919067,363.867737,72.894295,109.866753,313.560883,24.238964,557.678833
5,0,218.797852,-186.046585,1097.706055,220.621552,57.548233,1105.30957,399.052704,-107.269836,1128.918823,397.512054,-23.153025,1130.648926,297.102386,-271.496552,561.71283,371.834686,-297.255798,99.580101,427.889008,-244.643723,79.477089,296.484009,130.257278,588.090515,380.126648,158.169159,103.278534,435.308289,99.631508,83.15731,289.85257,-166.84343,550.735779,346.37207,-211.985306,112.421318,251.420197,-322.943939,53.847874,211.805267,-240.659348,63.127533,260.827087,183.524628,55.841007,218.489685,102.753334,64.885178,363.860657,72.893311,109.862175,313.461487,24.179022,557.64563
6,0,218.665833,-186.160828,1097.719482,220.771698,57.591831,1105.230835,399.112579,-107.299911,1128.935425,397.592316,-23.179571,1130.661255,297.076508,-271.498352,561.697937,371.853363,-297.258362,99.556396,427.902832,-244.619812,79.505173,296.389221,130.254028,588.104614,380.075043,158.197372,103.324028,435.326508,99.631645,83.123894,289.796661,-166.816452,550.733643,346.309692,-211.986328,112.529846,251.425598,-322.931366,53.81588,211.810303,-240.667374,63.103622,260.85611,183.518524,55.819378,218.462494,102.832893,64.988541,363.880402,72.883789,109.847702,313.388031,24.152857,557.632996
7,0,218.692719,-186.099808,1097.72522,220.879166,57.670429,1105.197754,399.121765,-107.296364,1128.977173,397.618042,-23.216175,1130.693115,297.047729,-271.488159,561.69104,371.807404,-297.282684,99.585526,427.864685,-244.603836,79.514679,296.322632,130.274857,588.072571,380.104858,158.168228,103.296257,435.072449,99.485085,83.059486,289.728302,-166.752014,550.787476,346.316498,-211.998611,112.544243,251.471283,-322.936371,53.801571,211.803116,-240.68132,63.106781,260.83139,183.676727,56.061966,218.453735,102.766289,64.885147,363.779419,72.854439,109.854103,313.283997,24.138622,557.684814
8,0,218.679901,-186.044998,1097.694458,220.975464,57.761902,1105.157593,399.121948,-107.272247,1129.079346,397.704498,-23.180677,1130.811646,297.017639,-271.464783,561.707092,371.764618,-297.281555,99.602158,427.891724,-244.591492,79.565086,296.170685,130.336685,588.106506,380.12619,158.158676,103.260132,435.302429,99.598328,83.084648,289.741486,-166.750336,550.74707,346.32785,-211.974625,112.53009,251.473404,-322.923492,53.804585,211.792633,-240.666351,63.111431,260.79187,183.700485,56.094494,218.458527,102.837898,64.990173,363.871002,72.91423,109.838715,313.153748,24.132975,557.681763
9,0,218.873993,-185.853409,1097.67334,221.069626,57.831795,1105.108398,399.125122,-107.265747,1129.143555,397.668793,-23.187378,1130.862183,296.962189,-271.437317,561.709412,371.788147,-297.244751,99.628593,427.833527,-244.559174,79.528618,296.05722,130.328888,588.085327,380.121887,158.156113,103.286186,435.042664,99.479263,83.040237,289.689423,-166.754868,550.723633,346.306885,-211.973526,112.555695,251.622192,-322.866425,53.692085,211.783752,-240.671234,63.143215,260.838776,183.56488,55.908916,218.480057,102.793114,64.874954,363.791779,72.884407,109.842476,312.949371,24.149309,557.697205
10,0,218.856079,-185.774948,1097.598022,221.148911,57.880817,1105.08606,399.133972,-107.240372,1129.183228,397.735016,-23.158604,1130.947144,296.95285,-271.412384,561.709351,371.755127,-297.285706,99.650566,427.875854,-244.565277,79.608849,295.948639,130.346375,588.072388,380.151825,158.071411,103.201912,435.220612,99.599678,83.080757,289.861511,-166.908875,550.580872,346.314392,-211.968521,112.511551,251.606262,-322.874786,53.702202,211.812683,-240.668716,63.112423,260.810272,183.57962,55.906811,218.421722,102.849014,64.989693,363.826111,72.885399,109.826912,312.790863,24.192566,557.694946
11,0,218.721191,-185.723633,1097.545898,221.220627,57.976006,1105.104736,399.085114,-107.195938,1129.268921,397.731232,-23.131601,1131.050293,296.94635,-271.36319,561.662109,371.7229,-297.299652,99.633736,427.851807,-244.564301,79.563614,295.8909,130.355972,588.090637,380.131409,158.06044,103.195038,435.019806,99.460213,83.049812,289.844147,-166.837326,550.534546,346.33847,-211.956375,112.534042,251.616653,-322.897766,53.700546,211.793808,-240.684845,63.102314,260.784515,183.690491,56.152454,218.463074,102.804756,64.888206,363.570496,72.56723,110.037552,312.565094,24.220825,557.657715
12,0,218.726334,-185.58403,1097.558228,221.283096,58.073429,1105.101562,399.028931,-107.17836,1129.287231,397.774963,-23.104116,1131.058716,296.940155,-271.325439,561.656311,371.733887,-297.326691,99.641495,427.79715,-244.538361,79.494576,295.7612,130.411255,588.10968,380.145782,158.134857,103.310478,435.001312,99.454994,83.024925,289.834534,-166.803207,550.544861,346.282623,-211.964035,112.582703,251.612869,-322.899323,53.677052,211.809708,-240.6586,63.127628,260.829193,183.562393,55.947102,218.420441,102.775017,64.895508,363.490173,72.49086,110.033623,312.491974,24.36134,557.746155
13,0,218.641205,-185.44429,1097.514038,221.349182,58.214996,1105.128906,398.9841,-107.095703,1129.342285,397.710938,-23.019241,1131.19458,296.8797,-271.254578,561.643982,371.738586,-297.319672,99.678131,427.786713,-244.474167,79.568542,295.649689,130.488297,588.125854,380.146912,158.059433,103.217155,435.001404,99.47934,83.055946,289.864288,-166.691711,550.50116,346.347778,-211.95224,112.52655,251.639221,-322.884705,53.677898,211.842133,-240.656357,63.097195,260.783356,183.691254,56.155849,218.433655,102.795586,64.863091,363.773407,72.878998,109.83387,312.294434,24.407497,557.734741
