,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,260.032349,-200.075562,1100.293945,258.206543,45.166683,1103.099487,439.690796,-118.332336,1122.963257,437.982117,-33.64867,1122.251953,287.939148,-293.912109,562.76709,372.152161,-305.547424,98.056549,426.546844,-251.51593,78.561882,276.667297,126.375557,590.645752,378.590576,159.352737,102.782883,434.154449,100.93766,82.145622,261.997192,-190.203491,552.640015,343.468567,-223.151337,113.471924,249.923401,-330.344727,51.560162,213.20282,-247.379623,64.821312,259.718445,184.954239,55.20982,219.12973,103.482063,64.76619,360.481262,73.958954,109.326088,280.239899,20.077755,556.186462
2,0,259.813507,-200.073975,1100.386108,257.833221,45.052181,1103.285645,439.301178,-118.445839,1123.020386,437.274872,-33.971695,1122.308105,288.218811,-293.871704,562.86145,372.178711,-305.56424,98.077232,426.586578,-251.473663,78.611137,276.995026,126.138527,590.681885,378.617798,159.331192,102.791374,434.164032,100.927673,82.15995,262.308075,-190.147675,552.68927,343.493042,-223.138321,113.487419,249.915756,-330.350555,51.554123,213.259933,-247.420181,64.669548,259.624054,185.10144,55.427254,219.117935,103.524399,64.801552,360.879425,74.356689,109.00666,280.585388,19.924366,556.223511
3,0,259.217896,-200.096848,1100.759766,257.479431,45.000607,1103.490967,439.002502,-118.499481,1123.080933,436.941437,-34.100883,1122.317627,288.328247,-294.233185,563.197205,372.20166,-305.55249,98.077545,426.596436,-251.517319,78.574547,277.347778,125.901062,590.73822,378.639008,159.312698,102.824951,434.162415,100.901085,82.182838,262.65686,-190.086624,552.736389,343.510864,-223.116196,113.526352,249.908463,-330.380127,51.562748,213.26506,-247.419189,64.655777,259.61676,185.104935,55.442345,219.080093,103.548485,64.803551,360.858185,74.341843,109.027176,280.900085,19.753435,556.236084
4,0,258.684875,-200.166763,1100.881958,257.111847,44.987629,1103.729492,438.526978,-118.703049,1123.099121,436.770935,-34.208992,1122.281738,288.562134,-294.165222,563.223511,372.208832,-305.573578,98.105583,426.571442,-251.509247,78.602745,277.237122,126.138153,590.945618,378.629181,159.310257,102.89135,434.155731,100.88887,82.173569,263.015533,-189.969666,552.783997,343.474487,-223.134796,113.564049,249.839554,-330.308899,51.699184,213.17836,-247.372711,64.832603,259.612396,184.97084,55.259441,219.11705,103.520401,64.774696,360.859833,74.310745,109.061691,281.229553,19.60865,556.263977
5,0,258.044037,-200.192856,1101.333252,256.748657,44.980682,1103.9729,438.090912,-118.85125,1123.115479,436.303467,-34.15501,1121.857788,288.806274,-294.064575,563.30304,372.261261,-305.581604,98.100632,426.60614,-251.519501,78.584595,278.41748,125.00444,590.542847,378.656677,159.266602,102.868401,433.921356,100.734001,82.096718,263.355988,-189.834488,552.837402,343.48053,-223.186203,113.599937,249.934845,-330.406769,51.534931,213.221008,-247.455505,64.648552,259.610413,184.923462,55.328041,219.169632,103.476013,64.783752,360.848114,74.268234,109.063484,281.557373,19.476406,556.303833
6,0,257.486359,-200.093048,1101.724121,256.44873,45.04007,1104.19519,437.537842,-118.977859,1123.143677,435.997711,-34.237488,1121.862183,289.061615,-293.878418,563.366577,372.251556,-305.585876,98.124893,426.589508,-251.502716,78.588051,278.704956,124.872307,590.638123,378.698181,159.230728,102.876648,433.899384,100.707664,82.126625,263.692932,-189.639954,552.889893,343.619598,-223.110352,113.535721,249.911652,-330.381622,51.539783,213.228363,-247.460419,64.691368,259.63797,185.065659,55.538998,219.129669,103.506134,64.815186,360.870728,74.225449,109.045128,281.903931,19.344383,556.380737
7,0,256.921997,-200.079117,1101.924438,256.123138,45.128151,1104.442871,437.034943,-119.100677,1123.118286,435.492889,-34.338585,1121.888672,289.231171,-293.73233,563.41217,372.22818,-305.569427,98.121399,426.622528,-251.532288,78.594582,279.050812,124.757637,590.732544,378.706879,159.220764,102.933807,434.090668,100.7491,82.197372,264.003113,-189.462372,552.933105,343.650909,-223.139557,113.478729,249.878311,-330.375,51.549118,213.196198,-247.444489,64.716293,259.635101,184.937637,55.382801,219.039917,103.512634,64.800262,360.560913,73.864578,109.318741,282.24881,19.274536,556.615845
8,0,256.249603,-200.030777,1102.162476,255.78746,45.223316,1104.687378,436.530426,-119.193573,1123.077148,435.097809,-34.466042,1121.859253,289.413269,-293.530151,563.515991,372.18277,-305.552734,98.146904,426.565125,-251.432358,78.672318,279.051056,125.0401,591.061768,378.703094,159.209686,102.981529,433.897858,100.633224,82.161034,264.310455,-189.261383,552.998657,343.583862,-223.074539,113.582733,249.810211,-330.306274,51.705387,213.107513,-247.400497,64.869812,259.600861,185.039078,55.554127,219.113388,103.496948,64.796364,360.867249,74.164795,109.067123,282.635956,19.150684,556.680176
9,0,255.605759,-199.994461,1102.395508,255.453018,45.344078,1104.953369,435.754639,-119.432091,1122.994751,434.642853,-34.702381,1122.062622,289.692291,-293.258942,563.558472,372.213043,-305.516846,98.158997,426.592987,-251.525406,78.608902,279.333679,124.938179,591.107727,378.768036,159.100311,102.901512,433.851166,100.573601,82.143974,264.637177,-189.065384,553.035034,343.719971,-223.033157,113.524559,249.869354,-330.347382,51.583714,213.116043,-247.413025,64.860565,259.634125,184.909805,55.381382,219.281052,103.456215,64.725647,360.843201,74.143402,109.092667,282.960999,19.060518,556.705566
10,0,255.163467,-199.773102,1102.634399,255.128738,45.474689,1105.192627,435.255432,-119.528511,1122.974609,434.216827,-34.657303,1121.710815,289.953552,-292.989716,563.577698,372.169922,-305.51413,98.14119,426.57608,-251.519501,78.637947,279.604156,124.82814,591.185547,378.735596,159.133942,102.979355,433.821533,100.547165,82.136902,264.975067,-188.809891,553.07373,343.632568,-222.997192,113.560394,249.857834,-330.345184,51.577831,213.095413,-247.399582,64.875687,259.556061,184.88945,55.370148,219.05925,103.53299,64.800751,360.592072,73.809135,109.32045,283.235535,18.987249,556.764526
