,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,249.587631,-208.436539,1101.046143,258.439392,36.465359,1105.701538,432.61499,-133.940079,1130.891724,434.044769,-50.249287,1131.586304,288.277466,-282.333405,562.601257,370.367706,-287.225189,98.721176,422.513092,-230.229538,79.139557,313.5112,114.951851,589.567932,389.828308,165.164917,120.088402,429.011841,92.022568,82.156059,272.938141,-176.492676,554.751709,339.546478,-204.413116,111.923103,252.821564,-319.892639,55.416542,206.711533,-241.168793,62.230507,256.153931,181.519989,55.900089,211.683548,101.914436,64.379257,370.005981,46.235039,117.7258,326.195831,9.104346,557.866272
2,0,249.534485,-208.349838,1101.079224,258.15979,36.783779,1105.807739,432.510559,-133.877945,1130.868774,433.967194,-50.164211,1131.589478,288.152008,-282.323303,562.500305,370.372711,-287.21756,98.714615,422.644592,-230.346848,79.167435,313.417877,115.008881,589.570251,389.800629,165.183624,120.093224,429.037109,92.03228,82.166321,273.027893,-176.641373,554.859314,339.486511,-204.437576,111.930626,252.812469,-319.859711,55.441727,206.710541,-241.158524,62.221043,256.136505,181.516968,55.916611,211.710876,101.913788,64.389236,370.021057,46.258484,117.674965,326.119232,9.132808,557.901917
3,0,249.439087,-208.31575,1101.04187,258.024536,36.836731,1105.832031,432.407379,-133.810455,1130.897949,433.813019,-50.183758,1131.585449,288.164703,-282.284943,562.477173,370.376404,-287.194885,98.704765,422.58371,-230.174271,79.205864,313.341278,115.019897,589.558655,389.784241,165.155411,120.068909,428.993591,92.005478,82.129532,272.848572,-176.437012,554.73999,339.514191,-204.399124,111.922752,252.822525,-319.893036,55.422802,206.688675,-241.160782,62.230244,256.128479,181.508896,55.900982,211.777954,101.974091,64.475807,369.994019,46.241055,117.686089,326.058044,9.180424,557.893982
4,0,249.337555,-208.279099,1101.023193,258.125702,36.605289,1105.699219,432.325317,-133.779709,1130.918823,433.727753,-50.10743,1131.596802,288.154633,-282.253876,562.503052,370.383545,-287.195251,98.735222,422.591766,-230.33699,79.17144,313.260956,115.056999,589.579529,389.775177,165.151108,120.077942,429.032196,92.0224,82.139389,272.896088,-176.386002,554.742126,339.508057,-204.431793,111.919235,252.816971,-319.884552,55.430489,206.701385,-241.141937,62.235142,256.130798,181.522156,55.907867,211.769989,101.990173,64.461563,370.000732,46.259037,117.742638,325.957367,9.19951,557.873962
5,0,249.284805,-208.223816,1101.029541,257.999847,36.608002,1105.695801,432.278931,-133.702942,1130.944702,433.596466,-50.094215,1131.658325,288.218872,-282.24118,562.499756,370.402039,-287.147705,98.747063,422.61676,-230.310471,79.19146,313.203552,115.036232,589.55896,389.733063,165.246078,120.03772,429.030334,92.02227,82.172119,272.867859,-176.367599,554.748779,339.507172,-204.424835,111.92617,252.826385,-319.877747,55.435112,206.710876,-241.150528,62.237148,256.130859,181.550735,55.951843,211.738861,101.983612,64.469139,369.984467,46.244282,117.698692,325.91864,9.20639,557.86438
6,0,249.230362,-208.192383,1101.044922,257.919037,36.584728,1105.668335,432.166595,-133.675903,1130.964966,433.543091,-49.997803,1131.653809,288.245148,-282.239014,562.504822,370.386719,-287.148499,98.741768,422.590271,-230.27417,79.172813,313.130646,115.021233,589.540649,389.754211,165.177582,120.088875,429.02655,92.042671,82.157242,272.894287,-176.348373,554.74939,339.509338,-204.4133,111.932274,252.817001,-319.878174,55.428043,206.680725,-241.165695,62.248421,256.144531,181.535355,55.948265,211.706161,101.973534,64.491356,369.990204,46.262547,117.724579,325.820526,9.185654,557.915222
7,0,249.189301,-208.170395,1101.001587,257.812012,36.582649,1105.646851,432.120392,-133.617508,1130.979004,433.380981,-49.961456,1131.666504,288.287933,-282.248657,562.517395,370.386871,-287.148071,98.74836,422.645844,-230.273117,79.192528,313.059387,115.040215,589.544739,389.69397,165.255722,120.024719,429.034729,92.067085,82.174438,272.822876,-176.299728,554.763672,339.514923,-204.370026,111.920097,252.840225,-319.878357,55.40836,206.706009,-241.1474,62.236431,256.111969,181.518295,55.938358,211.745758,101.951492,64.438911,369.993256,46.245644,117.70874,325.802795,9.160783,557.903687
8,0,249.165024,-208.164612,1101.024048,257.697388,36.546745,1105.63916,432.060852,-133.552536,1131.028076,433.328339,-49.876587,1131.7229,288.321381,-282.244293,562.512817,370.389954,-287.179565,98.747581,422.663208,-230.238266,79.225685,312.980103,115.029526,589.539856,389.718567,165.156097,120.094696,429.034393,92.028961,82.153824,272.965393,-176.37146,554.762512,339.549408,-204.373856,111.884026,252.843735,-319.876862,55.414154,206.699051,-241.165649,62.24707,256.114563,181.509949,55.954685,211.724274,101.972527,64.459183,370.030029,46.277229,117.68911,325.716309,9.127483,557.892151
9,0,249.156906,-208.150497,1101.042725,257.57901,36.509949,1105.625488,432.041077,-133.471344,1131.017578,433.234741,-49.842003,1131.720459,288.312592,-282.255432,562.520935,370.410309,-287.158539,98.740158,422.6091,-230.278244,79.166542,312.886536,114.959213,589.490845,389.568604,165.038834,120.058334,429.058044,92.066559,82.199646,272.797485,-176.292206,554.825256,339.490662,-204.412903,111.945335,252.837357,-319.900787,55.422256,206.705429,-241.165924,62.240864,256.120056,181.519287,55.941872,211.733841,101.941559,64.454079,370.009735,46.252888,117.72155,325.682587,9.154361,557.866943
10,0,249.173782,-208.175095,1101.052979,257.503448,36.485004,1105.594116,432.007996,-133.430771,1131.029419,433.150574,-49.785469,1131.720703,288.342957,-282.240173,562.54303,370.434357,-287.15332,98.748253,422.56366,-230.267609,79.177521,312.807922,114.999397,589.496826,389.543152,165.044983,120.048988,429.058319,92.072792,82.174889,272.901947,-176.373825,554.792053,339.515289,-204.439011,111.935104,252.83844,-319.902679,55.411339,206.711517,-241.124161,62.279305,256.103302,181.490265,55.9562,211.722702,101.944626,64.425293,369.988403,46.246132,117.670639,325.629944,9.152539,557.839722
