,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,252.088455,-194.058731,1104.366333,260.194031,53.925274,1109.241333,434.472198,-118.139847,1129.063599,435.913452,-33.283504,1129.666748,304.327087,-275.836609,564.517639,373.390656,-301.245056,99.738327,431.524841,-250.404984,78.025932,310.354614,123.842865,592.091248,383.36438,174.214722,120.741371,431.363861,102.384827,82.303001,297.486206,-171.404541,553.365295,351.646637,-215.147522,111.101776,252.178909,-322.781799,54.915508,214.887939,-240.640045,62.684029,254.292221,179.798843,56.286552,214.941742,98.17868,64.877808,373.716827,53.779716,118.858871,325.147339,19.186617,560.19751
2,0,252.150558,-194.082291,1104.372803,260.221832,53.909374,1109.216553,434.571686,-118.084572,1129.134766,436.068665,-33.226845,1129.69458,304.239685,-275.858459,564.600159,373.416565,-301.240814,99.765488,431.506958,-250.396454,78.023788,310.455872,123.853111,592.085022,383.381317,174.218506,120.738922,431.356995,102.397057,82.273781,297.501801,-171.394562,553.368164,351.613525,-215.161957,111.117332,252.182068,-322.760956,54.931774,214.884125,-240.672089,62.657356,254.193695,179.814133,56.320744,214.942383,98.201973,64.892365,373.698761,53.794762,118.849686,325.162476,19.161827,560.193665
3,0,252.231064,-194.06163,1104.365112,260.301514,53.913799,1109.187256,434.617828,-118.086174,1129.259155,436.109528,-33.212265,1129.750732,304.380096,-275.859741,564.523682,373.400452,-301.232056,99.737206,431.525696,-250.413116,78.020821,310.5401,123.876099,592.074951,383.376892,174.203232,120.751152,431.413177,102.403091,82.300682,297.503387,-171.414062,553.382324,351.684387,-215.118774,111.102402,252.176254,-322.785431,54.94516,214.864395,-240.676178,62.70171,254.304611,179.790329,56.266659,214.94429,98.145828,64.886574,373.735291,53.769947,118.844513,325.442291,19.390226,560.191467
4,0,252.270935,-194.06134,1104.328247,260.363007,53.922367,1109.160034,434.643188,-118.091972,1129.21814,436.035461,-33.245056,1129.82312,304.298523,-275.867615,564.592896,373.396332,-301.241882,99.76532,431.453583,-250.378342,77.995087,310.614044,123.885811,592.063416,383.397125,174.206238,120.758064,431.386444,102.382652,82.251945,297.54776,-171.403763,553.399109,351.640289,-215.127457,111.105125,252.210403,-322.803833,54.91885,214.878143,-240.666672,62.698631,254.2164,179.826096,56.338814,214.959137,98.158623,64.856117,373.719299,53.744907,118.851471,325.351471,19.210783,560.180542
5,0,252.295853,-194.041382,1104.289185,260.431213,53.948681,1109.137939,434.601349,-118.153404,1129.281128,436.075562,-33.271061,1129.849243,304.304901,-275.876892,564.57666,373.392303,-301.255127,99.753258,431.500031,-250.399292,78.031006,310.704041,123.872276,592.050598,383.421814,174.208115,120.746246,431.389862,102.384956,82.248611,297.580475,-171.37677,553.390747,351.644196,-215.134705,111.135292,252.198898,-322.809998,54.923904,214.894089,-240.674927,62.711678,254.215775,179.827881,56.332565,214.9776,98.160599,64.867249,373.723877,53.771141,118.854416,325.423492,19.201727,560.167419
6,0,252.334442,-194.003967,1104.262085,260.476227,53.982311,1109.105469,434.714661,-118.118416,1129.405884,436.138123,-33.289768,1129.926636,304.441376,-275.845001,564.536072,373.42807,-301.256592,99.762604,431.490234,-250.379715,78.0429,310.78183,123.896942,592.056152,383.434601,174.203827,120.739006,431.410583,102.40242,82.2537,297.59436,-171.389084,553.430359,351.691742,-215.14949,111.101883,252.209015,-322.800171,54.928738,214.90506,-240.659943,62.715225,254.312454,179.821793,56.264717,214.941772,98.170441,64.917336,373.768066,53.780346,118.81958,325.660522,19.412977,560.123352
7,0,252.362015,-193.994781,1104.256836,260.540344,53.986843,1109.088013,434.683411,-118.151886,1129.399658,436.172394,-33.287743,1130.01355,304.432098,-275.843689,564.549744,373.416534,-301.252258,99.755127,431.49292,-250.362991,78.040649,310.837494,123.888412,592.045959,383.430267,174.187531,120.740631,431.382843,102.383614,82.260292,297.631012,-171.381271,553.434998,351.657227,-215.183899,111.121185,252.16925,-322.773102,54.943607,214.866318,-240.679596,62.71246,254.226807,179.830002,56.322025,214.957886,98.143372,64.869385,373.773315,53.766094,118.844803,325.727692,19.389965,560.148193
8,0,252.354477,-193.95668,1104.235229,260.619019,53.996014,1109.049927,434.735474,-118.17347,1129.468872,436.134857,-33.302612,1129.979492,304.39621,-275.849701,564.575623,373.405487,-301.251587,99.75724,431.458527,-250.402176,78.013947,310.898529,123.890953,592.058105,383.448425,174.169403,120.70993,431.415192,102.372543,82.239128,297.695923,-171.410477,553.422852,351.679657,-215.190323,111.084961,252.169128,-322.777771,54.941254,214.901093,-240.66597,62.715069,254.314804,179.794815,56.269936,214.942215,98.17337,64.890015,373.760437,53.755177,118.897263,325.572754,19.245226,560.163208
9,0,252.328033,-193.929077,1104.230225,260.678864,54.047153,1109.03186,434.705048,-118.204559,1129.541626,436.199982,-33.343239,1130.106201,304.49649,-275.82782,564.54541,373.390839,-301.275604,99.764069,431.461426,-250.35054,78.013084,310.942963,123.927681,592.059265,383.459351,174.159897,120.73587,431.394897,102.386635,82.239594,297.75061,-171.403854,553.4505,351.862854,-215.412628,111.003418,252.213867,-322.820923,54.920185,214.896759,-240.685272,62.695911,254.298035,179.807266,56.254993,214.95015,98.197449,64.90493,373.785065,53.799652,118.836876,325.784882,19.412806,560.173706
10,0,252.37027,-193.87027,1104.196777,260.748688,54.099045,1109.007202,434.759003,-118.222191,1129.673706,436.296265,-33.317539,1130.162231,304.499146,-275.818054,564.547485,373.447235,-301.272339,99.795067,431.468872,-250.395142,78.009941,311.00885,123.96312,592.056213,383.471405,174.211533,120.744301,431.393433,102.36187,82.254913,297.84845,-171.374008,553.458984,351.752686,-215.183197,111.086136,252.204712,-322.793945,54.952225,214.902985,-240.671814,62.704987,254.255569,179.837128,56.307446,214.983322,98.184074,64.867302,373.810577,53.811111,118.864716,325.634613,19.250816,560.185791
