,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,233.385727,-208.031815,1102.262329,242.545761,40.3134,1106.818359,414.756561,-132.51001,1129.809937,416.591919,-48.672108,1129.239624,296.72229,-286.612305,563.725586,377.890778,-300.575439,99.08107,433.827332,-246.889603,79.691818,293.326233,112.983482,592.328308,385.555908,170.901443,121.365318,434.105835,99.937927,83.593758,283.996399,-181.350464,554.368958,351.813599,-215.952194,114.739883,256.156921,-324.936829,50.972256,219.136673,-239.874115,63.147148,257.549927,178.863937,55.015129,218.356125,95.992393,64.981819,372.528748,51.017891,116.478577,305.418884,8.451797,557.493958
2,0,233.422653,-208.027832,1102.240479,242.622269,40.305527,1106.818481,414.929779,-132.488831,1129.845825,416.664185,-48.694889,1129.261353,296.740967,-286.605865,563.738037,377.87207,-300.588165,99.079628,433.751709,-246.953888,79.625214,293.281708,112.976318,592.344604,385.532928,170.915176,121.395271,434.094482,99.925278,83.565727,284.087769,-181.370926,554.360046,351.805359,-215.9729,114.73481,256.167847,-324.938354,50.97044,219.156342,-239.855804,63.09914,257.578369,178.857559,54.978752,218.361465,95.977081,64.976974,372.536743,51.027054,116.485428,305.393433,8.439789,557.514648
3,0,233.500977,-208.017029,1102.22876,242.730362,40.314373,1106.834473,414.953064,-132.535919,1129.812012,416.728973,-48.719009,1129.244263,296.759186,-286.587128,563.716064,377.900696,-300.60257,99.071342,433.854614,-246.939774,79.654739,293.276428,113.000694,592.329041,385.529419,170.916519,121.364067,434.117004,99.951828,83.555496,284.145599,-181.324951,554.339478,351.85321,-215.96727,114.672867,256.166534,-324.935333,50.982563,219.162399,-239.867386,63.067101,257.54892,178.852386,55.011124,218.366928,95.953339,64.941696,372.593231,50.995247,116.252487,305.403442,8.472217,557.530396
4,0,233.589844,-207.988785,1102.211548,242.834579,40.326038,1106.841309,415.020966,-132.542023,1129.814453,416.860992,-48.727417,1129.235718,296.814178,-286.544159,563.710754,377.892059,-300.591919,99.061188,433.866486,-246.962128,79.638474,293.272064,113.039452,592.372498,385.530426,170.914261,121.360878,434.08783,99.944031,83.570709,284.190765,-181.246048,554.348816,351.864807,-215.933777,114.677383,256.158508,-324.928131,50.973598,219.191132,-239.835724,63.001068,257.418304,178.78183,54.740009,218.378433,95.96833,64.926643,372.536285,51.046947,116.487068,305.400116,8.470111,557.537292
5,0,233.796249,-207.871567,1102.202515,242.965271,40.348167,1106.849609,415.120789,-132.513702,1129.85022,416.927277,-48.729206,1129.270142,296.812775,-286.508423,563.709229,377.882874,-300.614349,99.070076,433.887512,-246.95874,79.638138,293.288513,113.055222,592.386597,385.552826,170.92569,121.369568,434.116272,99.959831,83.587524,284.213074,-181.173691,554.376831,352.204468,-216.097534,114.319611,256.173676,-324.898987,50.995262,219.188232,-239.832062,63.002117,257.518524,178.840805,54.854954,218.357147,95.997253,64.943993,372.507812,51.039871,116.50927,305.413239,8.520782,557.559204
6,0,233.894135,-207.849792,1102.185547,243.092209,40.355331,1106.868774,415.197693,-132.527695,1129.854248,417.04425,-48.753975,1129.31665,296.823608,-286.468292,563.71936,377.864563,-300.630066,99.070969,433.888763,-246.965027,79.639236,293.348022,113.06263,592.38855,385.552917,170.929977,121.369202,434.089569,99.960083,83.588928,284.445923,-181.305542,554.325012,351.934326,-215.908188,114.727715,256.170288,-324.895966,51.015194,219.203278,-239.815292,62.96043,257.463043,178.783646,54.725201,218.350937,95.968338,64.938049,372.609222,51.005383,116.282516,305.424622,8.533786,557.569214
7,0,233.991577,-207.833618,1102.170166,243.232361,40.362976,1106.878174,415.228058,-132.550903,1129.811401,417.181793,-48.714115,1129.31897,296.83136,-286.447937,563.704041,377.826355,-300.636108,99.071274,434.063934,-247.169525,79.61058,293.381836,113.087067,592.389954,385.538635,170.943176,121.355576,434.074127,99.955757,83.578827,284.277985,-181.071152,554.374634,351.916748,-215.875687,114.727287,256.180603,-324.887146,50.991192,219.206848,-239.81543,62.937611,257.555817,178.860519,54.939545,218.406189,96.003654,64.930611,372.505646,51.054073,116.505905,305.444305,8.572368,557.57489
8,0,234.007538,-207.927292,1102.101196,243.37265,40.352386,1106.875,415.374329,-132.559753,1129.800049,417.312042,-48.699341,1129.34668,296.804932,-286.426941,563.696899,377.82309,-300.624176,99.07431,433.915649,-246.974533,79.584564,293.44458,113.083748,592.387878,385.559052,170.946671,121.354599,434.091827,99.953606,83.56488,284.139008,-180.911636,554.441162,351.919861,-215.875305,114.728455,256.159729,-324.905182,51.02306,219.224854,-239.83255,62.883362,257.564728,178.875534,54.969395,218.323975,95.980026,64.869949,372.563507,51.003536,116.296906,305.45871,8.578406,557.57135
9,0,234.149323,-207.902191,1102.091309,243.501694,40.362659,1106.87854,415.510406,-132.535782,1129.816772,417.438202,-48.680233,1129.355957,297.00296,-286.314026,563.6521,377.790649,-300.628296,99.105148,433.920471,-246.979156,79.58062,293.493835,113.098061,592.419983,385.522675,170.986267,121.34433,434.054016,99.960472,83.5616,284.288391,-181.036209,554.422485,351.957397,-215.892212,114.683891,256.177734,-324.90094,50.985722,219.231979,-239.805649,62.894085,257.567841,178.90567,54.862282,218.347351,95.968819,64.890938,372.529572,51.066902,116.48893,305.489746,8.593998,557.583557
10,0,234.276413,-207.861298,1102.07605,243.661179,40.354771,1106.871948,415.676849,-132.473129,1129.856934,417.686005,-48.678913,1129.383423,296.926727,-286.331177,563.680359,377.782806,-300.632904,99.144585,434.038116,-247.12619,79.565208,293.553711,113.115143,592.431091,385.588776,170.976105,121.369301,434.105896,99.997398,83.534264,284.281372,-180.969803,554.435486,351.969482,-215.833435,114.718079,256.190063,-324.880829,51.009598,219.221451,-239.793213,62.889809,257.625031,178.956543,54.995319,218.401489,95.984856,64.920998,372.587097,51.044067,116.322174,305.555939,8.621463,557.596069
