,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,287.863647,-200.86911,1097.266357,276.436462,42.770626,1103.957275,462.162872,-114.957634,1132.883057,457.018799,-30.362343,1134.515259,306.694214,-290.953949,563.747437,371.803894,-305.45108,97.857605,426.923462,-252.251801,78.516869,305.494537,119.911339,594.493896,388.718842,174.867874,119.498688,436.453003,104.557228,80.739281,284.202301,-185.870193,554.764404,345.628723,-222.561172,114.508575,246.577866,-324.187347,51.830132,213.995865,-241.020584,64.631165,256.105957,179.310913,54.621731,220.759552,94.850616,65.235176,374.840637,54.601887,116.191391,320.29306,15.655441,561.602783
2,0,287.35553,-200.823349,1097.42981,276.066193,42.918148,1104.174561,461.765289,-114.999367,1132.922485,456.656525,-30.323822,1134.533325,306.854919,-290.768219,563.807068,371.827026,-305.397858,97.88475,426.894318,-252.263672,78.529541,305.893585,119.973663,594.502808,388.783539,174.891724,119.488373,436.457581,104.549408,80.754112,284.810974,-185.65181,554.676453,345.643219,-222.525208,114.514755,246.566559,-324.169708,51.855076,213.969772,-240.991272,64.665016,256.108551,179.244461,54.490189,220.755661,94.839355,65.225456,374.871399,54.596706,116.198044,320.618744,15.772722,561.628906
3,0,286.922272,-200.695282,1097.769287,275.765442,42.995426,1104.225342,461.298462,-115.007019,1132.958862,456.274261,-30.277605,1134.490356,307.08313,-290.536743,563.817078,371.809296,-305.378265,97.88205,426.791412,-252.208588,78.402229,306.260773,120.032639,594.530396,388.875305,174.895889,119.508057,436.463074,104.573334,80.761223,284.786316,-185.540634,554.782959,345.985992,-222.728104,114.421707,246.563904,-324.176086,51.874069,213.937897,-240.95047,64.658371,256.109741,179.250031,54.455811,220.771759,94.860092,65.231682,374.91156,54.598557,116.220528,320.94397,15.834631,561.660706
4,0,286.342041,-200.707611,1097.796387,275.429901,43.105362,1104.344849,460.913422,-115.007698,1132.952271,455.915405,-30.270136,1134.418579,307.369171,-290.298035,563.821167,371.780731,-305.352753,97.872543,426.869232,-252.161591,78.386971,306.598267,120.051552,594.526428,388.901245,174.89064,119.457718,436.449036,104.53196,80.751846,285.112946,-185.321182,554.783508,345.673065,-222.380783,114.502808,246.582779,-324.179626,51.855412,213.921494,-240.933685,64.619156,256.114044,179.251495,54.459335,220.744339,94.88768,65.241447,374.978821,54.624252,116.226791,321.176208,15.973937,561.881714
5,0,285.839203,-200.637573,1098.000244,275.097076,43.246403,1104.506836,460.449097,-115.009651,1132.953613,455.308533,-30.387159,1134.313599,307.571075,-290.059387,563.845886,371.807922,-305.304871,97.861557,426.890045,-252.152618,78.349846,306.903412,120.113899,594.580017,388.938416,174.877197,119.465683,436.444458,104.540985,80.723328,285.261322,-185.009933,555.081238,346.078613,-222.549484,114.389603,246.590134,-324.176086,51.849625,213.88446,-240.893219,64.640289,256.123566,179.271118,54.439007,220.747452,94.851189,65.230309,374.973755,54.603436,116.237701,321.419312,15.871003,561.671143
6,0,285.304474,-200.526871,1098.180176,274.687592,43.457195,1104.739136,460.043182,-115.066444,1132.943237,454.939728,-30.433969,1134.262085,307.755005,-289.863495,563.914917,371.785889,-305.253418,97.894653,426.760773,-252.346481,78.251122,307.216461,120.132187,594.58374,389.001007,174.852951,119.457382,436.432434,104.531914,80.759697,285.853699,-184.941498,554.755066,345.79364,-222.269592,114.526985,246.605057,-324.162079,51.85165,213.879715,-240.837311,64.635551,256.110321,179.272964,54.45853,220.725006,94.850204,65.247032,374.990021,54.597317,116.249001,321.57428,15.906362,561.903137
7,0,284.780029,-200.40152,1098.38562,274.316833,43.635189,1105.015625,459.549591,-115.061508,1132.947388,454.577454,-30.412476,1134.226929,307.998779,-289.630585,563.907532,371.758026,-305.225098,97.917351,426.697906,-252.29007,78.272179,307.517609,120.10495,594.598206,389.036957,174.836899,119.468582,436.421722,104.551414,80.766701,286.144165,-184.741425,554.794312,345.78125,-222.203033,114.437576,246.596344,-324.14682,51.870506,213.850403,-240.789352,64.662125,256.105927,179.280945,54.480183,220.686203,94.862701,65.250061,375.02774,54.577225,116.273376,321.925018,15.87059,561.891174
8,0,284.250092,-200.328552,1098.543213,274.024811,43.735191,1105.133667,459.404633,-115.020821,1132.832764,454.248077,-30.373238,1134.225952,308.187592,-289.43222,563.962402,371.746643,-305.222839,97.940445,426.708984,-252.312149,78.228951,307.755219,120.135521,594.609375,389.072418,174.798401,119.449738,436.412598,104.495872,80.772476,286.415192,-184.541275,554.831177,345.838806,-222.176117,114.446976,246.572815,-324.127686,51.852207,213.829865,-240.771301,64.65242,256.107056,179.28331,54.460934,220.686996,94.857269,65.245033,375.024078,54.552715,116.274994,322.109924,15.857311,561.896667
9,0,283.656097,-200.263199,1098.701416,273.832336,43.773582,1105.033569,458.887726,-115.058098,1132.84021,453.839539,-30.422468,1134.184814,308.369812,-289.179474,563.959106,371.68866,-305.440491,98.07444,426.721191,-252.302383,78.240623,307.962067,120.160309,594.624268,389.117554,174.774429,119.457314,436.399475,104.462837,80.745209,286.683258,-184.381363,554.86145,345.866791,-222.132431,114.477539,246.584854,-324.118683,51.827881,213.817123,-240.740265,64.66468,256.133087,179.274826,54.425537,220.664368,94.834602,65.192696,375.085999,54.53849,116.271553,322.41153,15.834394,561.70874
10,0,283.120422,-200.124374,1098.985596,273.526306,43.94046,1105.158691,458.237091,-115.111343,1132.981934,453.617249,-30.366976,1134.145874,308.597687,-289.018188,563.984375,371.689819,-305.410187,98.035667,426.750244,-252.322556,78.201103,308.145294,120.166328,594.609741,389.121368,174.756516,119.455688,436.40332,104.465286,80.791878,286.913757,-184.181595,554.872314,345.680878,-221.976624,114.603699,246.575378,-324.108063,51.828789,213.797394,-240.690048,64.65229,256.130096,179.249207,54.382751,220.649246,94.825508,65.194908,375.016449,54.496609,116.278236,322.500397,15.84524,561.693542
11,0,282.607391,-200.057541,1099.00293,273.022705,44.277832,1105.452881,457.718414,-115.125977,1132.941528,453.354187,-30.379894,1134.071045,308.778046,-288.835724,564.029907,371.756073,-305.164307,97.925011,426.765015,-252.271301,78.238487,308.259705,120.223946,594.62854,389.113159,174.758698,119.498772,436.3927,104.408691,80.753372,287.125305,-184.020767,554.843201,345.751709,-221.916992,114.55793,246.588135,-324.096832,51.863445,213.807922,-240.65593,64.670685,256.12912,179.327393,54.550167,220.702011,94.823746,65.220596,375.026428,54.5042,116.306267,322.451935,15.870624,561.669067
