,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,266.644409,-200.672409,1105.053711,270.173187,45.635727,1106.862183,447.83429,-122.398567,1130.249512,448.035767,-37.367691,1129.28479,313.048004,-282.018158,564.563538,375.845276,-295.672302,97.919128,429.958771,-241.400543,77.749092,312.838318,119.173195,593.854248,386.075989,179.983215,120.108238,437.542389,111.106079,81.862526,296.751129,-177.022598,555.05658,348.553955,-212.37706,113.454445,253.128891,-321.629669,53.177883,215.1353,-239.152573,63.890896,256.681122,181.454224,55.593605,220.970901,98.956451,64.721405,379.699249,59.192249,116.723877,330.207886,17.159193,559.082886
2,0,266.536865,-200.682587,1105.147827,270.152802,45.62719,1106.871704,447.799622,-122.361565,1130.209961,447.997559,-37.368206,1129.233032,313.029205,-281.980774,564.549011,375.770294,-295.708466,97.917595,429.973602,-241.426071,77.738678,312.778046,119.170616,593.837952,386.073425,179.978989,120.094505,437.5625,111.128128,81.882492,296.684235,-177.009094,555.032349,348.591431,-212.319366,113.473412,253.1353,-321.631622,53.167458,215.125961,-239.165588,63.869877,256.662292,181.425613,55.60701,221.008484,98.93618,64.697662,379.703735,59.190407,116.734627,330.020721,16.680229,559.286377
3,0,266.537415,-200.616211,1105.046265,269.890961,45.96883,1106.966064,447.726074,-122.339836,1130.160645,447.920654,-37.352741,1129.220825,312.93277,-281.966675,564.547974,375.778229,-295.663422,98.007355,429.926483,-241.414978,77.720276,312.668823,119.198837,593.820679,386.074005,180.003906,120.098648,437.527496,111.100342,81.859978,296.613678,-176.993378,555.021179,348.519012,-212.378464,113.430389,253.125168,-321.627991,53.169643,215.114716,-239.14595,63.888981,256.71814,181.459747,55.575699,221.019989,98.933243,64.719872,379.7164,59.227558,116.744095,329.904236,16.715981,559.273865
4,0,266.450562,-200.591675,1105.050171,269.879883,45.993805,1106.984985,447.707001,-122.329048,1130.155151,447.888977,-37.346634,1129.191284,312.861969,-281.944672,564.551147,375.821167,-295.677094,97.932823,429.936981,-241.40654,77.742844,312.589905,119.191933,593.813354,386.035767,179.98027,120.078247,437.527039,111.103279,81.864281,296.525421,-176.974197,555.02478,348.456238,-212.418182,113.421066,253.131393,-321.622101,53.159042,215.101685,-239.145172,63.892483,256.68103,181.447739,55.578617,220.961105,98.898277,64.713287,379.699921,59.206081,116.707687,329.753876,16.723783,559.274414
5,0,266.362518,-200.545013,1105.077759,270.075287,45.725151,1106.931641,447.664429,-122.327881,1130.140137,447.852478,-37.320278,1129.145386,312.72934,-281.918243,564.551147,375.779175,-295.674896,97.925491,429.925293,-241.418152,77.760391,312.523529,119.206711,593.810059,386.033936,179.981384,120.08062,437.517151,111.082695,81.895798,296.486298,-176.939545,555.018433,348.55426,-212.321365,113.476654,253.123077,-321.610016,53.172703,215.10022,-239.127548,63.869396,256.645172,181.469925,55.584538,221.004486,98.951668,64.71006,379.654358,59.183632,116.742119,329.622253,16.717306,559.276917
6,0,266.271606,-200.486618,1105.083374,269.88385,46.014133,1107.012817,447.614807,-122.326202,1130.105957,447.860657,-37.319115,1129.163452,312.665649,-281.873505,564.530334,375.78772,-295.647034,97.958542,429.938049,-241.416245,77.768364,312.423096,119.221016,593.817444,386.037415,179.9711,120.110451,437.505066,111.079781,81.89978,296.435303,-176.890106,555.029602,348.497803,-212.343903,113.429863,253.09819,-321.613586,53.192375,215.082794,-239.111038,63.877949,256.69162,181.496048,55.602947,220.97049,98.940994,64.734917,379.658844,59.204472,116.739525,329.495178,16.784843,559.272522
7,0,266.190369,-200.446808,1105.067627,269.934967,46.019279,1107.027222,447.58783,-122.339569,1130.062256,447.838348,-37.352276,1129.091675,312.550079,-281.858246,564.550659,375.758484,-295.66449,97.963562,429.932037,-241.425064,77.774391,312.327606,119.209221,593.808472,385.994751,179.967621,120.070869,437.481873,111.056732,81.872307,296.376862,-176.904297,554.997192,348.621857,-212.166748,113.451706,253.100754,-321.605774,53.174923,215.077621,-239.10701,63.867725,256.668274,181.48909,55.587437,220.980621,98.934288,64.663055,379.620483,59.170338,116.744659,329.38739,16.758348,559.256287
8,0,266.118286,-200.421951,1105.076294,269.978546,46.041855,1107.060547,447.558289,-122.385559,1130.036255,447.892883,-37.387455,1129.040405,312.460907,-281.835907,564.553467,375.732941,-295.699493,97.972366,429.920898,-241.398117,77.774124,312.240997,119.218842,593.788635,386.023834,179.945572,120.074211,437.473145,111.036949,81.886818,296.301666,-176.867081,554.99762,348.434784,-212.470001,113.371185,253.128143,-321.61618,53.170441,215.077393,-239.102203,63.872448,256.655792,181.382095,55.647625,220.981262,98.926964,64.678062,379.623077,59.152378,116.778389,329.30069,16.772682,559.270203
9,0,266.067871,-200.362915,1105.059326,270.089233,46.062088,1107.083374,447.535706,-122.408226,1129.994263,447.913666,-37.433731,1129.011841,312.363739,-281.814484,564.539185,375.717804,-295.678131,97.959091,429.902679,-241.424255,77.786919,312.155365,119.228546,593.787598,386.009827,179.943909,120.082535,437.481934,111.018463,81.912445,296.238129,-176.868866,554.972717,348.465302,-212.393677,113.356606,253.138092,-321.619568,53.137486,215.0755,-239.087326,63.86227,256.67984,181.464157,55.586712,220.984833,98.940437,64.666611,379.590851,59.127613,116.755028,329.187347,16.729383,559.263855
10,0,266.015076,-200.3349,1105.056885,270.118469,46.122753,1107.128906,447.555695,-122.449203,1129.959106,447.834229,-37.546524,1128.914917,312.255341,-281.810272,564.544983,375.749664,-295.647736,98.054062,429.903931,-241.42215,77.782127,312.09259,119.206261,593.795349,386.006622,179.940643,120.091904,437.488556,111.042747,81.930489,296.137848,-176.852966,554.948242,348.551849,-212.277893,113.424309,253.132462,-321.614441,53.166615,215.078217,-239.082596,63.867359,256.672852,181.455933,55.568863,220.955551,98.923203,64.679131,379.559143,59.144791,116.677689,329.064911,16.713316,559.295715
11,0,266.006897,-200.332809,1105.066162,270.205048,46.1507,1107.178833,447.590546,-122.504539,1129.891724,448.026581,-37.518543,1128.903931,312.14151,-281.79007,564.535034,375.735565,-295.615662,98.044167,429.897156,-241.436493,77.788818,311.96521,119.201843,593.804749,386.003021,179.946655,120.086288,437.469452,111.019547,81.940689,296.070587,-176.859207,554.930786,348.462769,-212.390945,113.350067,253.103043,-321.577972,53.175247,215.083542,-239.07814,63.86935,256.692993,181.460632,55.549355,220.976562,98.950562,64.68248,379.569641,59.129257,116.774811,328.958496,16.703156,559.304749
12,0,265.990448,-200.328049,1105.066162,270.287384,46.196144,1107.207642,447.612396,-122.52887,1129.841064,447.932159,-37.681549,1128.767578,312.016907,-281.791412,564.509277,375.652588,-295.679718,97.988602,429.905151,-241.422852,77.791679,311.88913,119.155869,593.789124,385.98526,179.933029,120.081596,437.466675,110.998627,81.926674,295.918152,-176.805084,554.901245,348.472595,-212.29599,113.432053,253.119293,-321.586243,53.175266,215.05658,-239.075653,63.855274,256.654663,181.493332,55.566921,220.982651,98.924232,64.661682,379.535583,59.108448,116.745171,328.850342,16.638401,559.339294
13,0,266.056122,-200.358902,1105.010498,270.329071,46.232414,1107.241699,447.642517,-122.578514,1129.769653,448.014893,-37.68108,1128.686523,311.812439,-281.796906,564.490906,375.649597,-295.658783,97.806442,429.881134,-241.513336,77.797127,311.788177,119.129875,593.797058,385.970795,179.919266,120.094238,437.447906,110.991409,81.910049,296.11142,-177.194016,554.836792,348.506683,-212.297211,113.376457,253.094315,-321.589447,53.179577,215.083771,-239.062607,63.831688,256.689911,181.4814,55.573807,220.952133,98.945152,64.696678,379.544556,59.118092,116.741875,328.791077,16.628586,559.329163
14,0,266.113525,-200.412064,1104.978027,270.392456,46.252102,1107.255615,447.718994,-122.601486,1129.72583,448.011902,-37.759995,1128.648682,311.682007,-281.809479,564.475952,375.679382,-295.607941,97.994591,429.929199,-241.438202,77.863647,311.694794,119.162712,593.771179,385.928192,179.927185,120.077713,437.438599,110.992332,81.892883,295.931061,-177.185501,554.809692,348.443268,-212.29277,113.357155,253.111816,-321.601624,53.160786,215.069122,-239.049942,63.857132,256.763275,181.526947,55.622826,220.987869,98.902542,64.646713,379.556763,59.129433,116.733482,328.757294,16.674753,559.292847
15,0,266.182281,-200.455688,1105.008911,270.451935,46.22216,1107.257935,447.752686,-122.59417,1129.700195,448.088959,-37.740364,1128.645264,311.533752,-281.809448,564.434753,375.615509,-295.66748,97.956833,429.862183,-241.537933,77.876656,311.618164,119.140961,593.763062,385.928925,179.924515,120.068665,437.470673,111.006287,81.931686,295.802948,-177.183197,554.799194,348.456665,-212.341675,113.394958,253.099594,-321.585388,53.157932,215.078033,-239.036606,63.844101,256.613983,181.394623,55.651371,220.9758,98.921669,64.672417,379.528931,59.13298,116.742653,328.739227,16.564199,559.31366
16,0,266.244873,-200.510818,1105.04541,270.425873,46.219242,1107.261108,447.838104,-122.543457,1129.679565,448.121796,-37.713367,1128.623779,311.424896,-281.82312,564.437988,375.616364,-295.654572,97.94783,429.843964,-241.444336,77.83181,311.455811,119.24073,593.901184,385.916901,179.943512,120.06189,437.475159,111.016754,81.926819,295.672943,-177.199356,554.77533,348.479187,-212.312912,113.343178,253.089905,-321.583374,53.155006,215.047058,-239.036591,63.850216,256.640747,181.498703,55.599773,220.949875,98.933754,64.700302,379.540436,59.131283,116.775719,328.769531,16.556725,559.317871
17,0,266.3172,-200.555756,1105.03418,270.43396,46.192585,1107.246338,447.879059,-122.493256,1129.721191,448.169159,-37.615383,1128.688965,311.359924,-281.818787,564.399658,375.637634,-295.638397,97.917404,429.852783,-241.487793,77.823753,311.407776,119.228111,593.89093,385.931427,179.942032,120.062729,437.483337,111.025856,81.928352,295.546875,-177.24765,554.764832,348.476257,-212.178467,113.26033,253.100784,-321.596069,53.17503,215.048309,-239.059525,63.851318,256.660645,181.455215,55.569962,220.946487,98.887611,64.684875,379.556976,59.146996,116.758507,328.784973,16.559284,559.332031
18,0,266.459351,-200.582047,1105.043579,270.448914,46.207699,1107.231201,447.935181,-122.415726,1129.707153,448.150665,-37.549858,1128.704102,311.231476,-281.834351,564.416077,375.587769,-295.656982,97.957466,429.828644,-241.456909,77.86174,311.359314,119.219345,593.905579,385.913757,179.953247,120.060059,437.480499,111.043205,81.912735,295.459564,-177.257904,554.751709,348.522156,-212.164581,113.194641,253.108078,-321.598114,53.152828,215.049149,-239.076599,63.852554,256.656494,181.460831,55.559631,220.985977,98.902328,64.685326,379.550049,59.138901,116.796028,328.788025,16.609262,559.344543
19,0,266.543762,-200.573868,1105.064575,270.4664,46.177082,1107.229248,447.99054,-122.291222,1129.786255,448.24408,-37.378738,1128.754517,311.227081,-281.82724,564.410645,375.650879,-295.613342,98.020279,429.836029,-241.447891,77.848267,311.441956,119.149193,593.764648,385.919342,179.968353,120.099007,437.475159,111.060974,81.912971,295.442169,-177.263214,554.768616,348.466858,-212.207245,113.285416,253.092224,-321.599396,53.163097,215.029739,-239.0439,63.850544,256.65567,181.408447,55.647522,220.99353,98.872726,64.647797,379.552002,59.156986,116.757668,328.839478,16.582561,559.356079
20,0,266.630066,-200.527328,1105.07605,270.44046,46.24559,1107.225708,448.020844,-122.185608,1129.877808,448.205475,-37.34761,1128.857788,311.240082,-281.805054,564.424744,375.58905,-295.660034,97.987595,429.819458,-241.436798,77.858482,311.391296,119.223862,593.894165,385.923279,179.966675,120.063026,437.472931,111.062866,81.905785,295.467529,-177.228058,554.762573,348.354889,-212.379639,113.234978,253.076202,-321.584137,53.168812,215.036072,-239.05246,63.845142,256.765533,181.486145,55.60635,220.969131,98.889771,64.652824,379.556519,59.15234,116.76561,328.915619,16.575245,559.345825
21,0,266.686218,-200.506699,1105.047974,270.437958,46.261929,1107.209595,448.041931,-122.086227,1129.962769,448.174988,-37.220943,1128.956665,311.298096,-281.792084,564.455139,375.609283,-295.657166,97.991371,429.815857,-241.438583,77.839973,311.373657,119.245293,593.901978,385.905212,179.980652,120.097923,437.504242,111.091599,81.925629,295.473511,-177.215057,554.793518,348.46286,-212.266907,113.340668,253.080368,-321.593658,53.15321,215.031784,-239.063629,63.84,256.667969,181.473648,55.57571,220.955215,98.881798,64.687935,379.572998,59.18491,116.775513,329.03067,16.569365,559.346558
22,0,266.759308,-200.420334,1105.061035,270.526428,46.265064,1107.161255,448.032501,-122.012489,1130.067383,448.220673,-37.061142,1129.064941,311.371887,-281.794861,564.472168,375.597473,-295.640045,97.985001,429.841949,-241.440002,77.840378,311.378204,119.266907,593.879395,385.916199,179.970947,120.062714,437.513367,111.087036,81.930954,295.528442,-177.20256,554.785889,348.398499,-212.282364,113.35994,253.076492,-321.61972,53.190498,215.025162,-239.102615,63.864136,256.73938,181.434921,55.707897,220.9711,98.873466,64.659294,379.574677,59.177902,116.766388,329.088745,16.616463,559.330994
