,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,266.433167,-198.837372,1100.134888,269.557617,48.536652,1109.662598,446.234528,-119.287743,1127.450562,446.084015,-35.933388,1128.929932,291.084045,-276.774994,559.627258,373.20282,-279.730133,97.957596,424.070465,-221.196075,78.693916,301.455688,122.919304,593.953308,390.5578,174.276474,119.877747,434.317871,101.698624,81.902786,269.612427,-170.508835,551.088867,339.68927,-198.018265,111.079163,257.57428,-317.887878,54.663143,208.660889,-240.347336,62.16534,259.011414,186.039368,54.977142,218.969803,103.803535,65.822205,370.74115,54.550533,116.75071,310.245026,18.902662,559.409363
2,0,266.572327,-198.718628,1100.13147,269.666534,48.670357,1109.658936,446.364899,-119.137825,1127.487061,446.207611,-35.802395,1128.990479,291.228271,-276.71701,559.652405,373.215942,-279.71228,97.970955,424.136841,-221.202591,78.687637,301.449677,123.017242,593.954712,390.543915,174.290848,119.894569,434.29892,101.682747,81.908653,269.71933,-170.454132,551.087891,339.687927,-197.968384,111.034286,257.589355,-317.89212,54.66103,208.637344,-240.343307,62.174187,259.035278,186.073334,55.005341,219.020767,103.804153,65.822121,370.761932,54.589184,116.797768,310.280212,18.967871,559.410583
3,0,266.7211,-198.595642,1100.156982,269.791534,48.777092,1109.68457,446.546692,-118.947723,1127.499146,446.296509,-35.679615,1128.993896,291.365417,-276.661041,559.724976,373.279846,-279.705719,97.980217,424.025452,-221.248947,78.777008,301.453033,123.08345,593.958557,390.548431,174.306091,119.875931,434.31662,101.620941,82.027023,269.839844,-170.396973,551.080505,339.717194,-197.935074,111.054535,257.549866,-317.903748,54.680447,208.645248,-240.344879,62.187969,258.984375,186.082092,55.038376,219.013397,103.824928,65.806084,370.762695,54.579338,116.769272,310.302734,19.014387,559.451233
4,0,266.905365,-198.488953,1100.115967,269.867065,48.901363,1109.68457,446.666107,-118.820618,1127.516235,446.437225,-35.52,1129.008057,291.474487,-276.609558,559.727661,373.271393,-279.674774,97.980927,424.027191,-221.195328,78.76107,301.432404,123.176659,593.956299,390.52533,174.31813,119.862953,434.309448,101.629845,82.037369,269.926117,-170.340088,551.094971,339.696686,-197.985748,111.006577,257.577423,-317.88736,54.659431,208.664185,-240.36557,62.172554,259.058655,186.047531,54.951439,219.014755,103.816933,65.817253,370.768036,54.597828,116.801567,310.318878,19.079142,559.457153
5,0,267.031799,-198.360519,1100.103638,270.00238,49.045712,1109.692627,446.845917,-118.635559,1127.553833,446.523346,-35.356514,1129.045288,291.618103,-276.547028,559.718689,373.266541,-279.685852,97.980972,424.109436,-221.194809,78.652542,301.431152,123.256523,593.951782,390.543518,174.331604,119.859741,434.331268,101.621185,82.000023,270.054199,-170.265839,551.11377,339.746246,-197.946167,111.052063,257.593079,-317.905518,54.671398,208.651733,-240.351547,62.172722,258.998352,186.086929,55.052933,219.002899,103.830963,65.804962,370.73642,54.606083,116.850349,310.34549,19.146059,559.461731
6,0,267.201874,-198.257187,1100.095093,270.136047,49.139904,1109.691528,447.005066,-118.489365,1127.572021,446.690002,-35.246197,1129.070312,291.746429,-276.45813,559.728577,373.2099,-279.70163,97.962952,424.070404,-221.224274,78.765381,301.422699,123.344963,593.952148,390.549194,174.354507,119.861076,434.29071,101.619797,82.007706,270.154144,-170.191818,551.144775,339.71875,-197.957672,111.033852,257.597412,-317.890747,54.653755,208.650558,-240.350769,62.192566,259.051056,186.086334,55.014935,219.037811,103.785393,65.786301,370.728485,54.600002,116.87822,310.347656,19.233128,559.477844
7,0,267.377289,-198.087799,1100.188599,270.243469,49.248127,1109.692871,447.246368,-118.261192,1127.581421,446.790222,-35.107628,1129.103027,291.781769,-276.422272,559.785339,373.274475,-279.679047,98.000824,424.068542,-221.221085,78.755074,301.397125,123.441277,593.951721,390.513702,174.357391,119.844093,434.309021,101.637688,82.037071,270.232422,-170.151077,551.156677,339.742676,-197.93013,111.066841,257.577301,-317.908447,54.663765,208.648117,-240.348709,62.169205,259.006683,186.048996,54.975632,219.006165,103.824295,65.826561,370.740448,54.615463,116.901131,310.291016,19.312254,559.494019
8,0,267.54303,-198.056107,1100.095215,270.344635,49.347752,1109.683105,447.390533,-118.119965,1127.612183,446.954742,-34.931232,1129.153687,291.877838,-276.362091,559.818115,373.258636,-279.662964,97.994263,424.066956,-221.260483,78.746544,301.366394,123.530502,593.981873,390.524658,174.384018,119.864021,434.326263,101.677994,82.043022,270.291931,-170.120605,551.157959,339.735657,-197.945679,111.034996,257.57901,-317.91156,54.66008,208.661285,-240.357407,62.181232,258.973633,186.079391,55.022861,219.040512,103.805153,65.810539,370.738586,54.60836,116.922638,310.259216,19.371778,559.505432
9,0,267.709625,-197.909973,1100.144531,270.42627,49.43531,1109.666382,447.555847,-117.958992,1127.638794,446.989471,-34.842106,1129.203979,292.051514,-276.29538,559.800659,373.230621,-279.689636,98.00528,424.093048,-221.247757,78.751114,301.350647,123.605858,593.980225,390.511597,174.403778,119.822609,434.295074,101.667549,82.034592,270.13266,-169.940247,551.280762,339.733795,-197.923187,111.070557,257.581848,-317.92218,54.660946,208.654083,-240.359512,62.171288,258.96283,186.061691,54.989815,218.983978,103.816238,65.839699,370.730713,54.638382,116.858521,310.256531,19.437407,559.522034
10,0,267.996399,-197.82988,1100.024536,270.524475,49.533794,1109.664551,447.717651,-117.868912,1127.628174,447.097351,-34.730629,1129.195312,292.163422,-276.266144,559.784973,373.271881,-279.695099,98.011162,424.094666,-221.251022,78.725349,301.343719,123.682907,593.972229,390.503693,174.399796,119.82756,434.309784,101.655174,82.014656,270.207245,-169.90918,551.27771,339.75177,-197.92009,111.049355,257.59726,-317.925507,54.661762,208.649002,-240.362778,62.177799,258.980011,186.087204,54.980717,218.984573,103.78199,65.755325,370.729248,54.632053,116.964912,310.245483,19.491219,559.519287
