0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,r.ASIS_study,,,L.ASIS_study,,,r.PSIS_study,,,L.PSIS_study,,,r_knee_study,,,r_mknee_study,,,r_ankle_study,,,r_mankle_study,,,r_toe_study,,,r_5meta_study,,,r_calc_study,,,L_knee_study,,,L_mknee_study,,,L_ankle_study,,,L_mankle_study,,,L_toe_study,,,L_calc_study,,,L_5meta_study,,,r_shoulder_study,,,L_shoulder_study,,,C7_study,,,r_thigh1_study,,,r_thigh2_study,,,r_thigh3_study,,,L_thigh1_study,,,L_thigh2_study,,,L_thigh3_study,,,r_sh1_study,,,r_sh2_study,,,r_sh3_study,,,L_sh1_study,,,L_sh2_study,,,L_sh3_study,,,RHJC_study,,,LHJC_study,,,r_lelbow_study,,,r_melbow_study,,,r_lwrist_study,,,r_mwrist_study,,,L_lelbow_study,,,L_melbow_study,,,L_lwrist_study,,,L_mwrist_study,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63,
1,0.0000000,2.0152375,0.2891586,1.0461800,2.0228391,0.4420894,0.9619142,2.0417596,0.4923218,0.6922052,1.9837491,0.5380327,0.5019425,2.0330861,0.1332093,0.9606312,2.0405584,0.0963336,0.6864134,1.9504109,0.0849766,0.5011737,2.0246150,0.2941175,0.5615461,2.0132968,0.3994923,0.5411094,1.6560790,0.4412496,0.4232768,1.7124849,0.4555563,0.0752850,2.0132122,0.1920395,0.5291022,1.6655307,0.1333243,0.4152553,1.7106632,0.1377702,0.0690129,1.5579219,0.1428586,0.0249921,1.5862268,0.1007634,0.0189079,1.7497030,0.1444498,0.0219419,1.5617417,0.4694940,0.0303408,1.5998843,0.5131239,0.0250801,1.7528290,0.4504287,0.0265913,1.9755569,0.4301984,0.6408438,1.9873075,0.1543907,0.6109032,2.1694631,0.3546194,0.6221143,2.1744096,0.2457812,0.6093766,1.6471244,0.4895497,0.4688867,1.6415594,0.3777479,0.4414765,1.7016147,0.5051119,0.0707208,1.6869706,0.4130847,0.0581054,1.5593660,0.4646656,0.0244649,1.6061187,0.5293338,0.0327592,1.7697909,0.4582255,0.0343992,1.6913530,0.0840370,0.4449953,1.6566099,0.1933900,0.4451039,1.7240166,0.0642212,0.0778937,1.6816057,0.1540680,0.0816810,1.5668656,0.0910857,0.0630527,1.7816344,0.1247754,0.0409049,1.6333277,0.0249096,0.0613708,1.9581838,0.4416082,1.0497684,2.0012420,0.1534643,1.0301266,2.0447186,0.3037256,1.0679467,1.8542344,0.4730366,0.5860194,1.7763385,0.5002113,0.5430162,1.9280895,0.5001030,0.5222980,1.8976568,0.1100022,0.5692684,1.8264326,0.0788013,0.5181131,1.9644116,0.0867910,0.4802351,1.6400825,0.5112274,0.3480238,1.6286428,0.5243948,0.2328571,1.7034244,0.5240190,0.2419901,1.6844905,0.0653850,0.3326367,1.6699050,0.0476601,0.2273289,1.7413120,0.0508566,0.2295949,2.0489723,0.3790507,0.5442608,2.0557179,0.2122700,0.5257958,2.0533746,0.5396919,0.6873309,2.0857542,0.4771203,0.6771385,1.9493356,0.5117745,0.5075449,2.0086030,0.5336369,0.4767355,2.0261217,0.0548812,0.6761886,2.0603600,0.1123770,0.6671269,1.9252625,0.1069013,0.4949329,1.9680705,0.0838989,0.4624252,
2,0.0166667,2.0156280,0.2890039,1.0461083,2.0227543,0.4417838,0.9619991,2.0410616,0.4923771,0.6926855,1.9830481,0.5383804,0.5021475,2.0337329,0.1334011,0.9605815,2.0402413,0.0963797,0.6864851,1.9508311,0.0849379,0.5008499,2.0236928,0.2940230,0.5615850,2.0125501,0.3995570,0.5415678,1.6557963,0.4411825,0.4235668,1.7116013,0.4560113,0.0755380,2.0131780,0.1920735,0.5297764,1.6657990,0.1334454,0.4149254,1.7105645,0.1380004,0.0685009,1.5576017,0.1430136,0.0250241,1.5861506,0.1004545,0.0186995,1.7493793,0.1441957,0.0217738,1.5617068,0.4696914,0.0304985,1.5995001,0.5133841,0.0253374,1.7522603,0.4507555,0.0269543,1.9753455,0.4271710,0.6429977,1.9824030,0.1515861,0.6074926,2.1678190,0.3590025,0.6149335,2.1711260,0.2504947,0.6000823,1.6712189,0.5048498,0.4591077,1.6576618,0.3987219,0.4454402,1.7165661,0.4887681,0.0779417,1.6943245,0.4029124,0.0768137,1.5779152,0.4622756,0.0305769,1.6263164,0.5185275,0.0328986,1.7782497,0.4329528,0.0530497,1.6850857,0.0939925,0.4454212,1.6548833,0.2059576,0.4442408,1.7265765,0.0881967,0.0729366,1.6878850,0.1799802,0.0733623,1.5777524,0.1130425,0.0408173,1.7840549,0.1496993,0.0394557,1.6353775,0.0535971,0.0457932,1.9693423,0.4297557,1.0365066,2.0051487,0.1367319,1.0219130,2.0643462,0.2953959,1.0568784,1.8807616,0.4709261,0.5910411,1.8033452,0.5044097,0.5394545,1.9392930,0.5023736,0.5067399,1.8973664,0.1146412,0.5755038,1.8223796,0.0854244,0.5224453,1.9574734,0.0893256,0.4795091,1.6622665,0.5165190,0.3386243,1.6501152,0.5198987,0.2266260,1.7212381,0.5204424,0.2384713,1.6793329,0.0804163,0.3301507,1.6678291,0.0708931,0.2223636,1.7373390,0.0634639,0.2294197,2.0502296,0.3805482,0.5458234,2.0540218,0.2136762,0.5242151,2.0459983,0.5383207,0.6906011,2.0799578,0.4721684,0.6723521,1.9393405,0.5145682,0.5016654,2.0017092,0.5393984,0.4800398,2.0351203,0.0547952,0.6825285,2.0640309,0.1217687,0.6694992,1.9198292,0.1066596,0.4970826,1.9728413,0.0879861,0.4706347,
3,0.0333333,2.0159946,0.2888672,1.0460329,2.0226783,0.4415226,0.9620741,2.0404504,0.4924405,0.6931197,1.9824859,0.5386140,0.5022158,2.0343239,0.1335624,0.9604988,2.0399779,0.0964075,0.6865357,1.9511464,0.0849357,0.5005703,2.0228939,0.2939367,0.5615975,2.0119453,0.3995984,0.5419521,1.6555434,0.4411224,0.4238380,1.7108409,0.4563832,0.0757210,2.0131412,0.1921011,0.5303471,1.6660619,0.1335334,0.4146299,1.7104640,0.1382137,0.0680659,1.5573144,0.1431546,0.0250674,1.5860683,0.1001584,0.0185208,1.7490740,0.1439845,0.0216466,1.5616684,0.4698622,0.0306230,1.5991843,0.5136102,0.0255454,1.7517606,0.4510028,0.0272464,1.9764633,0.4302940,0.6423062,1.9796330,0.1508825,0.6140430,2.1716373,0.3557472,0.6121918,2.1731619,0.2462558,0.6003446,1.6712576,0.5049937,0.4465685,1.6561368,0.3952974,0.4382567,1.7188111,0.4883335,0.0700591,1.6946297,0.3997048,0.0713732,1.5824678,0.4635207,0.0262634,1.6323899,0.5203353,0.0283967,1.7809779,0.4280000,0.0457214,1.6821631,0.0852598,0.4363391,1.6557231,0.1990154,0.4301061,1.7248484,0.0873339,0.0657240,1.6904439,0.1809103,0.0636252,1.5816597,0.1166876,0.0239582,1.7828576,0.1486966,0.0345281,1.6361506,0.0604968,0.0326058,1.9755440,0.4331804,1.0282498,2.0040601,0.1311216,1.0171735,2.0711897,0.2931540,1.0507499,1.8846272,0.4720811,0.5909353,1.8058607,0.5058923,0.5329861,1.9402105,0.5050325,0.4940329,1.8910334,0.1104733,0.5792245,1.8165231,0.0790207,0.5221095,1.9532374,0.0836170,0.4799619,1.6635558,0.5165235,0.3258411,1.6525538,0.5204585,0.2154622,1.7244868,0.5208303,0.2272939,1.6766989,0.0742163,0.3198377,1.6659693,0.0677765,0.2131900,1.7348764,0.0579808,0.2213781,2.0506900,0.3805593,0.5421675,2.0522481,0.2117155,0.5250183,2.0432694,0.5394237,0.6920980,2.0775651,0.4725183,0.6743048,1.9347612,0.5143703,0.4954956,2.0014643,0.5410929,0.4817200,2.0417456,0.0536541,0.6851533,2.0673876,0.1239736,0.6749240,1.9216508,0.1023030,0.4994556,1.9769492,0.0853166,0.4719687,
4,0.0500000,2.0163221,0.2887638,1.0459497,2.0226253,0.4413407,0.9621295,2.0399894,0.4925203,0.6934722,1.9821812,0.5386376,0.5020316,2.0348134,0.1336671,0.9603575,2.0398043,0.0964056,0.6865469,1.9512664,0.0850107,0.5003715,2.0223255,0.2938645,0.5615607,2.0116051,0.3995973,0.5421940,1.6553501,0.4410782,0.4240679,1.7103065,0.4566063,0.0757789,2.0130985,0.1921168,0.5307262,1.6663125,0.1335584,0.4143958,1.7103569,0.1383945,0.0677729,1.5570829,0.1432688,0.0251271,1.5859713,0.0998864,0.0183933,1.7487993,0.1438489,0.0215971,1.5616179,0.4699816,0.0306903,1.5989907,0.5137716,0.0256685,1.7513913,0.4511112,0.0274135,1.9771926,0.4330938,0.6415587,1.9777323,0.1515492,0.6177215,2.1746689,0.3531693,0.6098519,2.1749916,0.2430079,0.6000021,1.6712983,0.5077191,0.4447264,1.6558691,0.3968644,0.4379131,1.7218947,0.4991418,0.0722182,1.6971511,0.4098121,0.0731875,1.5896055,0.4737718,0.0309136,1.6393191,0.5310990,0.0342686,1.7826107,0.4388137,0.0471431,1.6817637,0.0841636,0.4303934,1.6597598,0.2001831,0.4235852,1.7259814,0.0873864,0.0623914,1.6956641,0.1822300,0.0611687,1.5824966,0.1180218,0.0226018,1.7871433,0.1493518,0.0321160,1.6352329,0.0606977,0.0303310,1.9868674,0.4343044,1.0292730,2.0105346,0.1310603,1.0206175,2.0827674,0.2905825,1.0515748,1.8884643,0.4734781,0.5950089,1.8079764,0.5079534,0.5344884,1.9398894,0.5061375,0.4900129,1.8912723,0.1099399,0.5806022,1.8150593,0.0777739,0.5208135,1.9484578,0.0803738,0.4781426,1.6644018,0.5214918,0.3245946,1.6546108,0.5280821,0.2155789,1.7265331,0.5284815,0.2278530,1.6753701,0.0738697,0.3131107,1.6649116,0.0677018,0.2076022,1.7346341,0.0567991,0.2163853,2.0510303,0.3801098,0.5400269,2.0510847,0.2100628,0.5256178,2.0416736,0.5394274,0.6912592,2.0772663,0.4721215,0.6750695,1.9326802,0.5139630,0.4934969,2.0031101,0.5425246,0.4820451,2.0448885,0.0521176,0.6839979,2.0717860,0.1248341,0.6762017,1.9209844,0.0999590,0.5015114,1.9768974,0.0846230,0.4724395,
5,0.0666667,2.0166093,0.2887017,1.0458535,2.0226101,0.4412534,0.9621583,2.0397081,0.4926233,0.6937269,1.9822073,0.5384018,0.5015364,2.0351793,0.1336999,0.9601465,2.0397397,0.0963697,0.6865077,1.9511427,0.0851877,0.5002738,2.0220517,0.2938071,0.5614615,2.0116023,0.3995419,0.5422539,1.6552362,0.4410565,0.4242393,1.7100572,0.4566480,0.0756818,2.0130484,0.1921180,0.5308655,1.6665472,0.1335043,0.4142340,1.7102372,0.1385344,0.0676609,1.5569205,0.1433472,0.0252040,1.5858551,0.0996471,0.0183264,1.7485577,0.1438051,0.0216543,1.5615493,0.4700319,0.0306885,1.5989482,0.5138491,0.0256908,1.7511927,0.4510521,0.0274251,1.9776229,0.4347175,0.6402314,1.9774308,0.1511691,0.6202895,2.1762180,0.3521114,0.6097357,2.1761962,0.2411093,0.6016208,1.6693733,0.5069904,0.4418332,1.6532145,0.3940905,0.4352495,1.7231773,0.5009337,0.0710567,1.6973891,0.4104007,0.0715096,1.5923465,0.4746042,0.0287453,1.6429172,0.5335808,0.0334653,1.7836634,0.4399010,0.0462673,1.6800068,0.0839989,0.4281447,1.6603937,0.2002329,0.4224030,1.7218638,0.0910609,0.0631617,1.6942847,0.1854171,0.0631794,1.5789418,0.1235273,0.0241241,1.7850874,0.1524015,0.0351186,1.6302993,0.0661616,0.0304082,1.9910087,0.4346335,1.0305627,2.0137332,0.1298897,1.0239889,2.0878499,0.2872554,1.0540696,1.8882986,0.4751525,0.5955197,1.8072026,0.5090769,0.5336439,1.9396788,0.5069235,0.4875251,1.8916162,0.1101431,0.5821660,1.8139265,0.0777225,0.5208130,1.9452832,0.0796208,0.4764975,1.6636208,0.5209700,0.3215568,1.6548035,0.5288061,0.2132314,1.7273138,0.5294965,0.2263201,1.6717312,0.0749691,0.3103068,1.6605706,0.0697952,0.2051398,1.7309090,0.0591954,0.2158028,2.0508767,0.3802277,0.5384316,2.0505156,0.2090457,0.5264897,2.0414073,0.5394015,0.6888526,2.0777191,0.4733306,0.6734066,1.9326228,0.5154386,0.4926786,2.0049152,0.5450525,0.4807640,2.0462971,0.0517394,0.6810649,2.0759342,0.1258810,0.6752959,1.9195867,0.1007010,0.5014136,1.9765973,0.0862594,0.4718902,
6,0.0833333,2.0168693,0.2886809,1.0457390,2.0226487,0.4412536,0.9621577,2.0395995,0.4927524,0.6938871,1.9825757,0.5379162,0.5007462,2.0354263,0.1336598,0.9598728,2.0397839,0.0963041,0.6864171,1.9507801,0.0854693,0.5002786,2.0220816,0.2937613,0.5613000,2.0119432,0.3994306,0.5421290,1.6552090,0.4410616,0.4243432,1.7100964,0.4565154,0.0754313,2.0129920,0.1921055,0.5307661,1.6667621,0.1333725,0.4141392,1.7100992,0.1386330,0.0677364,1.5568295,0.1433858,0.0252935,1.5857211,0.0994471,0.0183164,1.7483420,0.1438498,0.0218338,1.5614600,0.4700053,0.0306207,1.5990534,0.5138384,0.0256202,1.7511764,0.4508344,0.0272814,1.9788313,0.4364306,0.6383108,1.9773144,0.1515805,0.6232311,2.1780573,0.3511868,0.6088147,2.1774228,0.2396519,0.6028205,1.6674871,0.5075359,0.4398529,1.6504025,0.3938631,0.4336370,1.7241038,0.5019933,0.0708247,1.6972243,0.4112153,0.0711597,1.5932777,0.4757841,0.0290269,1.6446801,0.5355056,0.0344545,1.7847607,0.4401514,0.0460414,1.6803099,0.0833939,0.4257850,1.6624935,0.1994391,0.4200817,1.7204645,0.0913329,0.0622512,1.6948362,0.1848843,0.0626426,1.5788378,0.1245142,0.0246067,1.7845618,0.1517218,0.0347453,1.6288377,0.0676814,0.0302399,1.9952645,0.4358992,1.0309098,2.0170086,0.1303770,1.0265790,2.0921876,0.2857265,1.0553803,1.8886809,0.4767651,0.5948514,1.8068047,0.5104261,0.5325086,1.9398087,0.5070402,0.4853728,1.8918291,0.1103816,0.5833655,1.8135829,0.0776248,0.5206694,1.9435083,0.0789830,0.4759433,1.6624058,0.5213404,0.3196117,1.6542327,0.5295785,0.2118207,1.7276540,0.5304089,0.2255173,1.6707813,0.0747122,0.3074729,1.6591644,0.0696236,0.2025270,1.7296744,0.0594630,0.2143727,2.0511378,0.3800040,0.5364928,2.0499986,0.2080570,0.5275736,2.0427610,0.5390844,0.6860479,2.0790620,0.4745801,0.6711524,1.9347780,0.5169578,0.4926181,2.0075071,0.5470573,0.4794751,2.0471248,0.0514753,0.6770868,2.0793120,0.1267200,0.6726842,1.9182046,0.1019030,0.5007131,1.9766181,0.0877639,0.4714072,
7,0.1000000,2.0171262,0.2886944,1.0456035,2.0227590,0.4413155,0.9621280,2.0396282,0.4929023,0.6939687,1.9832301,0.5372489,0.4997509,2.0355818,0.1335596,0.9595610,2.0399174,0.0962204,0.6862829,1.9502365,0.0858328,0.5003691,2.0223675,0.2937214,0.5610908,2.0125639,0.3992734,0.5418537,1.6552627,0.4410944,0.4243810,1.7103722,0.4562527,0.0750628,2.0129319,0.1920840,0.5304774,1.6669494,0.1331817,0.4140939,1.7099395,0.1386965,0.0679744,1.5568022,0.1433863,0.0253859,1.5855762,0.0992922,0.0183476,1.7481395,0.1439615,0.0221333,1.5613514,0.4699056,0.0305045,1.5992711,0.5137506,0.0254855,1.7513226,0.4505031,0.0270142,1.9798525,0.4369688,0.6370331,1.9776089,0.1518099,0.6244144,2.1787873,0.3509830,0.6086928,2.1778076,0.2392835,0.6037810,1.6679944,0.5068482,0.4397410,1.6507110,0.3930659,0.4329609,1.7235323,0.5035440,0.0712403,1.6962745,0.4128705,0.0710361,1.5925354,0.4774304,0.0306954,1.6441428,0.5375533,0.0365169,1.7839048,0.4419266,0.0456733,1.6806057,0.0831949,0.4251098,1.6640872,0.1990695,0.4200563,1.7197525,0.0907929,0.0619690,1.6954199,0.1838125,0.0630074,1.5787512,0.1246368,0.0253068,1.7845535,0.1503191,0.0350674,1.6278359,0.0675596,0.0300539,1.9982782,0.4368372,1.0319470,2.0192278,0.1307926,1.0271802,2.0948439,0.2846420,1.0563750,1.8895397,0.4765130,0.5957357,1.8074933,0.5100508,0.5331940,1.9402146,0.5066298,0.4850909,1.8924486,0.1108935,0.5843063,1.8135989,0.0778793,0.5208945,1.9423744,0.0788431,0.4752348,1.6624727,0.5210622,0.3195617,1.6537191,0.5299406,0.2120728,1.7277308,0.5311266,0.2258905,1.6701279,0.0746739,0.3063211,1.6581309,0.0696150,0.2013415,1.7290711,0.0590135,0.2138652,2.0514902,0.3798781,0.5354903,2.0499149,0.2077212,0.5281093,2.0444573,0.5381051,0.6833043,2.0804507,0.4752898,0.6690531,1.9377238,0.5172124,0.4925739,2.0099873,0.5474624,0.4782921,2.0479819,0.0512867,0.6732490,2.0817838,0.1274355,0.6700706,1.9172368,0.1031308,0.5007396,1.9768291,0.0888998,0.4719438,
8,0.1166667,2.0174076,0.2887314,1.0454493,2.0229590,0.4414024,0.9620721,2.0397457,0.4930573,0.6939896,1.9840532,0.5365135,0.4986985,2.0356856,0.1334230,0.9592495,2.0401069,0.0961349,0.6861206,1.9496115,0.0862339,0.5005150,2.0228160,0.2936829,0.5608609,2.0133407,0.3990916,0.5414918,1.6553814,0.4411528,0.4243643,1.7107885,0.4559307,0.0746390,2.0128719,0.1920610,0.5300850,1.6670946,0.1329638,0.4140768,1.7097605,0.1387346,0.0683249,1.5568239,0.1433561,0.0254687,1.5854316,0.0991878,0.0183984,1.7479379,0.1441052,0.0225294,1.5612295,0.4697473,0.0303681,1.5995412,0.5136095,0.0253293,1.7515823,0.4501297,0.0266816,1.9811782,0.4372835,0.6356630,1.9777809,0.1517730,0.6255610,2.1797664,0.3508622,0.6085557,2.1783050,0.2389667,0.6047133,1.6683787,0.5060198,0.4385597,1.6504911,0.3922231,0.4317653,1.7241651,0.5020667,0.0705237,1.6962720,0.4115708,0.0702943,1.5929877,0.4763999,0.0299999,1.6449447,0.5365683,0.0359432,1.7843931,0.4401645,0.0450282,1.6803955,0.0829590,0.4256225,1.6646115,0.1983715,0.4209207,1.7192076,0.0906483,0.0627339,1.6957021,0.1830768,0.0639719,1.5786818,0.1251051,0.0260268,1.7845477,0.1493054,0.0363133,1.6273112,0.0679371,0.0303791,1.9996241,0.4380363,1.0322890,2.0199338,0.1311257,1.0278813,2.0958490,0.2842283,1.0572120,1.8899247,0.4766762,0.5948588,1.8079858,0.5098316,0.5322506,1.9413506,0.5061288,0.4841058,1.8926756,0.1115870,0.5853658,1.8134481,0.0782626,0.5216991,1.9416304,0.0789082,0.4752540,1.6629606,0.5197740,0.3183374,1.6541101,0.5285316,0.2110110,1.7286310,0.5298945,0.2250322,1.6693784,0.0745199,0.3065448,1.6572807,0.0695991,0.2014101,1.7284143,0.0589471,0.2146304,2.0521645,0.3798622,0.5344693,2.0498886,0.2074947,0.5286523,2.0459922,0.5371086,0.6807774,2.0816462,0.4758040,0.6673608,1.9407111,0.5167446,0.4923981,2.0121459,0.5470889,0.4773509,2.0488152,0.0512042,0.6699958,2.0835681,0.1282274,0.6678642,1.9166293,0.1043079,0.5013146,1.9771832,0.0897524,0.4730766,
