0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,r.ASIS_study,,,L.ASIS_study,,,r.PSIS_study,,,L.PSIS_study,,,r_knee_study,,,r_mknee_study,,,r_ankle_study,,,r_mankle_study,,,r_toe_study,,,r_5meta_study,,,r_calc_study,,,L_knee_study,,,L_mknee_study,,,L_ankle_study,,,L_mankle_study,,,L_toe_study,,,L_calc_study,,,L_5meta_study,,,r_shoulder_study,,,L_shoulder_study,,,C7_study,,,r_thigh1_study,,,r_thigh2_study,,,r_thigh3_study,,,L_thigh1_study,,,L_thigh2_study,,,L_thigh3_study,,,r_sh1_study,,,r_sh2_study,,,r_sh3_study,,,L_sh1_study,,,L_sh2_study,,,L_sh3_study,,,RHJC_study,,,LHJC_study,,,r_lelbow_study,,,r_melbow_study,,,r_lwrist_study,,,r_mwrist_study,,,L_lelbow_study,,,L_melbow_study,,,L_lwrist_study,,,L_mwrist_study,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63,
1,0.0000000,2.0604063,0.9770483,1.3148316,2.0486407,1.1298214,1.2294578,2.0281015,1.2674081,1.0120819,1.9682893,1.1902205,0.8202993,2.0701779,0.8184830,1.2294034,2.0718495,0.6759649,1.0107320,2.0229966,0.7373689,0.8180919,2.0592516,0.9655520,0.7783961,2.0447970,1.0646193,0.7614216,2.0810645,1.0990902,0.4097927,2.0974372,1.1628680,0.0690893,2.0599656,0.8661929,0.7586082,2.0942027,0.8265869,0.4004611,2.1081357,0.7629321,0.0626716,1.9545809,0.7050557,0.0224346,1.9987994,0.6734100,0.0213045,2.1314128,0.7725791,0.0190459,1.9486027,1.2203941,0.0259519,1.9994080,1.2548570,0.0255520,2.1206048,1.1562270,0.0281495,1.9964078,1.0726982,0.8372590,2.0095826,0.8433945,0.8336752,2.1777694,1.0075677,0.8690314,2.1840609,0.9172527,0.8683781,2.0832653,1.1807060,0.4123408,2.0595223,1.0895228,0.4041840,2.1214607,1.2401017,0.0501595,2.0886771,1.1716109,0.0379884,1.9905609,1.2742409,0.0103157,2.0419289,1.3040719,0.0177201,2.1627594,1.1722825,0.0224464,2.0967061,0.7870663,0.4015959,2.0637418,0.8760865,0.3951369,2.1286941,0.7405667,0.0271178,2.0850080,0.8091954,0.0275923,1.9906187,0.7428682,-0.0138920,2.1710320,0.7882030,-0.0013482,2.0443703,0.6998817,-0.0131463,2.0364851,1.0855231,1.2795611,2.0585933,0.8167942,1.2745338,2.1124993,0.9540020,1.3107774,2.0183918,1.1379886,0.6489578,2.0510994,1.1701202,0.5597545,2.1252029,1.1515437,0.6455825,2.0435409,0.8021516,0.6371063,2.0734758,0.7800333,0.5454207,2.1353838,0.7998873,0.6386327,2.0931141,1.2139604,0.2989126,2.0835201,1.2483016,0.1826662,2.1383705,1.2272028,0.2185244,2.1058220,0.7668350,0.2850139,2.0915761,0.7426706,0.1720997,2.1525717,0.7431401,0.1899323,2.0876988,1.0381185,0.7588666,2.0955033,0.8998637,0.7561061,2.0260323,1.3159607,0.9973779,2.0940447,1.2635937,0.9804470,1.9433682,1.1558216,0.8270726,1.9934149,1.2014089,0.7927872,2.0667508,0.6302609,0.9989861,2.1242808,0.6890830,0.9801562,1.9832505,0.7553613,0.8063770,2.0358786,0.7190716,0.7725356,
2,0.0166667,2.0596799,0.9779467,1.3146552,2.0484798,1.1310384,1.2292565,2.0289833,1.2688050,1.0117896,1.9684361,1.1920375,0.8204029,2.0693231,0.8197874,1.2294391,2.0724801,0.6771522,1.0106103,2.0226980,0.7384607,0.8178685,2.0585181,0.9666826,0.7786972,2.0448276,1.0657488,0.7616954,2.0812296,1.0995990,0.4093252,2.0971107,1.1628246,0.0689894,2.0590919,0.8669792,0.7590719,2.0938466,0.8269637,0.4008353,2.1084058,0.7630793,0.0630368,1.9545761,0.7054940,0.0221519,1.9985319,0.6735163,0.0214050,2.1314043,0.7726512,0.0193912,1.9482967,1.2203921,0.0262629,1.9989949,1.2546302,0.0257698,2.1206228,1.1564259,0.0285274,1.9921983,1.0882643,0.8336446,2.0042834,0.8375428,0.8288870,2.1949667,1.0170843,0.8666055,2.1997970,0.9192461,0.8647400,2.0909464,1.1622968,0.4069893,2.0612075,1.0714948,0.4000716,2.1228890,1.2072345,0.0604609,2.0814807,1.1405313,0.0548456,1.9899862,1.2347852,0.0255228,2.0433471,1.2675493,0.0268034,2.1622500,1.1451293,0.0338387,2.0983540,0.7745646,0.4076056,2.0607279,0.8674205,0.3956950,2.1229584,0.7156473,0.0482725,2.0751584,0.7847553,0.0422630,1.9830141,0.7128408,0.0135673,2.1598676,0.7670785,0.0114934,2.0390189,0.6721234,0.0153549,2.0358089,1.1147639,1.2883582,2.0552078,0.8171279,1.2899407,2.1355173,0.9741964,1.3180824,2.0208407,1.1448766,0.6357573,2.0563881,1.1678715,0.5485109,2.1326188,1.1472307,0.6450314,2.0417696,0.7934164,0.6389559,2.0734586,0.7688136,0.5500758,2.1422731,0.7872401,0.6465295,2.0980736,1.1883830,0.3019502,2.0811930,1.2189440,0.1954156,2.1487371,1.1994770,0.2152597,2.1047940,0.7475232,0.3000692,2.0877863,0.7154485,0.1960546,2.1512789,0.7264871,0.2029126,2.0899753,1.0443407,0.7613217,2.0972431,0.8931231,0.7580740,2.0120698,1.3116985,1.0080117,2.0983510,1.2751666,0.9838141,1.9433072,1.1572751,0.8265467,1.9861311,1.2094930,0.7871616,2.0559311,0.6285428,1.0071785,2.1308812,0.6789978,0.9905108,1.9884576,0.7692260,0.8194904,2.0446453,0.7246486,0.7833356,
3,0.0333333,2.0590153,0.9788790,1.3144833,2.0483872,1.1322451,1.2290145,2.0298438,1.2702174,1.0115113,1.9685655,1.1938567,0.8204944,2.0685090,0.8210557,1.2294662,2.0730036,0.6783928,1.0104653,2.0223949,0.7395977,0.8176214,2.0577943,0.9678455,0.7789373,2.0448060,1.0668875,0.7618884,2.0813731,1.1001310,0.4089088,2.0968055,1.1627826,0.0689116,2.0582365,0.8678297,0.7594496,2.0935025,0.8273837,0.4011518,2.1086268,0.7632287,0.0633995,1.9545781,0.7058971,0.0218845,1.9983126,0.6735980,0.0214810,2.1314104,0.7727226,0.0197214,1.9479779,1.2203652,0.0265498,1.9985559,1.2544094,0.0259853,2.1206385,1.1566056,0.0288533,1.9881033,1.0952283,0.8362196,2.0002740,0.8307759,0.8306447,2.1994330,1.0230797,0.8678528,2.2042971,0.9198551,0.8656510,2.0896838,1.1600398,0.4059985,2.0592562,1.0662459,0.3988736,2.1165391,1.1996623,0.0650300,2.0746344,1.1305588,0.0588420,1.9824673,1.2256222,0.0298908,2.0377348,1.2546063,0.0310687,2.1547065,1.1364943,0.0367047,2.0997840,0.7693637,0.4131292,2.0622852,0.8642558,0.3968231,2.1238153,0.7100835,0.0588006,2.0756529,0.7804977,0.0487165,1.9842895,0.6981691,0.0191253,2.1608218,0.7681083,0.0232723,2.0396252,0.6604678,0.0243863,2.0337081,1.1223310,1.3003331,2.0479848,0.8156748,1.2995713,2.1369345,0.9772944,1.3255157,2.0235517,1.1500701,0.6371563,2.0579018,1.1705355,0.5485255,2.1325150,1.1525250,0.6435196,2.0381670,0.7842043,0.6420119,2.0721541,0.7612178,0.5551251,2.1444081,0.7833187,0.6514354,2.0959331,1.1853991,0.3038465,2.0777630,1.2144346,0.2010928,2.1444172,1.1936610,0.2154220,2.1057955,0.7420591,0.3081646,2.0865307,0.7084653,0.2052550,2.1540190,0.7230406,0.2133933,2.0910168,1.0502218,0.7608519,2.0982898,0.8907542,0.7571611,2.0038650,1.3139883,1.0094989,2.0975617,1.2831102,0.9851986,1.9432421,1.1600169,0.8267663,1.9833595,1.2149025,0.7842641,2.0544672,0.6303366,1.0117451,2.1354131,0.6735084,0.9950933,1.9916104,0.7726668,0.8214099,2.0483167,0.7237144,0.7822020,
4,0.0500000,2.0584605,0.9798762,1.3143195,2.0484193,1.1334338,1.2286989,2.0306861,1.2716517,1.0112457,1.9686536,1.1956784,0.8205573,2.0677638,0.8222660,1.2294784,2.0733352,0.6797319,1.0102760,2.0220852,0.7408257,0.8173178,2.0570958,0.9690670,0.7790735,2.0446952,1.0680442,0.7619444,2.0814690,1.1007082,0.4085863,2.0965416,1.1627441,0.0688699,2.0574193,0.8687983,0.7596817,2.0931887,0.8278851,0.4013663,2.1087619,0.7633835,0.0637503,1.9545971,0.7062354,0.0216454,1.9981757,0.6736372,0.0215135,2.1314400,0.7727929,0.0200207,1.9476383,1.2202941,0.0267953,1.9980762,1.2542020,0.0261963,2.1206486,1.1567511,0.0290900,1.9824725,1.1009636,0.8342943,1.9978963,0.8260995,0.8288717,2.2028580,1.0294225,0.8707332,2.2089942,0.9216686,0.8688804,2.0951337,1.1600609,0.4054386,2.0641361,1.0627751,0.3998788,2.1173708,1.2025974,0.0644637,2.0739221,1.1315323,0.0589064,1.9801941,1.2293351,0.0299419,2.0371094,1.2595088,0.0296100,2.1556176,1.1375728,0.0355599,2.1064291,0.7695177,0.4143577,2.0690551,0.8678676,0.3963196,2.1291067,0.7158722,0.0603005,2.0804797,0.7881545,0.0494863,1.9879959,0.7014390,0.0199544,2.1663823,0.7763978,0.0246587,2.0428431,0.6642752,0.0242270,2.0369592,1.1313818,1.3032700,2.0493773,0.8147898,1.3022026,2.1461681,0.9829565,1.3288878,2.0214622,1.1571522,0.6369329,2.0588058,1.1754279,0.5477649,2.1357976,1.1572653,0.6431078,2.0393584,0.7788311,0.6423409,2.0755365,0.7572768,0.5563409,2.1484971,0.7806050,0.6541710,2.1007322,1.1859640,0.3052334,2.0792996,1.2175836,0.2029143,2.1495138,1.1951064,0.2139544,2.1123612,0.7437512,0.3100143,2.0920400,0.7102048,0.2081031,2.1613092,0.7271103,0.2138375,2.0910998,1.0550648,0.7618976,2.1001959,0.8893297,0.7584730,2.0004613,1.3173231,1.0095919,2.0974847,1.2874100,0.9858384,1.9418271,1.1621142,0.8292442,1.9816712,1.2186458,0.7832516,2.0531454,0.6326062,1.0125095,2.1366618,0.6718036,0.9953519,1.9927003,0.7743925,0.8226050,2.0467711,0.7237400,0.7806665,
5,0.0666667,2.0580397,0.9809607,1.3141645,2.0486054,1.1346035,1.2282956,2.0315240,1.2731161,1.0109931,1.9686677,1.1975112,0.8205923,2.0670994,0.8234134,1.2294677,2.0734291,0.6812001,1.0100266,2.0217512,0.7421864,0.8169340,2.0564327,0.9703654,0.7790815,2.0444726,1.0692287,0.7618375,2.0814899,1.1013506,0.4083844,2.0963285,1.1627133,0.0688708,2.0566545,0.8699235,0.7597353,2.0929196,0.8284928,0.4014505,2.1087899,0.7635489,0.0640755,1.9546397,0.7064883,0.0214433,1.9981369,0.6736252,0.0214929,2.1314883,0.7728640,0.0202771,1.9472787,1.2201667,0.0269874,1.9975572,1.2540080,0.0263947,2.1206502,1.1568541,0.0292221,1.9808349,1.1070795,0.8346681,1.9957785,0.8243735,0.8286035,2.2038596,1.0320178,0.8734126,2.2098501,0.9210089,0.8714479,2.0955932,1.1599971,0.4063667,2.0654641,1.0602102,0.4012544,2.1186968,1.2026992,0.0659248,2.0755724,1.1298795,0.0603683,1.9804623,1.2278221,0.0283728,2.0385537,1.2585501,0.0292305,2.1579678,1.1374218,0.0378973,2.1075755,0.7697595,0.4143838,2.0701537,0.8705726,0.3953224,2.1299861,0.7176132,0.0619938,2.0815648,0.7911933,0.0502141,1.9873243,0.7006820,0.0202288,2.1686065,0.7811487,0.0275256,2.0425728,0.6640999,0.0254144,2.0398866,1.1364647,1.3053211,2.0504549,0.8167082,1.3030486,2.1501079,0.9848848,1.3302400,2.0208588,1.1615520,0.6395314,2.0585039,1.1784202,0.5495657,2.1356150,1.1607766,0.6429097,2.0380538,0.7744462,0.6426569,2.0753655,0.7542933,0.5568735,2.1492153,0.7786585,0.6548941,2.1016789,1.1857997,0.3061557,2.0803367,1.2179221,0.2045782,2.1510505,1.1952760,0.2147555,2.1130590,0.7444971,0.3102904,2.0920866,0.7102930,0.2082521,2.1631484,0.7290698,0.2157095,2.0911969,1.0582609,0.7621776,2.1000056,0.8878567,0.7584380,1.9993641,1.3209340,1.0081624,2.0964779,1.2903140,0.9850498,1.9414746,1.1656156,0.8307715,1.9814941,1.2231472,0.7820958,2.0519059,0.6366678,1.0111037,2.1362962,0.6742357,0.9941729,1.9929675,0.7782583,0.8217873,2.0442479,0.7269028,0.7783971,
6,0.0833333,2.0577504,0.9821429,1.3140155,2.0489431,1.1357606,1.2278117,2.0323813,1.2746215,1.0107541,1.9685688,1.1993695,0.8206209,2.0665108,0.8245102,1.2294227,2.0732868,0.6828084,1.0097076,2.0213584,0.7437118,0.8164645,2.0558080,0.9717486,0.7789585,2.0441336,1.0704503,0.7615742,2.0814105,1.1020729,0.4083092,2.0961643,1.1626961,0.0689135,2.0559471,0.8712228,0.7596071,2.0927011,0.8292142,0.4013960,2.1087084,0.7637321,0.0643580,1.9547079,0.7066452,0.0212816,1.9981904,0.6735641,0.0214210,2.1315376,0.7729397,0.0204829,1.9469114,1.2199809,0.0271207,1.9970201,1.2538218,0.0265671,2.1206409,1.1569154,0.0292579,1.9792739,1.1112844,0.8338250,1.9947799,0.8238396,0.8280466,2.2040302,1.0351231,0.8749790,2.2101877,0.9220895,0.8732894,2.0965178,1.1613942,0.4063164,2.0661894,1.0591541,0.4016923,2.1200663,1.2045673,0.0650530,2.0760966,1.1298973,0.0597470,1.9795933,1.2286547,0.0266998,2.0386292,1.2611467,0.0275596,2.1601448,1.1382820,0.0368797,2.1092649,0.7696278,0.4140489,2.0722044,0.8720776,0.3944140,2.1310184,0.7200401,0.0611802,2.0827541,0.7945351,0.0490471,1.9874864,0.7026793,0.0191755,2.1700507,0.7847269,0.0266530,2.0425290,0.6660923,0.0240237,2.0428827,1.1417134,1.3057471,2.0526167,0.8185059,1.3038467,2.1542439,0.9880516,1.3309128,2.0188331,1.1661616,0.6392880,2.0576825,1.1822343,0.5493326,2.1362229,1.1644391,0.6428503,2.0370925,0.7723585,0.6420504,2.0753922,0.7526339,0.5565771,2.1497818,0.7776558,0.6555149,2.1028359,1.1871478,0.3064033,2.0806444,1.2197818,0.2049069,2.1534143,1.1974114,0.2138390,2.1144477,0.7449038,0.3099868,2.0929296,0.7107378,0.2078611,2.1649304,0.7307572,0.2150969,2.0907373,1.0609072,0.7622851,2.0998655,0.8876516,0.7588119,1.9997706,1.3233225,1.0068568,2.0954280,1.2917217,0.9842457,1.9427564,1.1687499,0.8318391,1.9824834,1.2269601,0.7817029,2.0509408,0.6403351,1.0084864,2.1352218,0.6772434,0.9922314,1.9928115,0.7817615,0.8205965,2.0416825,0.7298753,0.7766813,
7,0.1000000,2.0575663,0.9834200,1.3138666,2.0493998,1.1369190,1.2272705,2.0332860,1.2761805,1.0105290,1.9683175,1.2012718,0.8206807,2.0659795,0.8255826,1.2293283,2.0729560,0.6845484,1.0093158,2.0208609,0.7454160,0.8159276,2.0552173,0.9732125,0.7787194,2.0436903,1.0717165,0.7611862,2.0812116,1.1028829,0.4083467,2.0960384,1.1626996,0.0689921,2.0552884,0.8726914,0.7593189,2.0925229,0.8300384,0.4012149,2.1085316,0.7639391,0.0645813,1.9547987,0.7067061,0.0211579,1.9983126,0.6734670,0.0213098,2.1315634,0.7730246,0.0206341,1.9465583,1.2197459,0.0271977,1.9965043,1.2536356,0.0266981,2.1206193,1.1569433,0.0292263,1.9789496,1.1149826,0.8337420,1.9937744,0.8246399,0.8274915,2.2035948,1.0363185,0.8761912,2.2094775,0.9220595,0.8743706,2.0967363,1.1621682,0.4073249,2.0670216,1.0589002,0.4025329,2.1217392,1.2058487,0.0663899,2.0779851,1.1303300,0.0610138,1.9807328,1.2290204,0.0270429,2.0400357,1.2621210,0.0284492,2.1622450,1.1397435,0.0384153,2.1093951,0.7698268,0.4141985,2.0725826,0.8734479,0.3942386,2.1316313,0.7207749,0.0623495,2.0835091,0.7959697,0.0497537,1.9874671,0.7034063,0.0197048,2.1712833,0.7864072,0.0284513,2.0425669,0.6665339,0.0248854,2.0445890,1.1445050,1.3057555,2.0533259,0.8197052,1.3031160,2.1555390,0.9886486,1.3305962,2.0178859,1.1685670,0.6407273,2.0571114,1.1841935,0.5506096,2.1356876,1.1666091,0.6431900,2.0353850,0.7715383,0.6420272,2.0743729,0.7520235,0.5567576,2.1494106,0.7772148,0.6555689,2.1035573,1.1879190,0.3073536,2.0815274,1.2206438,0.2062054,2.1546397,1.1987230,0.2148692,2.1145675,0.7451748,0.3103723,2.0927842,0.7108657,0.2081877,2.1657987,0.7313618,0.2163775,2.0903826,1.0628460,0.7622695,2.0990949,0.8878353,0.7585644,2.0002058,1.3245075,1.0056558,2.0941496,1.2923817,0.9832935,1.9444516,1.1707921,0.8320776,1.9835657,1.2295905,0.7814167,2.0503370,0.6433507,1.0063921,2.1339374,0.6798241,0.9908407,1.9923836,0.7846762,0.8202310,2.0393613,0.7321774,0.7762170,
8,0.1166667,2.0574466,0.9847776,1.3137102,2.0499212,1.1380986,1.2267047,2.0342631,1.2778063,1.0103146,1.9678843,1.2032400,0.8208141,2.0654811,0.8266651,1.2291662,2.0725202,0.6863975,1.0088521,2.0202104,0.7472859,0.8153669,2.0546493,0.9747430,0.7783912,2.0431687,1.0730324,0.7607182,2.0808861,1.1037800,0.4084658,2.0959369,1.1627303,0.0690991,2.0546549,0.8743041,0.7589096,2.0923533,0.8309379,0.4009376,2.1082855,0.7641722,0.0647339,1.9549045,0.7066791,0.0210658,1.9984688,0.6733553,0.0211783,2.1315420,0.7731222,0.0207299,1.9462476,1.2194824,0.0272285,1.9960598,1.2534457,0.0267749,2.1205854,1.1569511,0.0291678,1.9785181,1.1178728,0.8332588,1.9928001,0.8254003,0.8269953,2.2032776,1.0379996,0.8765432,2.2089209,0.9228158,0.8747850,2.0963844,1.1633372,0.4073206,2.0667844,1.0587418,0.4027682,2.1215693,1.2064348,0.0659264,2.0774930,1.1298514,0.0608113,1.9795197,1.2286725,0.0262631,2.0390988,1.2629021,0.0274530,2.1624640,1.1398913,0.0378628,2.1091354,0.7699711,0.4141794,2.0724282,0.8745946,0.3938716,2.1310311,0.7212299,0.0625694,2.0828175,0.7970592,0.0496271,1.9861474,0.7040034,0.0195723,2.1707884,0.7872988,0.0285465,2.0414196,0.6668447,0.0247128,2.0459396,1.1477389,1.3053253,2.0536926,0.8211142,1.3032818,2.1568849,0.9905664,1.3302257,2.0160316,1.1713090,0.6402026,2.0558304,1.1865724,0.5502762,2.1355275,1.1692267,0.6430343,2.0339847,0.7713151,0.6418453,2.0734082,0.7517291,0.5567415,2.1490408,0.7771272,0.6556617,2.1032742,1.1888153,0.3074396,2.0807224,1.2214503,0.2063649,2.1549968,1.1999349,0.2143407,2.1141079,0.7451884,0.3104952,2.0919815,0.7106506,0.2083766,2.1656356,0.7317492,0.2165633,2.0900373,1.0648760,0.7620448,2.0984247,0.8885794,0.7583737,2.0006005,1.3253000,1.0048152,2.0930024,1.2931056,0.9824690,1.9460971,1.1724570,0.8319884,1.9844634,1.2318397,0.7813284,2.0498442,0.6457583,1.0048354,2.1327474,0.6818639,0.9898556,1.9918288,0.7871497,0.8204176,2.0375020,0.7339622,0.7763653,
