0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,r.ASIS_study,,,L.ASIS_study,,,r.PSIS_study,,,L.PSIS_study,,,r_knee_study,,,r_mknee_study,,,r_ankle_study,,,r_mankle_study,,,r_toe_study,,,r_5meta_study,,,r_calc_study,,,L_knee_study,,,L_mknee_study,,,L_ankle_study,,,L_mankle_study,,,L_toe_study,,,L_calc_study,,,L_5meta_study,,,r_shoulder_study,,,L_shoulder_study,,,C7_study,,,r_thigh1_study,,,r_thigh2_study,,,r_thigh3_study,,,L_thigh1_study,,,L_thigh2_study,,,L_thigh3_study,,,r_sh1_study,,,r_sh2_study,,,r_sh3_study,,,L_sh1_study,,,L_sh2_study,,,L_sh3_study,,,RHJC_study,,,LHJC_study,,,r_lelbow_study,,,r_melbow_study,,,r_lwrist_study,,,r_mwrist_study,,,L_lelbow_study,,,L_melbow_study,,,L_lwrist_study,,,L_mwrist_study,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63,
1,0.0000000,1.8322109,0.6066057,1.3154207,1.8228916,0.7584966,1.2309563,1.8222664,0.8072952,0.9702437,1.7632375,0.8120271,0.7561953,1.8605793,0.4493060,1.2211124,1.8577032,0.4118918,0.9528158,1.7882927,0.4051826,0.7416638,1.8258269,0.6034358,0.7895859,1.8147408,0.7021671,0.7775559,1.8424790,0.7431800,0.4123307,1.8750279,0.8003013,0.0631664,1.8438385,0.5014390,0.7617314,1.8583806,0.4809591,0.4082726,1.8814717,0.4458322,0.0667720,1.7352401,0.4395029,0.0320290,1.7685248,0.3910402,0.0285816,1.9037035,0.4520583,0.0288548,1.7272170,0.8263184,0.0312877,1.7734621,0.8666576,0.0285491,1.9050752,0.7984780,0.0228552,1.7602604,0.7126997,0.8561544,1.7799404,0.4782163,0.8389109,1.9450672,0.6468844,0.8795370,1.9539466,0.5543937,0.8735210,1.8395619,0.8181276,0.4245225,1.8202777,0.7220827,0.4139419,1.8959768,0.8732207,0.0564509,1.8662256,0.8000391,0.0427825,1.7673660,0.8814840,0.0102580,1.8159845,0.9209834,0.0189169,1.9425786,0.8148555,0.0308893,1.8575475,0.4521499,0.4072929,1.8293361,0.5461006,0.4075945,1.8940563,0.4254349,0.0337067,1.8544278,0.4987180,0.0392108,1.7596445,0.4567542,-0.0019029,1.9390126,0.4639637,0.0080723,1.8090574,0.4057273,-0.0048883,1.8104912,0.7194505,1.2947921,1.8369062,0.4403367,1.2761359,1.8909408,0.5845987,1.3174892,1.7742012,0.7757905,0.6629725,1.8059815,0.8089903,0.5735505,1.8842703,0.7947467,0.6616628,1.8073021,0.4490221,0.6434529,1.8351627,0.4331006,0.5502977,1.8976021,0.4423612,0.6391868,1.8533075,0.8492269,0.3089599,1.8477454,0.8806328,0.1901582,1.9048384,0.8661615,0.2280054,1.8680700,0.4386719,0.2900786,1.8554632,0.4216950,0.1767587,1.9139808,0.4164783,0.1943591,1.8522018,0.6777610,0.7735584,1.8638563,0.5363859,0.7626448,1.8253443,0.8610514,0.9477514,1.8724866,0.8024671,0.9382653,1.7331373,0.7874211,0.7570885,1.7905012,0.8163214,0.7294270,1.8474522,0.3745754,0.9322881,1.8804230,0.4322163,0.9221991,1.7575222,0.4200133,0.7323766,1.8043759,0.4009964,0.7037474,
2,0.0166667,1.8318026,0.6064265,1.3155748,1.8232148,0.7583041,1.2311637,1.8224366,0.8072067,0.9703505,1.7626166,0.8119840,0.7568609,1.8603738,0.4489844,1.2207329,1.8576827,0.4113915,0.9522917,1.7867676,0.4048405,0.7416421,1.8254684,0.6038261,0.7893571,1.8139120,0.7017123,0.7770822,1.8371304,0.7438094,0.4146490,1.8703427,0.8015933,0.0692534,1.8423076,0.5015153,0.7611567,1.8558810,0.4822746,0.4110146,1.8780708,0.4483312,0.0731082,1.7312778,0.4401786,0.0388225,1.7727837,0.3966228,0.0335615,1.9061016,0.4570221,0.0333320,1.7265335,0.8303782,0.0359082,1.7723062,0.8700004,0.0332018,1.9031485,0.8006938,0.0282046,1.7538032,0.7240104,0.8506474,1.7785396,0.4712136,0.8345601,1.9585963,0.6581704,0.8744444,1.9685243,0.5595510,0.8680845,1.8447771,0.8049747,0.4173772,1.8235828,0.7092948,0.4080803,1.8942117,0.8503209,0.0643497,1.8590983,0.7786187,0.0570770,1.7662364,0.8527186,0.0283286,1.8144400,0.8951544,0.0300173,1.9401923,0.7970448,0.0370501,1.8602403,0.4351680,0.4134775,1.8279254,0.5316000,0.4084844,1.8928006,0.4039189,0.0543248,1.8498364,0.4765798,0.0532535,1.7547388,0.4329073,0.0233123,1.9345686,0.4444681,0.0208707,1.8061979,0.3825677,0.0218164,1.8074866,0.7413048,1.3008037,1.8394715,0.4406945,1.2861304,1.9133322,0.6019663,1.3192430,1.7736080,0.7814664,0.6483959,1.8076647,0.8082398,0.5608201,1.8864027,0.7924970,0.6600042,1.8062295,0.4389374,0.6433649,1.8356237,0.4195694,0.5537962,1.9058106,0.4302482,0.6476821,1.8554577,0.8305373,0.3104180,1.8425444,0.8589252,0.2010848,1.9110808,0.8471671,0.2232671,1.8683791,0.4173676,0.3050841,1.8536333,0.3952714,0.1998278,1.9158795,0.3995014,0.2081225,1.8526321,0.6834087,0.7748042,1.8675189,0.5308820,0.7647600,1.8157747,0.8564567,0.9556593,1.8700778,0.7976931,0.9386232,1.7251676,0.7860950,0.7538124,1.7847938,0.8220117,0.7325364,1.8528295,0.3732983,0.9406533,1.8813965,0.4353004,0.9280134,1.7530773,0.4195217,0.7348969,1.8109114,0.4030103,0.7149832,
3,0.0333333,1.8314051,0.6062137,1.3157296,1.8235161,0.7580732,1.2313644,1.8226415,0.8070961,0.9704679,1.7620250,0.8119120,0.7575486,1.8601989,0.4486199,1.2203857,1.8576986,0.4108826,0.9518173,1.7854513,0.4044540,0.7416228,1.8251794,0.6041186,0.7891888,1.8131873,0.7012487,0.7766991,1.8316782,0.7444579,0.4169612,1.8660263,0.8027499,0.0748747,1.8410144,0.5014882,0.7606352,1.8535781,0.4833932,0.4135201,1.8751916,0.4504758,0.0787040,1.7276644,0.4405953,0.0449298,1.7766966,0.4015200,0.0380015,1.9086977,0.4613792,0.0372193,1.7259103,0.8340584,0.0401046,1.7712864,0.8730450,0.0374614,1.9014297,0.8026880,0.0331336,1.7499043,0.7288456,0.8530623,1.7775723,0.4639481,0.8360895,1.9617250,0.6634203,0.8741080,1.9728654,0.5600800,0.8673102,1.8389227,0.8028109,0.4173113,1.8194139,0.7048846,0.4072179,1.8855877,0.8463225,0.0726030,1.8519990,0.7726676,0.0644262,1.7581471,0.8478991,0.0384731,1.8071886,0.8864719,0.0400062,1.9314839,0.7929153,0.0427541,1.8600317,0.4287600,0.4179101,1.8280894,0.5255128,0.4093542,1.8942551,0.4032713,0.0669252,1.8517057,0.4759337,0.0622714,1.7592837,0.4253522,0.0319678,1.9359745,0.4496454,0.0353539,1.8094490,0.3781559,0.0334124,1.8046329,0.7466391,1.3093679,1.8356240,0.4415053,1.2921539,1.9144763,0.6054569,1.3223990,1.7740450,0.7841069,0.6501732,1.8055092,0.8092667,0.5614916,1.8820470,0.7968900,0.6587602,1.8035337,0.4312046,0.6454142,1.8341984,0.4126897,0.5576429,1.9073613,0.4267595,0.6512540,1.8491125,0.8284238,0.3138106,1.8359238,0.8559053,0.2092595,1.9026813,0.8436184,0.2259112,1.8680920,0.4120648,0.3125081,1.8521266,0.3902806,0.2087915,1.9175604,0.3987380,0.2194140,1.8526291,0.6881241,0.7737950,1.8692625,0.5283584,0.7632339,1.8118047,0.8556014,0.9582784,1.8691748,0.7965984,0.9417619,1.7199599,0.7833125,0.7492156,1.7842479,0.8235604,0.7348996,1.8582970,0.3721715,0.9452023,1.8848904,0.4352051,0.9351823,1.7548649,0.4171910,0.7357193,1.8153354,0.4015248,0.7167317,
4,0.0500000,1.8310302,0.6059411,1.3158867,1.8237618,0.7577722,1.2315506,1.8228990,0.8069282,0.9705869,1.7615063,0.8117588,0.7582356,1.8600799,0.4481876,1.2201086,1.8577893,0.4103605,0.9514396,1.7845344,0.4039865,0.7416113,1.8250301,0.6042192,0.7891229,1.8126474,0.7007525,0.7764732,1.8260996,0.7450881,0.4191884,1.8624304,0.8036690,0.0795890,1.8401574,0.5012745,0.7602211,1.8516836,0.4841523,0.4155500,1.8732936,0.4520182,0.0829590,1.7247718,0.4406230,0.0497680,1.7799264,0.4051941,0.0414907,1.9116020,0.4646587,0.0400599,1.7253946,0.8370247,0.0434871,1.7704987,0.8755212,0.0409618,1.9000953,0.8042714,0.0372641,1.7441877,0.7327839,0.8514504,1.7772171,0.4578187,0.8341266,1.9656130,0.6692418,0.8761150,1.9788866,0.5614887,0.8694017,1.8393999,0.8019051,0.4176646,1.8210216,0.7004482,0.4086459,1.8836908,0.8492633,0.0752744,1.8498605,0.7734410,0.0674942,1.7543343,0.8517610,0.0421306,1.8041405,0.8911636,0.0423593,1.9303563,0.7940132,0.0451188,1.8647594,0.4274258,0.4201976,1.8336751,0.5267946,0.4109538,1.8995826,0.4100725,0.0718380,1.8574116,0.4838239,0.0671665,1.7642256,0.4304434,0.0383052,1.9419437,0.4585425,0.0402647,1.8133939,0.3840777,0.0380156,1.8075015,0.7522105,1.3121312,1.8391537,0.4393346,1.2939498,1.9242944,0.6093785,1.3252394,1.7691387,0.7890023,0.6505050,1.8024418,0.8125072,0.5615024,1.8821703,0.8010134,0.6588024,1.8049331,0.4265710,0.6462662,1.8367896,0.4087633,0.5593886,1.9108232,0.4233566,0.6529974,1.8493470,0.8283622,0.3163531,1.8335088,0.8583082,0.2127182,1.9035944,0.8450617,0.2270854,1.8730586,0.4126630,0.3158844,1.8567519,0.3917312,0.2137105,1.9235298,0.4028798,0.2221644,1.8524517,0.6920293,0.7746392,1.8721949,0.5261761,0.7640283,1.8093882,0.8551869,0.9590241,1.8699760,0.7960138,0.9436351,1.7159545,0.7806659,0.7487812,1.7848721,0.8250006,0.7362753,1.8605809,0.3698815,0.9465200,1.8897412,0.4344411,0.9380689,1.7536702,0.4156289,0.7358928,1.8154815,0.4004414,0.7166137,
5,0.0666667,1.8306865,0.6055952,1.3160495,1.8239168,0.7573773,1.2317109,1.8232087,0.8066469,0.9706610,1.7611155,0.8114362,0.7588337,1.8600217,0.4476849,1.2199502,1.8579599,0.4098214,0.9512020,1.7841521,0.4034128,0.7416171,1.8250905,0.6040480,0.7891644,1.8123433,0.7001714,0.7764151,1.8204966,0.7455622,0.4211479,1.8597824,0.8042874,0.0830999,1.8398604,0.5008260,0.7599651,1.8503658,0.4844284,0.4169201,1.8726526,0.4529206,0.0856261,1.7228600,0.4403364,0.0530878,1.7822113,0.4074537,0.0439221,1.9147882,0.4666952,0.0417181,1.7250092,0.8390639,0.0457985,1.7699631,0.8772440,0.0434524,1.8992361,0.8053370,0.0403638,1.7429185,0.7367667,0.8524618,1.7771391,0.4543381,0.8338051,1.9669453,0.6708456,0.8782036,1.9807344,0.5600014,0.8710686,1.8347755,0.8010399,0.4201868,1.8183456,0.6971310,0.4112175,1.8828129,0.8487677,0.0801432,1.8501150,0.7710926,0.0720591,1.7536865,0.8504300,0.0442325,1.8041084,0.8901019,0.0459213,1.9309291,0.7930888,0.0508760,1.8642775,0.4258903,0.4215640,1.8335593,0.5269375,0.4121207,1.9008119,0.4117990,0.0766333,1.8595503,0.4862132,0.0715761,1.7647147,0.4298773,0.0437283,1.9448898,0.4633405,0.0461248,1.8141100,0.3845415,0.0437114,1.8101222,0.7551789,1.3138294,1.8415258,0.4406333,1.2942948,1.9281194,0.6104930,1.3260446,1.7664337,0.7916542,0.6544543,1.7986667,0.8140930,0.5648180,1.8793884,0.8034974,0.6593335,1.8043126,0.4219401,0.6477000,1.8362995,0.4050784,0.5609464,1.9111716,0.4204718,0.6530770,1.8458192,0.8275100,0.3190051,1.8310019,0.8577578,0.2166036,1.9013507,0.8447524,0.2307310,1.8723765,0.4119673,0.3176880,1.8562142,0.3909521,0.2157495,1.9242943,0.4042665,0.2262730,1.8525399,0.6938873,0.7750160,1.8730251,0.5235991,0.7636534,1.8086559,0.8549428,0.9585113,1.8711666,0.7971503,0.9434076,1.7142690,0.7801246,0.7495654,1.7859763,0.8273473,0.7362195,1.8615626,0.3685204,0.9453817,1.8945282,0.4343798,0.9382201,1.7519349,0.4166057,0.7345604,1.8154204,0.4010403,0.7154797,
6,0.0833333,1.8303790,0.6051752,1.3162212,1.8239483,0.7568729,1.2318301,1.8235490,0.8061776,0.9706074,1.7609186,0.8108271,0.7591896,1.8600064,0.4471346,1.2199653,1.8581781,0.4092645,0.9511399,1.7843689,0.4027253,0.7416530,1.8254212,0.6035448,0.7892777,1.8122829,0.6994273,0.7764782,1.8151149,0.7456417,0.4225470,1.8581831,0.8045832,0.0852576,1.8401553,0.5001379,0.7599099,1.8497549,0.4841482,0.4174983,1.8733466,0.4533670,0.0868126,1.7220627,0.4400172,0.0549754,1.7833610,0.4084666,0.0454951,1.9180754,0.4676414,0.0423800,1.7247491,0.8400925,0.0469202,1.7696213,0.8781180,0.0448018,1.8988521,0.8058589,0.0423464,1.7416575,0.7384260,0.8524172,1.7781330,0.4514545,0.8330792,1.9678366,0.6727805,0.8798264,1.9824638,0.5599943,0.8725484,1.8308456,0.8015461,0.4220064,1.8151227,0.6949962,0.4130703,1.8824387,0.8504151,0.0822011,1.8495322,0.7706331,0.0739895,1.7520867,0.8516774,0.0450357,1.8029752,0.8930262,0.0472037,1.9318484,0.7934892,0.0530966,1.8645708,0.4240528,0.4225427,1.8346473,0.5264760,0.4133840,1.9021702,0.4141365,0.0783270,1.8616400,0.4892385,0.0735740,1.7649861,0.4321900,0.0468804,1.9473392,0.4669173,0.0477300,1.8141704,0.3869614,0.0458974,1.8129010,0.7578900,1.3146721,1.8448613,0.4407384,1.2949120,1.9324984,0.6122462,1.3270901,1.7622560,0.7943503,0.6559487,1.7944450,0.8164364,0.5664580,1.8779224,0.8060645,0.6604400,1.8039504,0.4189060,0.6481670,1.8360217,0.4022141,0.5616326,1.9117813,0.4179411,0.6531937,1.8427772,0.8282570,0.3211184,1.8279799,0.8590517,0.2188952,1.9004046,0.8466474,0.2326759,1.8726228,0.4110144,0.3187654,1.8565476,0.3905643,0.2170123,1.9253026,0.4051418,0.2274416,1.8524410,0.6948913,0.7756082,1.8742815,0.5218627,0.7639120,1.8096679,0.8545304,0.9574723,1.8730224,0.7984013,0.9425405,1.7149478,0.7801439,0.7509390,1.7880240,0.8292403,0.7359914,1.8621313,0.3672948,0.9427006,1.8985807,0.4343350,0.9364567,1.7504480,0.4178660,0.7329863,1.8158805,0.4013383,0.7144986,
7,0.1000000,1.8301105,0.6046904,1.3164034,1.8238321,0.7562505,1.2318911,1.8238805,0.8054394,0.9703242,1.7609840,0.8098117,0.7591151,1.8599969,0.4465791,1.2202054,1.8583818,0.4086923,0.9512741,1.7851720,0.4019370,0.7417333,1.8260601,0.6026757,0.7893957,1.8124257,0.6984332,0.7765754,1.8103172,0.7450313,0.4230257,1.8576328,0.8045687,0.0860297,1.8409834,0.4992486,0.7600838,1.8499516,0.4832956,0.4171955,1.8752855,0.4537040,0.0868758,1.7223979,0.4400821,0.0557532,1.7832459,0.4086642,0.0466177,1.9211579,0.4678838,0.0424510,1.7245861,0.8401377,0.0468518,1.7693604,0.8781262,0.0449782,1.8988711,0.8058706,0.0432375,1.7419847,0.7393673,0.8531458,1.7791750,0.4494717,0.8325455,1.9683035,0.6722524,0.8813740,1.9832009,0.5582566,0.8736279,1.8266753,0.8010309,0.4245096,1.8121925,0.6931355,0.4150837,1.8829260,0.8510456,0.0854506,1.8506455,0.7700873,0.0768648,1.7528576,0.8519856,0.0467669,1.8037472,0.8940125,0.0499729,1.9332176,0.7939722,0.0567776,1.8640483,0.4224909,0.4234537,1.8346588,0.5260854,0.4146839,1.9039983,0.4145097,0.0805472,1.8640112,0.4902945,0.0758732,1.7653782,0.4328591,0.0497400,1.9505784,0.4684401,0.0504868,1.8148824,0.3873885,0.0486022,1.8144112,0.7583743,1.3150651,1.8463530,0.4400118,1.2942299,1.9338168,0.6112780,1.3272790,1.7596608,0.7946775,0.6591708,1.7910211,0.8166802,0.5694644,1.8759612,0.8067619,0.6617363,1.8031422,0.4162794,0.6489657,1.8352055,0.3998058,0.5624508,1.9119992,0.4154538,0.6528561,1.8397973,0.8280483,0.3234073,1.8260532,0.8590583,0.2215044,1.8989606,0.8472328,0.2357360,1.8723917,0.4098908,0.3197082,1.8566765,0.3897396,0.2178737,1.9263323,0.4047217,0.2295200,1.8528319,0.6947401,0.7761664,1.8751192,0.5199404,0.7637424,1.8111859,0.8532220,0.9560632,1.8747824,0.7988877,0.9414882,1.7168263,0.7791676,0.7520529,1.7901831,0.8293560,0.7356225,1.8629552,0.3662163,0.9397459,1.9017006,0.4342012,0.9344528,1.7498169,0.4188447,0.7322403,1.8168620,0.4011043,0.7145348,
8,0.1166667,1.8298827,0.6041541,1.3165938,1.8235600,0.7555080,1.2318786,1.8241560,0.8043660,0.9697227,1.7613652,0.8083052,0.7584422,1.8599481,0.4460686,1.2207034,1.8584973,0.4081099,0.9516059,1.7864753,0.4010806,0.7418704,1.8270072,0.6014390,0.7894391,1.8126890,0.6971195,0.7766093,1.8065101,0.7434605,0.4222462,1.8580655,0.8042789,0.0854672,1.8422147,0.4982294,0.7604925,1.8510252,0.4819146,0.4159655,1.8782619,0.4543290,0.0862622,1.7237862,0.4409551,0.0558278,1.7817985,0.4085783,0.0477471,1.9236781,0.4678979,0.0423941,1.7244803,0.8393054,0.0456811,1.7690534,0.8773124,0.0440270,1.8991800,0.8054354,0.0431300,1.7423384,0.7390638,0.8532548,1.7805471,0.4470445,0.8321820,1.9690080,0.6720371,0.8821418,1.9842856,0.5571445,0.8742433,1.8225303,0.8003326,0.4253081,1.8088210,0.6906625,0.4157448,1.8824218,0.8507075,0.0858435,1.8502684,0.7682390,0.0771710,1.7520188,0.8510080,0.0461360,1.8029246,0.8943656,0.0497031,1.9336962,0.7930169,0.0573410,1.8639882,0.4206650,0.4237167,1.8349436,0.5254488,0.4151722,1.9051713,0.4142736,0.0808564,1.8653838,0.4908387,0.0762944,1.7644180,0.4334122,0.0506923,1.9528115,0.4687692,0.0505716,1.8144597,0.3874259,0.0491103,1.8155027,0.7592282,1.3149157,1.8476284,0.4394128,1.2943254,1.9351391,0.6116120,1.3273526,1.7563710,0.7948477,0.6600867,1.7872399,0.8168594,0.5703859,1.8747572,0.8075321,0.6623405,1.8029139,0.4137556,0.6493013,1.8349600,0.3972967,0.5627294,1.9128478,0.4128535,0.6526603,1.8364858,0.8274630,0.3240809,1.8231680,0.8585922,0.2220790,1.8973946,0.8473845,0.2363924,1.8724234,0.4082397,0.3198241,1.8568313,0.3882435,0.2178942,1.9271621,0.4037497,0.2297774,1.8534932,0.6942443,0.7764666,1.8764158,0.5181583,0.7637804,1.8126477,0.8514815,0.9543728,1.8762947,0.7987973,0.9404510,1.7191524,0.7774262,0.7526565,1.7922480,0.8283502,0.7352007,1.8639415,0.3651873,0.9371465,1.9041213,0.4339875,0.9327376,1.7500356,0.4193545,0.7321525,1.8183989,0.4003356,0.7152693,
