0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,r.ASIS_study,,,L.ASIS_study,,,r.PSIS_study,,,L.PSIS_study,,,r_knee_study,,,r_mknee_study,,,r_ankle_study,,,r_mankle_study,,,r_toe_study,,,r_5meta_study,,,r_calc_study,,,L_knee_study,,,L_mknee_study,,,L_ankle_study,,,L_mankle_study,,,L_toe_study,,,L_calc_study,,,L_5meta_study,,,r_shoulder_study,,,L_shoulder_study,,,C7_study,,,r_thigh1_study,,,r_thigh2_study,,,r_thigh3_study,,,L_thigh1_study,,,L_thigh2_study,,,L_thigh3_study,,,r_sh1_study,,,r_sh2_study,,,r_sh3_study,,,L_sh1_study,,,L_sh2_study,,,L_sh3_study,,,RHJC_study,,,LHJC_study,,,r_lelbow_study,,,r_melbow_study,,,r_lwrist_study,,,r_mwrist_study,,,L_lelbow_study,,,L_melbow_study,,,L_lwrist_study,,,L_mwrist_study,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63,
1,0.0000000,1.6125697,0.3318325,1.4574436,1.6273913,0.5005291,1.3664792,1.6267765,0.5589097,1.0726647,1.5317638,0.5946441,0.8505199,1.6617753,0.1689624,1.3574724,1.6669238,0.1407127,1.0620481,1.5932570,0.0859984,0.8245082,1.6337658,0.3474801,0.8768838,1.6233824,0.4356432,0.8513639,1.6151141,0.4197314,0.4671105,1.6734303,0.3926765,0.0824836,1.6360582,0.2581914,0.8498150,1.5227461,0.2396704,0.4850000,1.7364540,0.2726650,0.1717997,1.6106152,0.2581887,0.0500570,1.6545661,0.2189279,0.0588345,1.7835720,0.2786122,0.1381562,1.5104770,0.3924865,0.0215051,1.5501456,0.4357373,0.0149107,1.7115339,0.3860420,0.0286526,1.5762606,0.4818752,0.9547787,1.5813848,0.2027695,0.9263103,1.7760636,0.3974916,0.9847557,1.7790368,0.2872956,0.9736257,1.6008419,0.4908824,0.4636012,1.5896483,0.3809991,0.4527003,1.6769015,0.4497428,0.0665379,1.6544527,0.3650678,0.0554615,1.5340629,0.4158320,-0.0088578,1.5863339,0.4721659,0.0030354,1.7357302,0.3861804,0.0521701,1.5311464,0.1906333,0.4721298,1.4993384,0.3099106,0.4749757,1.7561584,0.2532930,0.1303857,1.7146846,0.3437271,0.1306352,1.6332463,0.2864746,0.0129990,1.8184778,0.3130897,0.1485192,1.6893012,0.2260568,0.0364002,1.6160073,0.4727273,1.4546121,1.6491535,0.1495389,1.4212713,1.7105738,0.3159833,1.4710535,1.5642848,0.5164433,0.7304624,1.5833766,0.5253354,0.6299391,1.6730720,0.5302313,0.7334673,1.5546984,0.1749446,0.7239143,1.5547891,0.1590352,0.6247256,1.6628767,0.1549254,0.7118504,1.6180552,0.4904683,0.3370564,1.6184593,0.4910709,0.2102645,1.6729649,0.4896735,0.2504560,1.5945011,0.1979640,0.3561612,1.6423800,0.2043617,0.2425431,1.6913521,0.2013189,0.2870866,1.6652866,0.4340250,0.8624443,1.6682087,0.2655516,0.8449445,1.6308740,0.6218660,1.0524649,1.6780696,0.5532425,1.0360627,1.4971201,0.5633224,0.8564370,1.5619144,0.5960745,0.8179323,1.6652953,0.1015938,1.0367738,1.6862826,0.1657010,1.0234089,1.5580333,0.1035070,0.8131566,1.6118377,0.0913732,0.7825776,
2,0.0166667,1.6129097,0.3308597,1.4590571,1.6300795,0.4997103,1.3706857,1.6217752,0.5614056,1.0783772,1.5128723,0.5947162,0.8601437,1.6627995,0.1681597,1.3574615,1.6742620,0.1420423,1.0626572,1.6118112,0.0897842,0.8203825,1.6335589,0.3480063,0.8777330,1.6258602,0.4351042,0.8518559,1.6287953,0.4209851,0.4642999,1.6960827,0.3942958,0.0836150,1.6354545,0.2557024,0.8499466,1.4897010,0.2408424,0.4917443,1.6984362,0.2780435,0.1541247,1.5642877,0.2587893,0.0475649,1.6022986,0.2208440,0.0540773,1.7421293,0.2826797,0.1148319,1.5349811,0.3931297,0.0215776,1.5722983,0.4381222,0.0158252,1.7323409,0.3863533,0.0315429,1.5706603,0.4809214,0.9470377,1.5712846,0.2039341,0.9245013,1.7811494,0.4016485,0.9744382,1.7818570,0.2928575,0.9652057,1.6262870,0.4896187,0.4513393,1.6127103,0.3879816,0.4500411,1.7111647,0.4471550,0.0663947,1.6834061,0.3685119,0.0659695,1.5649895,0.4232501,0.0081365,1.6183571,0.4740315,0.0092748,1.7706777,0.3884140,0.0492108,1.5055012,0.1810094,0.4834568,1.4706515,0.3004849,0.4902737,1.7144147,0.2430354,0.1423680,1.6723334,0.3332370,0.1477849,1.5891246,0.2794753,0.0506375,1.7765319,0.3033226,0.1515037,1.6452940,0.2180771,0.0652617,1.6033275,0.4818475,1.4518103,1.6328314,0.1539139,1.4165177,1.7090204,0.3276719,1.4608855,1.5761202,0.5117340,0.7161120,1.6014625,0.5214522,0.6135655,1.6855627,0.5244584,0.7230884,1.5436375,0.1705972,0.7368349,1.5375691,0.1528838,0.6360168,1.6581855,0.1528446,0.7128145,1.6462216,0.4893121,0.3304636,1.6442262,0.4883217,0.2095039,1.7073298,0.4851253,0.2395456,1.5620135,0.1871951,0.3699860,1.6034213,0.1930920,0.2616416,1.6571252,0.1911586,0.2935446,1.6702169,0.4347588,0.8632266,1.6702305,0.2671327,0.8496535,1.6173643,0.6192848,1.0654944,1.6668092,0.5468420,1.0384235,1.4761986,0.5615745,0.8583819,1.5438299,0.6020220,0.8268633,1.6796057,0.1036888,1.0466243,1.6872276,0.1724015,1.0315006,1.5638117,0.1019897,0.8102026,1.6303483,0.0951658,0.7923330,
3,0.0333333,1.6134997,0.3316687,1.4601318,1.6318138,0.5013543,1.3708387,1.6150511,0.5623811,1.0815576,1.4959990,0.5925060,0.8670559,1.6628130,0.1687656,1.3579129,1.6815083,0.1422412,1.0636581,1.6252794,0.0920747,0.8196266,1.6332476,0.3478433,0.8783514,1.6315603,0.4358930,0.8539244,1.6441984,0.4236746,0.4598577,1.7142312,0.3934662,0.0831406,1.6299203,0.2565381,0.8534578,1.4936468,0.2405755,0.4914663,1.6592048,0.2813381,0.1381938,1.5251802,0.2582322,0.0423352,1.5597587,0.2199005,0.0476664,1.7001035,0.2898387,0.0890378,1.5564304,0.3929218,0.0192115,1.5965849,0.4407319,0.0131745,1.7495311,0.3866210,0.0317504,1.5726336,0.4803735,0.9475538,1.5647165,0.2048076,0.9334095,1.7842003,0.3999190,0.9694291,1.7815168,0.2917649,0.9636749,1.6363911,0.4859895,0.4485711,1.6202856,0.3839753,0.4518593,1.7286871,0.4378751,0.0735964,1.6996596,0.3582776,0.0752507,1.5834036,0.4138419,0.0161016,1.6385506,0.4612405,0.0158691,1.7883559,0.3786258,0.0571268,1.4906481,0.1728684,0.4940097,1.4601733,0.2903542,0.4966117,1.6713799,0.2261465,0.1378690,1.6326566,0.3164376,0.1409187,1.5478154,0.2528140,0.0541815,1.7333051,0.2922689,0.1398848,1.6015838,0.1970948,0.0675475,1.6056983,0.4843627,1.4561806,1.6288308,0.1606676,1.4274409,1.7113421,0.3305539,1.4648990,1.5844600,0.5088666,0.7115530,1.6112778,0.5182980,0.6079528,1.6927511,0.5235128,0.7147264,1.5332836,0.1671229,0.7504183,1.5251677,0.1479877,0.6489017,1.6487495,0.1514577,0.7187270,1.6593582,0.4852808,0.3304868,1.6599065,0.4828390,0.2127720,1.7230567,0.4772236,0.2403783,1.5372313,0.1761071,0.3764671,1.5674725,0.1793941,0.2642711,1.6272256,0.1796730,0.2954851,1.6734024,0.4337800,0.8590494,1.6682215,0.2672625,0.8506361,1.6098285,0.6199083,1.0717499,1.6593065,0.5457768,1.0433201,1.4602274,0.5573481,0.8592619,1.5311529,0.6028170,0.8337902,1.6922854,0.1023151,1.0514028,1.6967853,0.1724468,1.0404719,1.5794321,0.0995049,0.8107507,1.6476971,0.0954059,0.7952041,
4,0.0500000,1.6140572,0.3318494,1.4603524,1.6313095,0.5008779,1.3715826,1.6103059,0.5650465,1.0829923,1.4790992,0.5924058,0.8753880,1.6647268,0.1696052,1.3573910,1.6874951,0.1430496,1.0672983,1.6415144,0.0922071,0.8200767,1.6341087,0.3478165,0.8784896,1.6395957,0.4374890,0.8563136,1.6608604,0.4235288,0.4607910,1.7307962,0.3946577,0.0821515,1.6181857,0.2559979,0.8578226,1.4872279,0.2404688,0.4957748,1.6211982,0.2795781,0.1222739,1.4681382,0.2648805,0.0509154,1.5041381,0.2240526,0.0475695,1.6606580,0.2878726,0.0718186,1.5765981,0.4015962,0.0227203,1.6216888,0.4501092,0.0181209,1.7653841,0.3863903,0.0311740,1.5727897,0.4810213,0.9449781,1.5614442,0.2063523,0.9347522,1.7872111,0.3994251,0.9665560,1.7832250,0.2913855,0.9626053,1.6579047,0.4818843,0.4485165,1.6390735,0.3793479,0.4553077,1.7496583,0.4372465,0.0729790,1.7180562,0.3576517,0.0763231,1.6043045,0.4166442,0.0216309,1.6598219,0.4646726,0.0181349,1.8078630,0.3773711,0.0547858,1.4851201,0.1759469,0.4965402,1.4603975,0.2952400,0.5003385,1.6317861,0.2238821,0.1214373,1.5963283,0.3162572,0.1277583,1.5004291,0.2540114,0.0574334,1.6962470,0.2886259,0.1132260,1.5520542,0.1969649,0.0626514,1.6108987,0.4876615,1.4576833,1.6334634,0.1611940,1.4312817,1.7195769,0.3309195,1.4671883,1.5923781,0.5084325,0.7085571,1.6249693,0.5165742,0.6051181,1.7048778,0.5213313,0.7117082,1.5286677,0.1681677,0.7568371,1.5190118,0.1492531,0.6533833,1.6432200,0.1506150,0.7183449,1.6815134,0.4821354,0.3316471,1.6801598,0.4819873,0.2127635,1.7469392,0.4744326,0.2396369,1.5210618,0.1779786,0.3746910,1.5387614,0.1798605,0.2600367,1.6034585,0.1787829,0.2830122,1.6764870,0.4329857,0.8581162,1.6690792,0.2670217,0.8522011,1.6024528,0.6212717,1.0754082,1.6535132,0.5462849,1.0464119,1.4432097,0.5532567,0.8669693,1.5171859,0.6035208,0.8405972,1.7029428,0.1013081,1.0546722,1.7103063,0.1724669,1.0464160,1.5950542,0.0973749,0.8107129,1.6640359,0.0959009,0.7967226,
5,0.0666667,1.6150676,0.3307980,1.4583589,1.6284379,0.4993276,1.3714931,1.6053559,0.5652018,1.0833120,1.4609704,0.5888416,0.8825222,1.6636205,0.1711176,1.3570043,1.6918147,0.1445694,1.0657043,1.6590160,0.0931853,0.8209543,1.6351901,0.3473018,0.8762853,1.6424235,0.4365348,0.8537191,1.6764945,0.4247638,0.4606428,1.7505427,0.3956822,0.0798754,1.6177650,0.2563857,0.8556362,1.4884816,0.2425355,0.4947127,1.5802993,0.2759113,0.1176254,1.4161357,0.2662713,0.0563514,1.4489803,0.2266418,0.0526883,1.6174820,0.2858253,0.0663159,1.5912225,0.4068965,0.0226616,1.6381036,0.4522192,0.0185314,1.7840337,0.3876602,0.0286105,1.5778297,0.4824876,0.9420589,1.5594962,0.2086298,0.9338352,1.7889765,0.3960094,0.9634038,1.7823659,0.2881486,0.9603933,1.6752688,0.4814349,0.4488669,1.6538883,0.3790928,0.4559650,1.7695098,0.4399141,0.0733047,1.7361199,0.3609094,0.0760651,1.6263520,0.4229064,0.0227843,1.6827647,0.4701925,0.0194913,1.8259394,0.3800365,0.0540488,1.4786390,0.1783788,0.4971705,1.4585718,0.2983719,0.5026176,1.5909813,0.2228148,0.1106751,1.5588024,0.3161784,0.1194244,1.4503075,0.2553483,0.0612437,1.6588909,0.2873200,0.0961141,1.5015466,0.1977583,0.0607626,1.6146379,0.4909991,1.4547284,1.6367722,0.1640704,1.4326346,1.7234492,0.3306705,1.4658240,1.6017470,0.5092177,0.7057009,1.6379307,0.5167346,0.6033222,1.7148085,0.5189865,0.7098820,1.5248120,0.1683747,0.7582167,1.5133159,0.1501137,0.6541383,1.6362284,0.1499285,0.7154565,1.7003787,0.4824665,0.3323550,1.7000556,0.4841435,0.2131848,1.7670720,0.4749429,0.2403229,1.5035277,0.1800925,0.3727312,1.5091617,0.1811334,0.2558856,1.5781966,0.1790973,0.2751120,1.6794011,0.4309166,0.8550755,1.6677290,0.2655624,0.8504389,1.5958567,0.6217291,1.0754286,1.6473744,0.5478179,1.0454591,1.4267168,0.5507338,0.8760753,1.5012866,0.6040068,0.8453787,1.7112563,0.1025915,1.0535299,1.7229169,0.1737561,1.0476949,1.6111268,0.0981226,0.8072268,1.6809503,0.0983624,0.7955486,
6,0.0833333,1.6163129,0.3304576,1.4564854,1.6280038,0.4996196,1.3709936,1.5984664,0.5644768,1.0847692,1.4478654,0.5880121,0.8895278,1.6646871,0.1694380,1.3554096,1.6991878,0.1432253,1.0656032,1.6732837,0.0951381,0.8228154,1.6373966,0.3454861,0.8739084,1.6445152,0.4369443,0.8538306,1.6905550,0.4248646,0.4582179,1.7709531,0.3954481,0.0785699,1.6177834,0.2571734,0.8539621,1.4854446,0.2448841,0.4941442,1.5387086,0.2713456,0.1106260,1.3703020,0.2641720,0.0609176,1.4014144,0.2249041,0.0575402,1.5715219,0.2831304,0.0575554,1.6068937,0.4095119,0.0251341,1.6538309,0.4510053,0.0231851,1.8033637,0.3873633,0.0297576,1.5830781,0.4829242,0.9385094,1.5589881,0.2082192,0.9321659,1.7926513,0.3925906,0.9600454,1.7838583,0.2842159,0.9579043,1.6931303,0.4816263,0.4471972,1.6682903,0.3777758,0.4547255,1.7896141,0.4404010,0.0712178,1.7532971,0.3605417,0.0739414,1.6436909,0.4249979,0.0226025,1.7021010,0.4733759,0.0183954,1.8460084,0.3793116,0.0505005,1.4755750,0.1790482,0.4961586,1.4593902,0.2994695,0.5025419,1.5503324,0.2191477,0.1004902,1.5203832,0.3131169,0.1113065,1.4017025,0.2547586,0.0652968,1.6192292,0.2819691,0.0788024,1.4520884,0.1966524,0.0592809,1.6173054,0.4948300,1.4521696,1.6398546,0.1646285,1.4327828,1.7274681,0.3312654,1.4641747,1.6096537,0.5105739,0.6996221,1.6503356,0.5179239,0.5989392,1.7265605,0.5180250,0.7080952,1.5233104,0.1670933,0.7581796,1.5104916,0.1494209,0.6535084,1.6322797,0.1478080,0.7128195,1.7192855,0.4826789,0.3316391,1.7190457,0.4851909,0.2121824,1.7882038,0.4753760,0.2385413,1.4891126,0.1797179,0.3703562,1.4821283,0.1794208,0.2526894,1.5543450,0.1772976,0.2661725,1.6832597,0.4283870,0.8521666,1.6680961,0.2625788,0.8487207,1.5915434,0.6208643,1.0750042,1.6422030,0.5485232,1.0443353,1.4134760,0.5488248,0.8868073,1.4868940,0.6036861,0.8509926,1.7192503,0.1031582,1.0509227,1.7349252,0.1744728,1.0466834,1.6268584,0.0989780,0.8043876,1.6979304,0.0999904,0.7949869,
7,0.1000000,1.6146559,0.3303909,1.4547369,1.6283273,0.4989795,1.3696607,1.5956589,0.5671508,1.0841527,1.4340738,0.5856240,0.8946918,1.6653303,0.1694906,1.3527269,1.7126483,0.1434742,1.0646362,1.6934540,0.0933156,0.8233998,1.6372069,0.3446053,0.8720162,1.6484777,0.4325126,0.8482000,1.7046878,0.4252870,0.4591955,1.7900438,0.3976919,0.0822268,1.6164238,0.2522102,0.8478867,1.4884223,0.2480515,0.4872938,1.4988777,0.2725152,0.1044359,1.3295235,0.2648457,0.0660876,1.3595164,0.2202180,0.0600355,1.5274749,0.2856172,0.0488454,1.6224415,0.4083896,0.0258741,1.6735003,0.4472037,0.0246804,1.8267975,0.3886478,0.0347719,1.5868922,0.4837033,0.9364829,1.5572717,0.2100370,0.9311583,1.7925535,0.3887824,0.9577911,1.7816528,0.2808040,0.9560557,1.7082086,0.4826460,0.4478632,1.6809026,0.3787887,0.4551693,1.8094740,0.4414596,0.0740872,1.7714582,0.3617158,0.0765543,1.6626578,0.4262144,0.0258146,1.7223774,0.4748311,0.0219647,1.8652943,0.3808871,0.0530822,1.4730549,0.1820991,0.4938641,1.4603283,0.3014094,0.5008971,1.5116451,0.2191395,0.0941219,1.4837703,0.3124484,0.1062917,1.3590790,0.2550979,0.0707595,1.5797308,0.2813004,0.0672991,1.4077544,0.1975933,0.0605895,1.6184985,0.4972642,1.4504594,1.6413347,0.1651143,1.4322900,1.7284925,0.3303212,1.4625333,1.6167884,0.5111725,0.6965576,1.6610085,0.5187114,0.5973628,1.7339680,0.5164911,0.7074520,1.5204096,0.1684128,0.7568364,1.5070469,0.1516887,0.6517280,1.6269170,0.1484875,0.7102732,1.7361023,0.4834109,0.3334068,1.7376012,0.4859864,0.2145143,1.8065799,0.4763405,0.2406309,1.4760914,0.1821635,0.3681774,1.4571054,0.1811431,0.2506803,1.5317524,0.1787955,0.2599619,1.6841049,0.4260223,0.8497476,1.6656057,0.2608621,0.8469359,1.5863443,0.6203094,1.0739483,1.6354583,0.5492502,1.0432475,1.4004627,0.5470381,0.8976431,1.4713131,0.6020729,0.8567441,1.7275356,0.1054289,1.0482864,1.7448352,0.1770925,1.0452799,1.6433329,0.1000635,0.8031785,1.7151521,0.1018821,0.7957192,
8,0.1166667,1.6161250,0.3272500,1.4509310,1.6259292,0.4978545,1.3664213,1.5923294,0.5676823,1.0825633,1.4219331,0.5826959,0.9026117,1.6675444,0.1686177,1.3497533,1.7228366,0.1418339,1.0608343,1.7192018,0.0940687,0.8187764,1.6396796,0.3447674,0.8677383,1.6489203,0.4338645,0.8436014,1.7170647,0.4256800,0.4565389,1.8110953,0.3973071,0.0844531,1.6175324,0.2548151,0.8432960,1.4900966,0.2513435,0.4784613,1.4618019,0.2714307,0.0981540,1.2882505,0.2625286,0.0718341,1.3209397,0.2176399,0.0616562,1.4841611,0.2832821,0.0391461,1.6449014,0.4103904,0.0297192,1.6958349,0.4497199,0.0287737,1.8497971,0.3876317,0.0365852,1.5915652,0.4851172,0.9322778,1.5583487,0.2111133,0.9267645,1.7956888,0.3872937,0.9534933,1.7834663,0.2790681,0.9517240,1.7255496,0.4842089,0.4452636,1.6957912,0.3795301,0.4524383,1.8322077,0.4422194,0.0750467,1.7922148,0.3619787,0.0772481,1.6842093,0.4266517,0.0270206,1.7451744,0.4761309,0.0230249,1.8875998,0.3815412,0.0540361,1.4750592,0.1857938,0.4879120,1.4640036,0.3042216,0.4955829,1.4759762,0.2201972,0.0861611,1.4484879,0.3127672,0.0999267,1.3189664,0.2560343,0.0737666,1.5416996,0.2814615,0.0543925,1.3667359,0.1987931,0.0595488,1.6186476,0.5004042,1.4468568,1.6426296,0.1648352,1.4283531,1.7298222,0.3308341,1.4579409,1.6246985,0.5131904,0.6902600,1.6730235,0.5207402,0.5926269,1.7441331,0.5171914,0.7047282,1.5219110,0.1700386,0.7524169,1.5083953,0.1543070,0.6466129,1.6270184,0.1500764,0.7047580,1.7554512,0.4844808,0.3326523,1.7584897,0.4869752,0.2145423,1.8277842,0.4776792,0.2404583,1.4676215,0.1850920,0.3630246,1.4364895,0.1831649,0.2467847,1.5131500,0.1813453,0.2506251,1.6874623,0.4257067,0.8455205,1.6667964,0.2603244,0.8426127,1.5837938,0.6202577,1.0707781,1.6308205,0.5499903,1.0405144,1.3906494,0.5452453,0.9071448,1.4579110,0.5997371,0.8616004,1.7392732,0.1081735,1.0432798,1.7569513,0.1802580,1.0415273,1.6651630,0.1014097,0.7998456,1.7373441,0.1043477,0.7944402,
